"Step","elated-sweep-11 - Test Accuracy","elated-sweep-11 - Test Accuracy__MIN","elated-sweep-11 - Test Accuracy__MAX","noble-sweep-10 - Test Accuracy","noble-sweep-10 - Test Accuracy__MIN","noble-sweep-10 - Test Accuracy__MAX","comic-sweep-9 - Test Accuracy","comic-sweep-9 - Test Accuracy__MIN","comic-sweep-9 - Test Accuracy__MAX","vivid-sweep-8 - Test Accuracy","vivid-sweep-8 - Test Accuracy__MIN","vivid-sweep-8 - Test Accuracy__MAX","decent-sweep-7 - Test Accuracy","decent-sweep-7 - Test Accuracy__MIN","decent-sweep-7 - Test Accuracy__MAX","zany-sweep-6 - Test Accuracy","zany-sweep-6 - Test Accuracy__MIN","zany-sweep-6 - Test Accuracy__MAX","fresh-sweep-5 - Test Accuracy","fresh-sweep-5 - Test Accuracy__MIN","fresh-sweep-5 - Test Accuracy__MAX","driven-sweep-4 - Test Accuracy","driven-sweep-4 - Test Accuracy__MIN","driven-sweep-4 - Test Accuracy__MAX","cool-sweep-3 - Test Accuracy","cool-sweep-3 - Test Accuracy__MIN","cool-sweep-3 - Test Accuracy__MAX","frosty-sweep-2 - Test Accuracy","frosty-sweep-2 - Test Accuracy__MIN","frosty-sweep-2 - Test Accuracy__MAX","dutiful-sweep-1 - Test Accuracy","dutiful-sweep-1 - Test Accuracy__MIN","dutiful-sweep-1 - Test Accuracy__MAX"
"0","0.7522037092007279","0.7522037092007279","0.7522037092007279","0.7517261850986668","0.7517261850986668","0.7517261850986668","0.7510937883148562","0.7510937883148562","0.7510937883148562","0.7520359304621659","0.7520359304621659","0.7520359304621659","0.7511066943716687","0.7511066943716687","0.7511066943716687","0.7519068698940413","0.7519068698940413","0.7519068698940413","0.7511066943716687","0.7511066943716687","0.7511066943716687","0.7516616548146045","0.7516616548146045","0.7516616548146045","0.7514680639624176","0.7514680639624176","0.7514680639624176","0.7512615670534182","0.7512615670534182","0.7512615670534182","0.7508872914058567","0.7508872914058567","0.7508872914058567"
"50","0.8961191487164927","0.8961191487164927","0.8961191487164927","0.8970612908638024","0.8970612908638024","0.8970612908638024","0.8954222216486197","0.8954222216486197","0.8954222216486197","0.8962482092846172","0.8962482092846172","0.8962482092846172","0.8960675244892428","0.8960675244892428","0.8960675244892428","0.8963127395686796","0.8963127395686796","0.8963127395686796","0.8961707729437425","0.8961707729437425","0.8961707729437425","0.8961320547733052","0.8961320547733052","0.8961320547733052","0.8965966728185537","0.8965966728185537","0.8965966728185537","0.896687015216241","0.896687015216241","0.896687015216241","0.8961965850573674","0.8961965850573674","0.8961965850573674"
"100","0.9007266109985416","0.9007266109985416","0.9007266109985416","0.9005072080327298","0.9005072080327298","0.9005072080327298","0.9002878050669179","0.9002878050669179","0.9002878050669179","0.900623362544042","0.900623362544042","0.900623362544042","0.9008040473394164","0.9008040473394164","0.9008040473394164","0.9002748990101055","0.9002748990101055","0.9002748990101055","0.9001071202715434","0.9001071202715434","0.9001071202715434","0.9005846443736045","0.9005846443736045","0.9005846443736045","0.8999006233625441","0.8999006233625441","0.8999006233625441","0.9002232747828556","0.9002232747828556","0.9002232747828556","0.9003007111237303","0.9003007111237303","0.9003007111237303"
"150","0.9014493501800395","0.9014493501800395","0.9014493501800395","0.9029206406566602","0.9029206406566602","0.9029206406566602","0.9019914045661629","0.9019914045661629","0.9019914045661629","0.9029464527702851","0.9029464527702851","0.9029464527702851","0.9022753378160371","0.9022753378160371","0.9022753378160371","0.9025850831795361","0.9025850831795361","0.9025850831795361","0.9024560226114116","0.9024560226114116","0.9024560226114116","0.9023914923273493","0.9023914923273493","0.9023914923273493","0.9029206406566602","0.9029206406566602","0.9029206406566602","0.9027528619180981","0.9027528619180981","0.9027528619180981","0.9021591833047249","0.9021591833047249","0.9021591833047249"
"200","0.9030109830543475","0.9030109830543475","0.9030109830543475","0.903333634474659","0.903333634474659","0.903333634474659","0.9028432043157854","0.9028432043157854","0.9028432043157854","0.9035143192700335","0.9035143192700335","0.9035143192700335","0.9024818347250365","0.9024818347250365","0.9024818347250365","0.9030238891111598","0.9030238891111598","0.9030238891111598","0.9025334589522863","0.9025334589522863","0.9025334589522863","0.902804486145348","0.902804486145348","0.902804486145348","0.9030884193952222","0.9030884193952222","0.9030884193952222","0.9024947407818489","0.9024947407818489","0.9024947407818489","0.903140043622472","0.903140043622472","0.903140043622472"
"250","0.9032949163042215","0.9032949163042215","0.9032949163042215","0.9045080856445931","0.9045080856445931","0.9045080856445931","0.9037724404062827","0.9037724404062827","0.9037724404062827","0.9047016764967799","0.9047016764967799","0.9047016764967799","0.9029206406566602","0.9029206406566602","0.9029206406566602","0.9042370584515314","0.9042370584515314","0.9042370584515314","0.9031916678497218","0.9031916678497218","0.9031916678497218","0.9038885949175949","0.9038885949175949","0.9038885949175949","0.9042112463379064","0.9042112463379064","0.9042112463379064","0.90381115857672","0.90381115857672","0.90381115857672","0.9038498767471574","0.9038498767471574","0.9038498767471574"
"300","0.9047791128376547","0.9047791128376547","0.9047791128376547","0.9046887704399674","0.9046887704399674","0.9046887704399674","0.9048436431217171","0.9048436431217171","0.9048436431217171","0.9051404824284036","0.9051404824284036","0.9051404824284036","0.9055663823032148","0.9055663823032148","0.9055663823032148","0.9045468038150304","0.9045468038150304","0.9045468038150304","0.9047533007240298","0.9047533007240298","0.9047533007240298","0.9054244156782778","0.9054244156782778","0.9054244156782778","0.9045855219854678","0.9045855219854678","0.9045855219854678","0.904340306906031","0.904340306906031","0.904340306906031","0.9049727036898416","0.9049727036898416","0.9049727036898416"
"350","0.9048565491785295","0.9048565491785295","0.9048565491785295","0.9052437308829033","0.9052437308829033","0.9052437308829033","0.9055534762464025","0.9055534762464025","0.9055534762464025","0.9054115096214653","0.9054115096214653","0.9054115096214653","0.9054115096214653","0.9054115096214653","0.9054115096214653","0.9059148458371514","0.9059148458371514","0.9059148458371514","0.9045855219854678","0.9045855219854678","0.9045855219854678","0.9053340732805906","0.9053340732805906","0.9053340732805906","0.9049985158034666","0.9049985158034666","0.9049985158034666","0.9055276641327775","0.9055276641327775","0.9055276641327775","0.9052179187692784","0.9052179187692784","0.9052179187692784"
"400","0.905011421860279","0.905011421860279","0.905011421860279","0.9056180065304648","0.9056180065304648","0.9056180065304648","0.9049856097466541","0.9049856097466541","0.9049856097466541","0.9055921944168398","0.9055921944168398","0.9055921944168398","0.9052953551101532","0.9052953551101532","0.9052953551101532","0.9054889459623401","0.9054889459623401","0.9054889459623401","0.9051017642579663","0.9051017642579663","0.9051017642579663","0.906043906405276","0.906043906405276","0.906043906405276","0.9049985158034666","0.9049985158034666","0.9049985158034666","0.9050630460875289","0.9050630460875289","0.9050630460875289","0.9058374094962766","0.9058374094962766","0.9058374094962766"
