"Step","fluent-sweep-11 - Average User Test Accuracy","fluent-sweep-11 - Average User Test Accuracy__MIN","fluent-sweep-11 - Average User Test Accuracy__MAX","vital-sweep-10 - Average User Test Accuracy","vital-sweep-10 - Average User Test Accuracy__MIN","vital-sweep-10 - Average User Test Accuracy__MAX","rich-sweep-9 - Average User Test Accuracy","rich-sweep-9 - Average User Test Accuracy__MIN","rich-sweep-9 - Average User Test Accuracy__MAX","stellar-sweep-8 - Average User Test Accuracy","stellar-sweep-8 - Average User Test Accuracy__MIN","stellar-sweep-8 - Average User Test Accuracy__MAX","cool-sweep-7 - Average User Test Accuracy","cool-sweep-7 - Average User Test Accuracy__MIN","cool-sweep-7 - Average User Test Accuracy__MAX","cerulean-sweep-6 - Average User Test Accuracy","cerulean-sweep-6 - Average User Test Accuracy__MIN","cerulean-sweep-6 - Average User Test Accuracy__MAX","blooming-sweep-5 - Average User Test Accuracy","blooming-sweep-5 - Average User Test Accuracy__MIN","blooming-sweep-5 - Average User Test Accuracy__MAX","lively-sweep-4 - Average User Test Accuracy","lively-sweep-4 - Average User Test Accuracy__MIN","lively-sweep-4 - Average User Test Accuracy__MAX","dashing-sweep-3 - Average User Test Accuracy","dashing-sweep-3 - Average User Test Accuracy__MIN","dashing-sweep-3 - Average User Test Accuracy__MAX","northern-sweep-2 - Average User Test Accuracy","northern-sweep-2 - Average User Test Accuracy__MIN","northern-sweep-2 - Average User Test Accuracy__MAX","denim-sweep-1 - Average User Test Accuracy","denim-sweep-1 - Average User Test Accuracy__MIN","denim-sweep-1 - Average User Test Accuracy__MAX"
"13","0.5211641581356602","0.5211641581356602","0.5211641581356602","0.5194046061621269","0.5194046061621269","0.5194046061621269","0.5209937467903473","0.5209937467903473","0.5209937467903473","0.5202345462892237","0.5202345462892237","0.5202345462892237","0.521008240663388","0.521008240663388","0.521008240663388","0.5217867600767838","0.5217867600767838","0.5217867600767838","0.5212922180641171","0.5212922180641171","0.5212922180641171","0.5212497199790793","0.5212497199790793","0.5212497199790793","0.519694703202381","0.519694703202381","0.519694703202381","0.5212991031526831","0.5212991031526831","0.5212991031526831","0.5208498854378808","0.5208498854378808","0.5208498854378808"
"14","0.5411740620321466","0.5411740620321466","0.5411740620321466","0.5398245317983738","0.5398245317983738","0.5398245317983738","0.5413669199090152","0.5413669199090152","0.5413669199090152","0.5404861112986988","0.5404861112986988","0.5404861112986988","0.5409142353132855","0.5409142353132855","0.5409142353132855","0.5422708704613532","0.5422708704613532","0.5422708704613532","0.5418378362090546","0.5418378362090546","0.5418378362090546","0.5413831619722423","0.5413831619722423","0.5413831619722423","0.5416472530465131","0.5416472530465131","0.5416472530465131","0.5419032080945942","0.5419032080945942","0.5419032080945942","0.5415498552963743","0.5415498552963743","0.5415498552963743"
"15","0.5588264363148793","0.5588264363148793","0.5588264363148793","0.5576387090653913","0.5576387090653913","0.5576387090653913","0.5587938270295633","0.5587938270295633","0.5587938270295633","0.558057607238722","0.558057607238722","0.558057607238722","0.5589821593551231","0.5589821593551231","0.5589821593551231","0.5604082492169484","0.5604082492169484","0.5604082492169484","0.5588346396351161","0.5588346396351161","0.5588346396351161","0.5579021552575393","0.5579021552575393","0.5579021552575393","0.5592670804972907","0.5592670804972907","0.5592670804972907","0.5581617965777261","0.5581617965777261","0.5581617965777261","0.5598435920484253","0.5598435920484253","0.5598435920484253"
"16","0.573872558559585","0.573872558559585","0.573872558559585","0.5732546762953578","0.5732546762953578","0.5732546762953578","0.5736220367795852","0.5736220367795852","0.5736220367795852","0.5730671641559971","0.5730671641559971","0.5730671641559971","0.5741355246245208","0.5741355246245208","0.5741355246245208","0.5744189765488966","0.5744189765488966","0.5744189765488966","0.5738615380414507","0.5738615380414507","0.5738615380414507","0.5733958024187495","0.5733958024187495","0.5733958024187495","0.574863924413082","0.574863924413082","0.574863924413082","0.5732265858169661","0.5732265858169661","0.5732265858169661","0.5757380046824215","0.5757380046824215","0.5757380046824215"
"17","0.5868530039689532","0.5868530039689532","0.5868530039689532","0.5871611367323061","0.5871611367323061","0.5871611367323061","0.5865176203579038","0.5865176203579038","0.5865176203579038","0.5857199763765856","0.5857199763765856","0.5857199763765856","0.587017885397438","0.587017885397438","0.587017885397438","0.5860365843075713","0.5860365843075713","0.5860365843075713","0.5871370495710496","0.5871370495710496","0.5871370495710496","0.5865336265777656","0.5865336265777656","0.5865336265777656","0.5874340772426435","0.5874340772426435","0.5874340772426435","0.5858718573638351","0.5858718573638351","0.5858718573638351","0.5889089457455478","0.5889089457455478","0.5889089457455478"
"18","0.5988542997427747","0.5988542997427747","0.5988542997427747","0.599577819540062","0.599577819540062","0.599577819540062","0.5988681608115153","0.5988681608115153","0.5988681608115153","0.5976246402902549","0.5976246402902549","0.5976246402902549","0.5981878483849032","0.5981878483849032","0.5981878483849032","0.5975952101516524","0.5975952101516524","0.5975952101516524","0.5981273161525469","0.5981273161525469","0.5981273161525469","0.598174244354375","0.598174244354375","0.598174244354375","0.5994735474729371","0.5994735474729371","0.5994735474729371","0.5965294743834336","0.5965294743834336","0.5965294743834336","0.6000274506984609","0.6000274506984609","0.6000274506984609"
"19","0.608731949485682","0.608731949485682","0.608731949485682","0.6092308128349548","0.6092308128349548","0.6092308128349548","0.6081046170267331","0.6081046170267331","0.6081046170267331","0.6081212836841576","0.6081212836841576","0.6081212836841576","0.6087172447790234","0.6087172447790234","0.6087172447790234","0.6069815927560457","0.6069815927560457","0.6069815927560457","0.6087921756127629","0.6087921756127629","0.6087921756127629","0.6077381073909145","0.6077381073909145","0.6077381073909145","0.6091608035789108","0.6091608035789108","0.6091608035789108","0.6065347833644497","0.6065347833644497","0.6065347833644497","0.6097893181854624","0.6097893181854624","0.6097893181854624"
"20","0.6176746110486752","0.6176746110486752","0.6176746110486752","0.6167649813776418","0.6167649813776418","0.6167649813776418","0.6164906963928878","0.6164906963928878","0.6164906963928878","0.617311761458978","0.617311761458978","0.617311761458978","0.6178077774207542","0.6178077774207542","0.6178077774207542","0.6162332526779288","0.6162332526779288","0.6162332526779288","0.6173127208176733","0.6173127208176733","0.6173127208176733","0.6171370407078094","0.6171370407078094","0.6171370407078094","0.6179974428762995","0.6179974428762995","0.6179974428762995","0.6159112548776464","0.6159112548776464","0.6159112548776464","0.6183318918809894","0.6183318918809894","0.6183318918809894"
"21","0.625937579369563","0.625937579369563","0.625937579369563","0.6242651491100699","0.6242651491100699","0.6242651491100699","0.6244658467094877","0.6244658467094877","0.6244658467094877","0.625367973847764","0.625367973847764","0.625367973847764","0.6251842434236998","0.6251842434236998","0.6251842434236998","0.6241624716552298","0.6241624716552298","0.6241624716552298","0.6256460553093649","0.6256460553093649","0.6256460553093649","0.6248026837043059","0.6248026837043059","0.6248026837043059","0.625899321110376","0.625899321110376","0.625899321110376","0.6241611155675272","0.6241611155675272","0.6241611155675272","0.626659572511327","0.626659572511327","0.626659572511327"
"22","0.632443774951734","0.632443774951734","0.632443774951734","0.6310324492894068","0.6310324492894068","0.6310324492894068","0.6318555715911656","0.6318555715911656","0.6318555715911656","0.6326883765149823","0.6326883765149823","0.6326883765149823","0.6323957901937259","0.6323957901937259","0.6323957901937259","0.6323586087735353","0.6323586087735353","0.6323586087735353","0.6325124869563681","0.6325124869563681","0.6325124869563681","0.6321009430082809","0.6321009430082809","0.6321009430082809","0.6329083985796717","0.6329083985796717","0.6329083985796717","0.6316276133319351","0.6316276133319351","0.6316276133319351","0.6343932800302343","0.6343932800302343","0.6343932800302343"
