"Step","fluent-sweep-11 - Test Accuracy","fluent-sweep-11 - Test Accuracy__MIN","fluent-sweep-11 - Test Accuracy__MAX","curious-sweep-10 - Test Accuracy","curious-sweep-10 - Test Accuracy__MIN","curious-sweep-10 - Test Accuracy__MAX","northern-sweep-9 - Test Accuracy","northern-sweep-9 - Test Accuracy__MIN","northern-sweep-9 - Test Accuracy__MAX","whole-sweep-8 - Test Accuracy","whole-sweep-8 - Test Accuracy__MIN","whole-sweep-8 - Test Accuracy__MAX","youthful-sweep-7 - Test Accuracy","youthful-sweep-7 - Test Accuracy__MIN","youthful-sweep-7 - Test Accuracy__MAX","dauntless-sweep-6 - Test Accuracy","dauntless-sweep-6 - Test Accuracy__MIN","dauntless-sweep-6 - Test Accuracy__MAX","electric-sweep-5 - Test Accuracy","electric-sweep-5 - Test Accuracy__MIN","electric-sweep-5 - Test Accuracy__MAX","restful-sweep-4 - Test Accuracy","restful-sweep-4 - Test Accuracy__MIN","restful-sweep-4 - Test Accuracy__MAX","spring-sweep-3 - Test Accuracy","spring-sweep-3 - Test Accuracy__MIN","spring-sweep-3 - Test Accuracy__MAX","winter-sweep-2 - Test Accuracy","winter-sweep-2 - Test Accuracy__MIN","winter-sweep-2 - Test Accuracy__MAX","drawn-sweep-1 - Test Accuracy","drawn-sweep-1 - Test Accuracy__MIN","drawn-sweep-1 - Test Accuracy__MAX"
"0","0.019955559757942512","0.019955559757942512","0.019955559757942512","0.00037585098335854764","0.00037585098335854764","0.00037585098335854764","0.0030540847201210287","0.0030540847201210287","0.0030540847201210287","0.0010353630862329803","0.0010353630862329803","0.0010353630862329803","0.013280068078668683","0.013280068078668683","0.013280068078668683","0.0027822428139183055","0.0027822428139183055","0.0027822428139183055","0.00013710287443267777","0.00013710287443267777","0.00013710287443267777","0.00013710287443267777","0.00013710287443267777","0.00013710287443267777","0.000018910741301059","0.000018910741301059","0.000018910741301059","0.0063681921331316185","0.0063681921331316185","0.0063681921331316185","0.000453857791225416","0.000453857791225416","0.000453857791225416"
"50","0.5493357602118003","0.5493357602118003","0.5493357602118003","0.5480238275340393","0.5480238275340393","0.5480238275340393","0.5481443835098336","0.5481443835098336","0.5481443835098336","0.5479269099848714","0.5479269099848714","0.5479269099848714","0.5487117057488654","0.5487117057488654","0.5487117057488654","0.5483689485627836","0.5483689485627836","0.5483689485627836","0.5479221822995461","0.5479221822995461","0.5479221822995461","0.5485107791225416","0.5485107791225416","0.5485107791225416","0.5481065620272315","0.5481065620272315","0.5481065620272315","0.5490284606656581","0.5490284606656581","0.5490284606656581","0.5489220877458396","0.5489220877458396","0.5489220877458396"
"100","0.561464636913767","0.561464636913767","0.561464636913767","0.5611266074130106","0.5611266074130106","0.5611266074130106","0.5614599092284418","0.5614599092284418","0.5614599092284418","0.5607531202723147","0.5607531202723147","0.5607531202723147","0.5604623676248109","0.5604623676248109","0.5604623676248109","0.5606987518910741","0.5606987518910741","0.5606987518910741","0.5610769667170953","0.5610769667170953","0.5610769667170953","0.561400813161876","0.561400813161876","0.561400813161876","0.5606231089258699","0.5606231089258699","0.5606231089258699","0.5617199319213313","0.5617199319213313","0.5617199319213313","0.560750756429652","0.560750756429652","0.560750756429652"
"150","0.5659583018154312","0.5659583018154312","0.5659583018154312","0.5662372352496218","0.5662372352496218","0.5662372352496218","0.5661734114977307","0.5661734114977307","0.5661734114977307","0.5655966338880484","0.5655966338880484","0.5655966338880484","0.5666272692889561","0.5666272692889561","0.5666272692889561","0.5661048600605144","0.5661048600605144","0.5661048600605144","0.5661308623298034","0.5661308623298034","0.5661308623298034","0.5660008509833585","0.5660008509833585","0.5660008509833585","0.5658282904689864","0.5658282904689864","0.5658282904689864","0.5658188350983359","0.5658188350983359","0.5658188350983359","0.5656368192133132","0.5656368192133132","0.5656368192133132"
"200","0.5687665468986385","0.5687665468986385","0.5687665468986385","0.5694047844175492","0.5694047844175492","0.5694047844175492","0.56883982602118","0.56883982602118","0.56883982602118","0.5691494894099849","0.5691494894099849","0.5691494894099849","0.569007658850227","0.569007658850227","0.569007658850227","0.568731089258699","0.568731089258699","0.568731089258699","0.5684805219364599","0.5684805219364599","0.5684805219364599","0.5688374621785174","0.5688374621785174","0.5688374621785174","0.5691589447806354","0.5691589447806354","0.5691589447806354","0.5690218419062028","0.5690218419062028","0.5690218419062028","0.5692274962178517","0.5692274962178517","0.5692274962178517"
"250","0.5709767397881997","0.5709767397881997","0.5709767397881997","0.5712178517397882","0.5712178517397882","0.5712178517397882","0.5710074697428139","0.5710074697428139","0.5710074697428139","0.5713644099848714","0.5713644099848714","0.5713644099848714","0.5709672844175492","0.5709672844175492","0.5709672844175492","0.5712367624810892","0.5712367624810892","0.5712367624810892","0.5708420007564297","0.5708420007564297","0.5708420007564297","0.5710381996974281","0.5710381996974281","0.5710381996974281","0.5713738653555219","0.5713738653555219","0.5713738653555219","0.5709980143721634","0.5709980143721634","0.5709980143721634","0.5710476550680786","0.5710476550680786","0.5710476550680786"
"300","0.5733263993948563","0.5733263993948563","0.5733263993948563","0.5733807677760968","0.5733807677760968","0.5733807677760968","0.5727472579425114","0.5727472579425114","0.5727472579425114","0.5729174546142208","0.5729174546142208","0.5729174546142208","0.573007280635401","0.573007280635401","0.573007280635401","0.5730734682299546","0.5730734682299546","0.5730734682299546","0.572364315431165","0.572364315431165","0.572364315431165","0.5730214636913767","0.5730214636913767","0.5730214636913767","0.5723548600605144","0.5723548600605144","0.5723548600605144","0.5727685325264751","0.5727685325264751","0.5727685325264751","0.5729576399394857","0.5729576399394857","0.5729576399394857"
"350","0.5747825264750378","0.5747825264750378","0.5747825264750378","0.5746241490166415","0.5746241490166415","0.5746241490166415","0.5750732791225416","0.5750732791225416","0.5750732791225416","0.5751040090771559","0.5751040090771559","0.5751040090771559","0.5744232223903177","0.5744232223903177","0.5744232223903177","0.5746927004538578","0.5746927004538578","0.5746927004538578","0.574562689107413","0.574562689107413","0.574562689107413","0.5748888993948563","0.5748888993948563","0.5748888993948563","0.5747636157337368","0.5747636157337368","0.5747636157337368","0.5746123298033283","0.5746123298033283","0.5746123298033283","0.5748179841149773","0.5748179841149773","0.5748179841149773"
"400","0.5756689674735249","0.5756689674735249","0.5756689674735249","0.575919534795764","0.575919534795764","0.575919534795764","0.5757682488653555","0.5757682488653555","0.5757682488653555","0.5755153177004538","0.5755153177004538","0.5755153177004538","0.5752694780635401","0.5752694780635401","0.5752694780635401","0.5754704046898639","0.5754704046898639","0.5754704046898639","0.5757044251134644","0.5757044251134644","0.5757044251134644","0.5757918872919818","0.5757918872919818","0.5757918872919818","0.5754987708018154","0.5754987708018154","0.5754987708018154","0.575893532526475","0.575893532526475","0.575893532526475","0.5758604387291982","0.5758604387291982","0.5758604387291982"
