"Step","worthy-sweep-11 - Test Accuracy","worthy-sweep-11 - Test Accuracy__MIN","worthy-sweep-11 - Test Accuracy__MAX","fiery-sweep-10 - Test Accuracy","fiery-sweep-10 - Test Accuracy__MIN","fiery-sweep-10 - Test Accuracy__MAX","giddy-sweep-9 - Test Accuracy","giddy-sweep-9 - Test Accuracy__MIN","giddy-sweep-9 - Test Accuracy__MAX","efficient-sweep-8 - Test Accuracy","efficient-sweep-8 - Test Accuracy__MIN","efficient-sweep-8 - Test Accuracy__MAX","pious-sweep-7 - Test Accuracy","pious-sweep-7 - Test Accuracy__MIN","pious-sweep-7 - Test Accuracy__MAX","decent-sweep-6 - Test Accuracy","decent-sweep-6 - Test Accuracy__MIN","decent-sweep-6 - Test Accuracy__MAX","solar-sweep-5 - Test Accuracy","solar-sweep-5 - Test Accuracy__MIN","solar-sweep-5 - Test Accuracy__MAX","magic-sweep-4 - Test Accuracy","magic-sweep-4 - Test Accuracy__MIN","magic-sweep-4 - Test Accuracy__MAX","driven-sweep-3 - Test Accuracy","driven-sweep-3 - Test Accuracy__MIN","driven-sweep-3 - Test Accuracy__MAX","dainty-sweep-2 - Test Accuracy","dainty-sweep-2 - Test Accuracy__MIN","dainty-sweep-2 - Test Accuracy__MAX","different-sweep-1 - Test Accuracy","different-sweep-1 - Test Accuracy__MIN","different-sweep-1 - Test Accuracy__MAX"
"0","0.4168045574886536","0.4168045574886536","0.4168045574886536","0.4178895612708018","0.4178895612708018","0.4178895612708018","0.4163010590015129","0.4163010590015129","0.4163010590015129","0.41660599470499243","0.41660599470499243","0.41660599470499243","0.4167643721633888","0.4167643721633888","0.4167643721633888","0.4178824697428139","0.4178824697428139","0.4178824697428139","0.41743097579425115","0.41743097579425115","0.41743097579425115","0.41371737897125566","0.41371737897125566","0.41371737897125566","0.4184143343419062","0.4184143343419062","0.4184143343419062","0.416267965204236","0.416267965204236","0.416267965204236","0.41738842662632375","0.41738842662632375","0.41738842662632375"
"50","0.577732602118003","0.577732602118003","0.577732602118003","0.5778129727685325","0.5778129727685325","0.5778129727685325","0.5780942700453858","0.5780942700453858","0.5780942700453858","0.5782668305597579","0.5782668305597579","0.5782668305597579","0.5776380484114977","0.5776380484114977","0.5776380484114977","0.5777113275340393","0.5777113275340393","0.5777113275340393","0.5777349659606656","0.5777349659606656","0.5777349659606656","0.5778413388804842","0.5778413388804842","0.5778413388804842","0.5780138993948563","0.5780138993948563","0.5780138993948563","0.5776356845688351","0.5776356845688351","0.5776356845688351","0.5778626134644478","0.5778626134644478","0.5778626134644478"
"100","0.5810112518910742","0.5810112518910742","0.5810112518910742","0.5814131051437217","0.5814131051437217","0.5814131051437217","0.5812547276853253","0.5812547276853253","0.5812547276853253","0.5810585287443267","0.5810585287443267","0.5810585287443267","0.5811672655068079","0.5811672655068079","0.5811672655068079","0.5813280068078669","0.5813280068078669","0.5813280068078669","0.580999432677761","0.580999432677761","0.580999432677761","0.5813067322239032","0.5813067322239032","0.5813067322239032","0.5812098146747352","0.5812098146747352","0.5812098146747352","0.5812169062027231","0.5812169062027231","0.5812169062027231","0.5809805219364599","0.5809805219364599","0.5809805219364599"
"150","0.5822664523449319","0.5822664523449319","0.5822664523449319","0.5823326399394856","0.5823326399394856","0.5823326399394856","0.5824933812405446","0.5824933812405446","0.5824933812405446","0.5824484682299547","0.5824484682299547","0.5824484682299547","0.5825382942511347","0.5825382942511347","0.5825382942511347","0.5821269856278366","0.5821269856278366","0.5821269856278366","0.5822120839636914","0.5822120839636914","0.5822120839636914","0.5825288388804841","0.5825288388804841","0.5825288388804841","0.5822451777609682","0.5822451777609682","0.5822451777609682","0.5822357223903177","0.5822357223903177","0.5822357223903177","0.5826304841149773","0.5826304841149773","0.5826304841149773"
"200","0.5830796142208775","0.5830796142208775","0.5830796142208775","0.5829117813918305","0.5829117813918305","0.5829117813918305","0.5831623487140696","0.5831623487140696","0.5831623487140696","0.5827439485627837","0.5827439485627837","0.5827439485627837","0.5830512481089258","0.5830512481089258","0.5830512481089258","0.5830796142208775","0.5830796142208775","0.5830796142208775","0.5830063350983359","0.5830063350983359","0.5830063350983359","0.5831268910741301","0.5831268910741301","0.5831268910741301","0.5836256618759456","0.5836256618759456","0.5836256618759456","0.5833750945537065","0.5833750945537065","0.5833750945537065","0.5830063350983359","0.5830063350983359","0.5830063350983359"
"250","0.5836918494704992","0.5836918494704992","0.5836918494704992","0.5838384077155825","0.5838384077155825","0.5838384077155825","0.5836185703479576","0.5836185703479576","0.5836185703479576","0.5837556732223903","0.5837556732223903","0.5837556732223903","0.5836611195158851","0.5836611195158851","0.5836611195158851","0.5837580370650529","0.5837580370650529","0.5837580370650529","0.5836611195158851","0.5836611195158851","0.5836611195158851","0.5836965771558245","0.5836965771558245","0.5836965771558245","0.5837273071104387","0.5837273071104387","0.5837273071104387","0.5835854765506808","0.5835854765506808","0.5835854765506808","0.5836280257186082","0.5836280257186082","0.5836280257186082"
"300","0.5840227874432677","0.5840227874432677","0.5840227874432677","0.583623298033283","0.583623298033283","0.583623298033283","0.5838194969742814","0.5838194969742814","0.5838194969742814","0.5840653366111952","0.5840653366111952","0.5840653366111952","0.5840582450832073","0.5840582450832073","0.5840582450832073","0.5838833207261724","0.5838833207261724","0.5838833207261724","0.5839447806354009","0.5839447806354009","0.5839447806354009","0.5836729387291982","0.5836729387291982","0.5836729387291982","0.5840818835098336","0.5840818835098336","0.5840818835098336","0.5839944213313162","0.5839944213313162","0.5839944213313162","0.5837887670196672","0.5837887670196672","0.5837887670196672"
"350","0.5842284417549168","0.5842284417549168","0.5842284417549168","0.5841409795763994","0.5841409795763994","0.5841409795763994","0.5839329614220877","0.5839329614220877","0.5839329614220877","0.5842638993948562","0.5842638993948562","0.5842638993948562","0.5844317322239032","0.5844317322239032","0.5844317322239032","0.5842828101361573","0.5842828101361573","0.5842828101361573","0.5839305975794251","0.5839305975794251","0.5839305975794251","0.5839684190620272","0.5839684190620272","0.5839684190620272","0.5841244326777609","0.5841244326777609","0.5841244326777609","0.5840629727685325","0.5840629727685325","0.5840629727685325","0.5839518721633888","0.5839518721633888","0.5839518721633888"
"400","0.5841598903177004","0.5841598903177004","0.5841598903177004","0.5844955559757943","0.5844955559757943","0.5844955559757943","0.5842331694402421","0.5842331694402421","0.5842331694402421","0.5842355332829047","0.5842355332829047","0.5842355332829047","0.5844600983358548","0.5844600983358548","0.5844600983358548","0.5842308055975795","0.5842308055975795","0.5842308055975795","0.5842568078668684","0.5842568078668684","0.5842568078668684","0.584259171709531","0.584259171709531","0.584259171709531","0.5841220688350983","0.5841220688350983","0.5841220688350983","0.5842048033282905","0.5842048033282905","0.5842048033282905","0.5841055219364599","0.5841055219364599","0.5841055219364599"
