"Step","rosy-sweep-11 - Test Accuracy","rosy-sweep-11 - Test Accuracy__MIN","rosy-sweep-11 - Test Accuracy__MAX","polar-sweep-10 - Test Accuracy","polar-sweep-10 - Test Accuracy__MIN","polar-sweep-10 - Test Accuracy__MAX","spring-sweep-9 - Test Accuracy","spring-sweep-9 - Test Accuracy__MIN","spring-sweep-9 - Test Accuracy__MAX","logical-sweep-8 - Test Accuracy","logical-sweep-8 - Test Accuracy__MIN","logical-sweep-8 - Test Accuracy__MAX","ethereal-sweep-7 - Test Accuracy","ethereal-sweep-7 - Test Accuracy__MIN","ethereal-sweep-7 - Test Accuracy__MAX","eternal-sweep-6 - Test Accuracy","eternal-sweep-6 - Test Accuracy__MIN","eternal-sweep-6 - Test Accuracy__MAX","deep-sweep-5 - Test Accuracy","deep-sweep-5 - Test Accuracy__MIN","deep-sweep-5 - Test Accuracy__MAX","fiery-sweep-4 - Test Accuracy","fiery-sweep-4 - Test Accuracy__MIN","fiery-sweep-4 - Test Accuracy__MAX","charmed-sweep-3 - Test Accuracy","charmed-sweep-3 - Test Accuracy__MIN","charmed-sweep-3 - Test Accuracy__MAX","jumping-sweep-2 - Test Accuracy","jumping-sweep-2 - Test Accuracy__MIN","jumping-sweep-2 - Test Accuracy__MAX","unique-sweep-1 - Test Accuracy","unique-sweep-1 - Test Accuracy__MIN","unique-sweep-1 - Test Accuracy__MAX"
"0","0.4168045574886536","0.4168045574886536","0.4168045574886536","0.4178895612708018","0.4178895612708018","0.4178895612708018","0.4163010590015129","0.4163010590015129","0.4163010590015129","0.41660599470499243","0.41660599470499243","0.41660599470499243","0.4167643721633888","0.4167643721633888","0.4167643721633888","0.4178824697428139","0.4178824697428139","0.4178824697428139","0.41743097579425115","0.41743097579425115","0.41743097579425115","0.41371737897125566","0.41371737897125566","0.41371737897125566","0.4184143343419062","0.4184143343419062","0.4184143343419062","0.416267965204236","0.416267965204236","0.416267965204236","0.41738842662632375","0.41738842662632375","0.41738842662632375"
"50","0.5769501701966717","0.5769501701966717","0.5769501701966717","0.5771061838124054","0.5771061838124054","0.5771061838124054","0.5766428706505295","0.5766428706505295","0.5766428706505295","0.5766806921331317","0.5766806921331317","0.5766806921331317","0.5765979576399395","0.5765979576399395","0.5765979576399395","0.5767539712556732","0.5767539712556732","0.5767539712556732","0.5768437972768532","0.5768437972768532","0.5768437972768532","0.5768934379727685","0.5768934379727685","0.5768934379727685","0.5767066944024206","0.5767066944024206","0.5767066944024206","0.5767326966717096","0.5767326966717096","0.5767326966717096","0.5766996028744327","0.5766996028744327","0.5766996028744327"
"100","0.5803068267776097","0.5803068267776097","0.5803068267776097","0.5804888426626323","0.5804888426626323","0.5804888426626323","0.579919156580938","0.579919156580938","0.579919156580938","0.5798056921331316","0.5798056921331316","0.5798056921331316","0.579990071860817","0.579990071860817","0.579990071860817","0.5802240922844175","0.5802240922844175","0.5802240922844175","0.5801886346444781","0.5801886346444781","0.5801886346444781","0.580633037065053","0.580633037065053","0.580633037065053","0.580169723903177","0.580169723903177","0.580169723903177","0.5803020990922844","0.5803020990922844","0.5803020990922844","0.5799451588502269","0.5799451588502269","0.5799451588502269"
"150","0.5809876134644478","0.5809876134644478","0.5809876134644478","0.581186176248109","0.581186176248109","0.581186176248109","0.5813256429652043","0.5813256429652043","0.5813256429652043","0.5812452723146747","0.5812452723146747","0.5812452723146747","0.5815856656580938","0.5815856656580938","0.5815856656580938","0.5807843229954615","0.5807843229954615","0.5807843229954615","0.5814131051437217","0.5814131051437217","0.5814131051437217","0.5815643910741302","0.5815643910741302","0.5815643910741302","0.5814461989409985","0.5814461989409985","0.5814461989409985","0.5814367435703479","0.5814367435703479","0.5814367435703479","0.5814934757942511","0.5814934757942511","0.5814934757942511"
"200","0.5819402420574886","0.5819402420574886","0.5819402420574886","0.5824271936459909","0.5824271936459909","0.5824271936459909","0.5820868003025719","0.5820868003025719","0.5820868003025719","0.5819756996974281","0.5819756996974281","0.5819756996974281","0.5819780635400907","0.5819780635400907","0.5819780635400907","0.582240450075643","0.582240450075643","0.582240450075643","0.581758226172466","0.581758226172466","0.581758226172466","0.582124621785174","0.582124621785174","0.582124621785174","0.5822026285930408","0.5822026285930408","0.5822026285930408","0.5823704614220877","0.5823704614220877","0.5823704614220877","0.5819260590015128","0.5819260590015128","0.5819260590015128"
"250","0.5825453857791225","0.5825453857791225","0.5825453857791225","0.5828125","0.5828125","0.5828125","0.5830063350983359","0.5830063350983359","0.5830063350983359","0.5827037632375189","0.5827037632375189","0.5827037632375189","0.582394099848714","0.582394099848714","0.582394099848714","0.5827250378214825","0.5827250378214825","0.5827250378214825","0.5825595688350983","0.5825595688350983","0.5825595688350983","0.5829259644478063","0.5829259644478063","0.5829259644478063","0.5831245272314675","0.5831245272314675","0.5831245272314675","0.5827534039334342","0.5827534039334342","0.5827534039334342","0.5827817700453858","0.5827817700453858","0.5827817700453858"
"300","0.583339636913767","0.583339636913767","0.583339636913767","0.5828597768532526","0.5828597768532526","0.5828597768532526","0.5824744704992436","0.5824744704992436","0.5824744704992436","0.5828385022692889","0.5828385022692889","0.5828385022692889","0.58303706505295","0.58303706505295","0.58303706505295","0.5825028366111952","0.5825028366111952","0.5825028366111952","0.583313634644478","0.583313634644478","0.583313634644478","0.5828337745839637","0.5828337745839637","0.5828337745839637","0.5829685136157338","0.5829685136157338","0.5829685136157338","0.5832048978819969","0.5832048978819969","0.5832048978819969","0.582375189107413","0.582375189107413","0.582375189107413"
"350","0.583070158850227","0.583070158850227","0.583070158850227","0.5831056164901665","0.5831056164901665","0.5831056164901665","0.5831174357034796","0.5831174357034796","0.5831174357034796","0.5831127080181543","0.5831127080181543","0.5831127080181543","0.5831363464447806","0.5831363464447806","0.5831363464447806","0.5829496028744326","0.5829496028744326","0.5829496028744326","0.58294723903177","0.58294723903177","0.58294723903177","0.583230900151286","0.583230900151286","0.583230900151286","0.5828881429652042","0.5828881429652042","0.5828881429652042","0.5832781770045385","0.5832781770045385","0.5832781770045385","0.58285741301059","0.58285741301059","0.58285741301059"
"400","0.5834176437216338","0.5834176437216338","0.5834176437216338","0.5832143532526475","0.5832143532526475","0.5832143532526475","0.5833301815431164","0.5833301815431164","0.5833301815431164","0.583526380484115","0.583526380484115","0.583526380484115","0.5830110627836611","0.5830110627836611","0.5830110627836611","0.5831930786686839","0.5831930786686839","0.5831930786686839","0.5836303895612708","0.5836303895612708","0.5836303895612708","0.5833538199697428","0.5833538199697428","0.5833538199697428","0.5832994515885023","0.5832994515885023","0.5832994515885023","0.5832190809379728","0.5832190809379728","0.5832190809379728","0.5827203101361573","0.5827203101361573","0.5827203101361573"
