"Step","likely-sweep-11 - Test Accuracy","likely-sweep-11 - Test Accuracy__MIN","likely-sweep-11 - Test Accuracy__MAX","misunderstood-sweep-10 - Test Accuracy","misunderstood-sweep-10 - Test Accuracy__MIN","misunderstood-sweep-10 - Test Accuracy__MAX","peach-sweep-9 - Test Accuracy","peach-sweep-9 - Test Accuracy__MIN","peach-sweep-9 - Test Accuracy__MAX","devout-sweep-8 - Test Accuracy","devout-sweep-8 - Test Accuracy__MIN","devout-sweep-8 - Test Accuracy__MAX","stellar-sweep-7 - Test Accuracy","stellar-sweep-7 - Test Accuracy__MIN","stellar-sweep-7 - Test Accuracy__MAX","wobbly-sweep-6 - Test Accuracy","wobbly-sweep-6 - Test Accuracy__MIN","wobbly-sweep-6 - Test Accuracy__MAX","tough-sweep-5 - Test Accuracy","tough-sweep-5 - Test Accuracy__MIN","tough-sweep-5 - Test Accuracy__MAX","lively-sweep-4 - Test Accuracy","lively-sweep-4 - Test Accuracy__MIN","lively-sweep-4 - Test Accuracy__MAX","sandy-sweep-3 - Test Accuracy","sandy-sweep-3 - Test Accuracy__MIN","sandy-sweep-3 - Test Accuracy__MAX","earthy-sweep-2 - Test Accuracy","earthy-sweep-2 - Test Accuracy__MIN","earthy-sweep-2 - Test Accuracy__MAX","dashing-sweep-1 - Test Accuracy","dashing-sweep-1 - Test Accuracy__MIN","dashing-sweep-1 - Test Accuracy__MAX"
"0","0.3873298033282905","0.3873298033282905","0.3873298033282905","0.3859611384266263","0.3859611384266263","0.3859611384266263","0.38393296142208777","0.38393296142208777","0.38393296142208777","0.38497068835098336","0.38497068835098336","0.38497068835098336","0.38646936459909226","0.38646936459909226","0.38646936459909226","0.3879325832072617","0.3879325832072617","0.3879325832072617","0.3874929084720121","0.3874929084720121","0.3874929084720121","0.38126181921331315","0.38126181921331315","0.38126181921331315","0.3865237329803328","0.3865237329803328","0.3865237329803328","0.385043967473525","0.385043967473525","0.385043967473525","0.3860675113464448","0.3860675113464448","0.3860675113464448"
"50","0.5761464636913767","0.5761464636913767","0.5761464636913767","0.5756973335854766","0.5756973335854766","0.5756973335854766","0.5749479954614221","0.5749479954614221","0.5749479954614221","0.5754042170953101","0.5754042170953101","0.5754042170953101","0.575250567322239","0.575250567322239","0.575250567322239","0.5752860249621785","0.5752860249621785","0.5752860249621785","0.5730592851739789","0.5730592851739789","0.5730592851739789","0.5749101739788199","0.5749101739788199","0.5749101739788199","0.5734847768532526","0.5734847768532526","0.5734847768532526","0.5734067700453858","0.5734067700453858","0.5734067700453858","0.573116017397882","0.573116017397882","0.573116017397882"
"100","0.5789759833585476","0.5789759833585476","0.5789759833585476","0.5782171898638426","0.5782171898638426","0.5782171898638426","0.5781486384266263","0.5781486384266263","0.5781486384266263","0.5776451399394856","0.5776451399394856","0.5776451399394856","0.5784937594553706","0.5784937594553706","0.5784937594553706","0.5788081505295007","0.5788081505295007","0.5788081505295007","0.5768721633888049","0.5768721633888049","0.5768721633888049","0.5784559379727685","0.5784559379727685","0.5784559379727685","0.5783330181543116","0.5783330181543116","0.5783330181543116","0.5766996028744327","0.5766996028744327","0.5766996028744327","0.5786639561270802","0.5786639561270802","0.5786639561270802"
"150","0.5798529689863843","0.5798529689863843","0.5798529689863843","0.5793281959152798","0.5793281959152798","0.5793281959152798","0.5791178139183056","0.5791178139183056","0.5791178139183056","0.5795149394856278","0.5795149394856278","0.5795149394856278","0.5795385779122542","0.5795385779122542","0.5795385779122542","0.5790965393343419","0.5790965393343419","0.5790965393343419","0.5782479198184569","0.5782479198184569","0.5782479198184569","0.5793872919818457","0.5793872919818457","0.5793872919818457","0.5799522503782149","0.5799522503782149","0.5799522503782149","0.5793494704992436","0.5793494704992436","0.5793494704992436","0.57977732602118","0.57977732602118","0.57977732602118"
"200","0.5803611951588502","0.5803611951588502","0.5803611951588502","0.5800751701966718","0.5800751701966718","0.5800751701966718","0.5804510211800302","0.5804510211800302","0.5804510211800302","0.5804888426626323","0.5804888426626323","0.5804888426626323","0.5800373487140696","0.5800373487140696","0.5800373487140696","0.5803682866868382","0.5803682866868382","0.5803682866868382","0.5773780257186082","0.5773780257186082","0.5773780257186082","0.5802453668683812","0.5802453668683812","0.5802453668683812","0.5804439296520424","0.5804439296520424","0.5804439296520424","0.5807866868381241","0.5807866868381241","0.5807866868381241","0.580285552193646","0.580285552193646","0.580285552193646"
"250","0.5808055975794251","0.5808055975794251","0.5808055975794251","0.580902515128593","0.580902515128593","0.580902515128593","0.5807772314674735","0.5807772314674735","0.5807772314674735","0.5811388993948563","0.5811388993948563","0.5811388993948563","0.580838691376702","0.580838691376702","0.580838691376702","0.5808859682299546","0.5808859682299546","0.5808859682299546","0.5809970688350984","0.5809970688350984","0.5809970688350984","0.5811672655068079","0.5811672655068079","0.5811672655068079","0.580928517397882","0.580928517397882","0.580928517397882","0.580812689107413","0.580812689107413","0.580812689107413","0.5808339636913767","0.5808339636913767","0.5808339636913767"
"300","0.5813114599092284","0.5813114599092284","0.5813114599092284","0.5812405446293495","0.5812405446293495","0.5812405446293495","0.5806472201210288","0.5806472201210288","0.5806472201210288","0.5809828857791225","0.5809828857791225","0.5809828857791225","0.5815809379727686","0.5815809379727686","0.5815809379727686","0.5813563729198185","0.5813563729198185","0.5813563729198185","0.5797276853252648","0.5797276853252648","0.5797276853252648","0.5807252269288956","0.5807252269288956","0.5807252269288956","0.5810679841149773","0.5810679841149773","0.5810679841149773","0.5812192700453858","0.5812192700453858","0.5812192700453858","0.5810538010590015","0.5810538010590015","0.5810538010590015"
"350","0.5812429084720121","0.5812429084720121","0.5812429084720121","0.5815171142208775","0.5815171142208775","0.5815171142208775","0.5811625378214826","0.5811625378214826","0.5811625378214826","0.5787561459909228","0.5787561459909228","0.5787561459909228","0.5790941754916793","0.5790941754916793","0.5790941754916793","0.5810750756429652","0.5810750756429652","0.5810750756429652","0.5777396936459909","0.5777396936459909","0.5777396936459909","0.5815052950075643","0.5815052950075643","0.5815052950075643","0.5817204046898639","0.5817204046898639","0.5817204046898639","0.5815052950075643","0.5815052950075643","0.5815052950075643","0.5805148449319213","0.5805148449319213","0.5805148449319213"
"400","0.581918967473525","0.581918967473525","0.581918967473525","0.5791556354009078","0.5791556354009078","0.5791556354009078","0.5807606845688351","0.5807606845688351","0.5807606845688351","0.5802477307110439","0.5802477307110439","0.5802477307110439","0.5790965393343419","0.5790965393343419","0.5790965393343419","0.5816447617246596","0.5816447617246596","0.5816447617246596","0.5792549167927383","0.5792549167927383","0.5792549167927383","0.5817464069591528","0.5817464069591528","0.5817464069591528","0.5814343797276853","0.5814343797276853","0.5814343797276853","0.5818433245083208","0.5818433245083208","0.5818433245083208","0.58102543494705","0.58102543494705","0.58102543494705"
