"Step","vivid-sweep-11 - Test Accuracy","vivid-sweep-11 - Test Accuracy__MIN","vivid-sweep-11 - Test Accuracy__MAX","likely-sweep-10 - Test Accuracy","likely-sweep-10 - Test Accuracy__MIN","likely-sweep-10 - Test Accuracy__MAX","rosy-sweep-9 - Test Accuracy","rosy-sweep-9 - Test Accuracy__MIN","rosy-sweep-9 - Test Accuracy__MAX","true-sweep-8 - Test Accuracy","true-sweep-8 - Test Accuracy__MIN","true-sweep-8 - Test Accuracy__MAX","wise-sweep-7 - Test Accuracy","wise-sweep-7 - Test Accuracy__MIN","wise-sweep-7 - Test Accuracy__MAX","fearless-sweep-6 - Test Accuracy","fearless-sweep-6 - Test Accuracy__MIN","fearless-sweep-6 - Test Accuracy__MAX","smooth-sweep-5 - Test Accuracy","smooth-sweep-5 - Test Accuracy__MIN","smooth-sweep-5 - Test Accuracy__MAX","restful-sweep-4 - Test Accuracy","restful-sweep-4 - Test Accuracy__MIN","restful-sweep-4 - Test Accuracy__MAX","vivid-sweep-3 - Test Accuracy","vivid-sweep-3 - Test Accuracy__MIN","vivid-sweep-3 - Test Accuracy__MAX","fresh-sweep-2 - Test Accuracy","fresh-sweep-2 - Test Accuracy__MIN","fresh-sweep-2 - Test Accuracy__MAX","royal-sweep-1 - Test Accuracy","royal-sweep-1 - Test Accuracy__MIN","royal-sweep-1 - Test Accuracy__MAX"
"0","0.02128640317700454","0.02128640317700454","0.02128640317700454","0.03515743192133131","0.03515743192133131","0.03515743192133131","0.004354198184568835","0.004354198184568835","0.004354198184568835","0.0032928328290468987","0.0032928328290468987","0.0032928328290468987","0.01683765128593041","0.01683765128593041","0.01683765128593041","0.003219553706505295","0.003219553706505295","0.003219553706505295","0.00014183055975794251","0.00014183055975794251","0.00014183055975794251","0.016643816187594553","0.016643816187594553","0.016643816187594553","0.0008675302571860817","0.0008675302571860817","0.0008675302571860817","0.009259171709531014","0.009259171709531014","0.009259171709531014","0.09826730332829046","0.09826730332829046","0.09826730332829046"
"50","0.5583490922844175","0.5583490922844175","0.5583490922844175","0.5483524016641452","0.5483524016641452","0.5483524016641452","0.5273189296520424","0.5273189296520424","0.5273189296520424","0.5102732602118003","0.5102732602118003","0.5102732602118003","0.5333774583963692","0.5333774583963692","0.5333774583963692","0.5603796331316188","0.5603796331316188","0.5603796331316188","0.5467355332829047","0.5467355332829047","0.5467355332829047","0.5385542738275341","0.5385542738275341","0.5385542738275341","0.5391806921331316","0.5391806921331316","0.5391806921331316","0.5540019856278366","0.5540019856278366","0.5540019856278366","0.5319213313161876","0.5319213313161876","0.5319213313161876"
"100","0.574491773827534","0.574491773827534","0.574491773827534","0.558873865355522","0.558873865355522","0.558873865355522","0.5374290847201211","0.5374290847201211","0.5374290847201211","0.5432252269288956","0.5432252269288956","0.5432252269288956","0.5621288767019668","0.5621288767019668","0.5621288767019668","0.5649418494704992","0.5649418494704992","0.5649418494704992","0.5464849659606656","0.5464849659606656","0.5464849659606656","0.5668565620272314","0.5668565620272314","0.5668565620272314","0.5430928517397882","0.5430928517397882","0.5430928517397882","0.5708987329803328","0.5708987329803328","0.5708987329803328","0.5654689863842662","0.5654689863842662","0.5654689863842662"
"150","0.5603749054462935","0.5603749054462935","0.5603749054462935","0.5662395990922844","0.5662395990922844","0.5662395990922844","0.5321624432677761","0.5321624432677761","0.5321624432677761","0.5620697806354009","0.5620697806354009","0.5620697806354009","0.5634124432677761","0.5634124432677761","0.5634124432677761","0.5786214069591528","0.5786214069591528","0.5786214069591528","0.5637764750378215","0.5637764750378215","0.5637764750378215","0.5645045385779123","0.5645045385779123","0.5645045385779123","0.5525151285930409","0.5525151285930409","0.5525151285930409","0.5580323373676248","0.5580323373676248","0.5580323373676248","0.5627387481089259","0.5627387481089259","0.5627387481089259"
"200","0.5683434190620272","0.5683434190620272","0.5683434190620272","0.5704070537065052","0.5704070537065052","0.5704070537065052","0.5467402609682299","0.5467402609682299","0.5467402609682299","0.5630578668683812","0.5630578668683812","0.5630578668683812","0.5494775907715582","0.5494775907715582","0.5494775907715582","0.5693078668683812","0.5693078668683812","0.5693078668683812","0.5618192133131619","0.5618192133131619","0.5618192133131619","0.5635211800302572","0.5635211800302572","0.5635211800302572","0.5297347768532527","0.5297347768532527","0.5297347768532527","0.577642776096823","0.577642776096823","0.577642776096823","0.5777751512859304","0.5777751512859304","0.5777751512859304"
"250","0.579134360816944","0.579134360816944","0.579134360816944","0.5756926059001513","0.5756926059001513","0.5756926059001513","0.5584531013615733","0.5584531013615733","0.5584531013615733","0.5754751323751891","0.5754751323751891","0.5754751323751891","0.559375","0.559375","0.559375","0.5604576399394856","0.5604576399394856","0.5604576399394856","0.5652562405446293","0.5652562405446293","0.5652562405446293","0.5408070158850227","0.5408070158850227","0.5408070158850227","0.5677737329803328","0.5677737329803328","0.5677737329803328","0.573732980332829","0.573732980332829","0.573732980332829","0.5700642965204236","0.5700642965204236","0.5700642965204236"
"300","0.5755413199697428","0.5755413199697428","0.5755413199697428","0.5613464447806354","0.5613464447806354","0.5613464447806354","0.5630129538577913","0.5630129538577913","0.5630129538577913","0.5763993948562783","0.5763993948562783","0.5763993948562783","0.5723477685325264","0.5723477685325264","0.5723477685325264","0.5778886157337367","0.5778886157337367","0.5778886157337367","0.5737778933434191","0.5737778933434191","0.5737778933434191","0.5731467473524963","0.5731467473524963","0.5731467473524963","0.5275033093797277","0.5275033093797277","0.5275033093797277","0.5787892397881997","0.5787892397881997","0.5787892397881997","0.5641830559757942","0.5641830559757942","0.5641830559757942"
"350","0.5636110060514372","0.5636110060514372","0.5636110060514372","0.5784606656580938","0.5784606656580938","0.5784606656580938","0.5786757753403934","0.5786757753403934","0.5786757753403934","0.5781013615733737","0.5781013615733737","0.5781013615733737","0.547331221633888","0.547331221633888","0.547331221633888","0.5691258509833585","0.5691258509833585","0.5691258509833585","0.5564674735249622","0.5564674735249622","0.5564674735249622","0.5421614977307111","0.5421614977307111","0.5421614977307111","0.5738015317700453","0.5738015317700453","0.5738015317700453","0.5753498487140696","0.5753498487140696","0.5753498487140696","0.5749692700453858","0.5749692700453858","0.5749692700453858"
"400","0.575250567322239","0.575250567322239","0.575250567322239","0.5623227118003026","0.5623227118003026","0.5623227118003026","0.5766097768532527","0.5766097768532527","0.5766097768532527","0.5728465393343419","0.5728465393343419","0.5728465393343419","0.5756926059001513","0.5756926059001513","0.5756926059001513","0.5394454425113464","0.5394454425113464","0.5394454425113464","0.5787774205748866","0.5787774205748866","0.5787774205748866","0.5685348903177004","0.5685348903177004","0.5685348903177004","0.548366584720121","0.548366584720121","0.548366584720121","0.5555810325264751","0.5555810325264751","0.5555810325264751","0.5767586989409985","0.5767586989409985","0.5767586989409985"
