"Step","bumbling-sweep-11 - Average Weighted Test Accuracy","bumbling-sweep-11 - Average Weighted Test Accuracy__MIN","bumbling-sweep-11 - Average Weighted Test Accuracy__MAX","exalted-sweep-10 - Average Weighted Test Accuracy","exalted-sweep-10 - Average Weighted Test Accuracy__MIN","exalted-sweep-10 - Average Weighted Test Accuracy__MAX","vivid-sweep-9 - Average Weighted Test Accuracy","vivid-sweep-9 - Average Weighted Test Accuracy__MIN","vivid-sweep-9 - Average Weighted Test Accuracy__MAX","crimson-sweep-8 - Average Weighted Test Accuracy","crimson-sweep-8 - Average Weighted Test Accuracy__MIN","crimson-sweep-8 - Average Weighted Test Accuracy__MAX","sparkling-sweep-7 - Average Weighted Test Accuracy","sparkling-sweep-7 - Average Weighted Test Accuracy__MIN","sparkling-sweep-7 - Average Weighted Test Accuracy__MAX","brisk-sweep-6 - Average Weighted Test Accuracy","brisk-sweep-6 - Average Weighted Test Accuracy__MIN","brisk-sweep-6 - Average Weighted Test Accuracy__MAX","lunar-sweep-5 - Average Weighted Test Accuracy","lunar-sweep-5 - Average Weighted Test Accuracy__MIN","lunar-sweep-5 - Average Weighted Test Accuracy__MAX","clean-sweep-4 - Average Weighted Test Accuracy","clean-sweep-4 - Average Weighted Test Accuracy__MIN","clean-sweep-4 - Average Weighted Test Accuracy__MAX","graceful-sweep-2 - Average Weighted Test Accuracy","graceful-sweep-2 - Average Weighted Test Accuracy__MIN","graceful-sweep-2 - Average Weighted Test Accuracy__MAX","fluent-sweep-3 - Average Weighted Test Accuracy","fluent-sweep-3 - Average Weighted Test Accuracy__MIN","fluent-sweep-3 - Average Weighted Test Accuracy__MAX","winter-sweep-1 - Average Weighted Test Accuracy","winter-sweep-1 - Average Weighted Test Accuracy__MIN","winter-sweep-1 - Average Weighted Test Accuracy__MAX"
"30","0.46417596444780634","0.46417596444780634","0.46417596444780634","0.4656013615733737","0.4656013615733737","0.4656013615733737","0.4659110249621785","0.4659110249621785","0.4659110249621785","0.4640057677760968","0.4640057677760968","0.4640057677760968","0.4652184190620272","0.4652184190620272","0.4652184190620272","0.4667549167927383","0.4667549167927383","0.4667549167927383","0.4647621974281392","0.4647621974281392","0.4647621974281392","0.462892397881997","0.462892397881997","0.462892397881997","0.4636795574886536","0.4636795574886536","0.4636795574886536","0.4663767019667171","0.4663767019667171","0.4663767019667171","0.46467709909228444","0.46467709909228444","0.46467709909228444"
"31","0.4653058812405446","0.4653058812405446","0.4653058812405446","0.4665729009077156","0.4665729009077156","0.4665729009077156","0.4669180219364599","0.4669180219364599","0.4669180219364599","0.46578101361573376","0.46578101361573376","0.46578101361573376","0.4668589258698941","0.4668589258698941","0.4668589258698941","0.4677240922844175","0.4677240922844175","0.4677240922844175","0.4668305597579425","0.4668305597579425","0.4668305597579425","0.463830843419062","0.463830843419062","0.463830843419062","0.46494894099848716","0.46494894099848716","0.46494894099848716","0.4679131996974281","0.4679131996974281","0.4679131996974281","0.4653838880484115","0.4653838880484115","0.4653838880484115"
"32","0.4668447428139183","0.4668447428139183","0.4668447428139183","0.46762953857791223","0.46762953857791223","0.46762953857791223","0.4683646936459909","0.4683646936459909","0.4683646936459909","0.4669676626323752","0.4669676626323752","0.4669676626323752","0.4681803139183056","0.4681803139183056","0.4681803139183056","0.4693575075642965","0.4693575075642965","0.4693575075642965","0.46755625945537066","0.46755625945537066","0.46755625945537066","0.4647101928895613","0.4647101928895613","0.4647101928895613","0.4665658093797277","0.4665658093797277","0.4665658093797277","0.4689792927382753","0.4689792927382753","0.4689792927382753","0.4667572806354009","0.4667572806354009","0.4667572806354009"
"33","0.46848524962178517","0.46848524962178517","0.46848524962178517","0.46886346444780636","0.46886346444780636","0.46886346444780636","0.4698610060514372","0.4698610060514372","0.4698610060514372","0.4683623298033283","0.4683623298033283","0.4683623298033283","0.4693693267776097","0.4693693267776097","0.4693693267776097","0.47026285930408473","0.47026285930408473","0.47026285930408473","0.4693645990922844","0.4693645990922844","0.4693645990922844","0.4667927382753404","0.4667927382753404","0.4667927382753404","0.46742388426626325","0.46742388426626325","0.46742388426626325","0.47099565052950076","0.47099565052950076","0.47099565052950076","0.4690289334341906","0.4690289334341906","0.4690289334341906"
"34","0.46894383509833587","0.46894383509833587","0.46894383509833587","0.4703361384266263","0.4703361384266263","0.4703361384266263","0.4713620461422088","0.4713620461422088","0.4713620461422088","0.46979009077155826","0.46979009077155826","0.46979009077155826","0.47068125945537065","0.47068125945537065","0.47068125945537065","0.4709696482602118","0.4709696482602118","0.4709696482602118","0.4706103441754917","0.4706103441754917","0.4706103441754917","0.46803139183055975","0.46803139183055975","0.46803139183055975","0.46900056732223905","0.46900056732223905","0.46900056732223905","0.47201919440242057","0.47201919440242057","0.47201919440242057","0.4701399394856278","0.4701399394856278","0.4701399394856278"
"35","0.46993901285930406","0.46993901285930406","0.46993901285930406","0.4709861951588502","0.4709861951588502","0.4709861951588502","0.4717804462934947","0.4717804462934947","0.4717804462934947","0.4711965771558245","0.4711965771558245","0.4711965771558245","0.4713998676248109","0.4713998676248109","0.4713998676248109","0.4725203290468986","0.4725203290468986","0.4725203290468986","0.47150624054462936","0.47150624054462936","0.47150624054462936","0.4692913199697428","0.4692913199697428","0.4692913199697428","0.4705110627836611","0.4705110627836611","0.4705110627836611","0.4725250567322239","0.4725250567322239","0.4725250567322239","0.4718726361573374","0.4718726361573374","0.4718726361573374"
"36","0.47178990166414525","0.47178990166414525","0.47178990166414525","0.4729623676248109","0.4729623676248109","0.4729623676248109","0.473643154311649","0.473643154311649","0.473643154311649","0.4718726361573374","0.4718726361573374","0.4718726361573374","0.4724210476550681","0.4724210476550681","0.4724210476550681","0.47352732602118003","0.47352732602118003","0.47352732602118003","0.47224375945537067","0.47224375945537067","0.47224375945537067","0.47035268532526475","0.47035268532526475","0.47035268532526475","0.4713785930408472","0.4713785930408472","0.4713785930408472","0.47407810136157336","0.47407810136157336","0.47407810136157336","0.47239031770045387","0.47239031770045387","0.47239031770045387"
"37","0.47305455748865355","0.47305455748865355","0.47305455748865355","0.4739102685325265","0.4739102685325265","0.4739102685325265","0.4746856089258699","0.4746856089258699","0.4746856089258699","0.47272361951588504","0.47272361951588504","0.47272361951588504","0.4738251701966717","0.4738251701966717","0.4738251701966717","0.47524583963691375","0.47524583963691375","0.47524583963691375","0.47373298033282907","0.47373298033282907","0.47373298033282907","0.47198137291981845","0.47198137291981845","0.47198137291981845","0.4728607223903177","0.4728607223903177","0.4728607223903177","0.47547040468986385","0.47547040468986385","0.47547040468986385","0.4735178706505295","0.4735178706505295","0.4735178706505295"
"38","0.4743428517397882","0.4743428517397882","0.4743428517397882","0.4750590960665658","0.4750590960665658","0.4750590960665658","0.47579188729198185","0.47579188729198185","0.47579188729198185","0.47388663010590015","0.47388663010590015","0.47388663010590015","0.4746596066565809","0.4746596066565809","0.4746596066565809","0.47609209531013613","0.47609209531013613","0.47609209531013613","0.47459341906202723","0.47459341906202723","0.47459341906202723","0.4726999810892587","0.4726999810892587","0.4726999810892587","0.4741750189107413","0.4741750189107413","0.4741750189107413","0.47621265128593043","0.47621265128593043","0.47621265128593043","0.47477070726172466","0.47477070726172466","0.47477070726172466"
"39","0.475366395612708","0.475366395612708","0.475366395612708","0.4761322806354009","0.4761322806354009","0.4761322806354009","0.47663341527987896","0.47663341527987896","0.47663341527987896","0.475","0.475","0.475","0.4756287821482602","0.4756287821482602","0.4756287821482602","0.47681543116490166","0.47681543116490166","0.47681543116490166","0.4761937405446294","0.4761937405446294","0.4761937405446294","0.47392917927382755","0.47392917927382755","0.47392917927382755","0.47471870272314676","0.47471870272314676","0.47471870272314676","0.4767610627836611","0.4767610627836611","0.4767610627836611","0.4758226172465961","0.4758226172465961","0.4758226172465961"
