"Step","glorious-sweep-11 - pFedMe Test Accuracy","glorious-sweep-11 - pFedMe Test Accuracy__MIN","glorious-sweep-11 - pFedMe Test Accuracy__MAX","royal-sweep-10 - pFedMe Test Accuracy","royal-sweep-10 - pFedMe Test Accuracy__MIN","royal-sweep-10 - pFedMe Test Accuracy__MAX","playful-sweep-9 - pFedMe Test Accuracy","playful-sweep-9 - pFedMe Test Accuracy__MIN","playful-sweep-9 - pFedMe Test Accuracy__MAX","smooth-sweep-8 - pFedMe Test Accuracy","smooth-sweep-8 - pFedMe Test Accuracy__MIN","smooth-sweep-8 - pFedMe Test Accuracy__MAX","wandering-sweep-7 - pFedMe Test Accuracy","wandering-sweep-7 - pFedMe Test Accuracy__MIN","wandering-sweep-7 - pFedMe Test Accuracy__MAX","effortless-sweep-5 - pFedMe Test Accuracy","effortless-sweep-5 - pFedMe Test Accuracy__MIN","effortless-sweep-5 - pFedMe Test Accuracy__MAX","still-sweep-6 - pFedMe Test Accuracy","still-sweep-6 - pFedMe Test Accuracy__MIN","still-sweep-6 - pFedMe Test Accuracy__MAX","woven-sweep-4 - pFedMe Test Accuracy","woven-sweep-4 - pFedMe Test Accuracy__MIN","woven-sweep-4 - pFedMe Test Accuracy__MAX","fancy-sweep-3 - pFedMe Test Accuracy","fancy-sweep-3 - pFedMe Test Accuracy__MIN","fancy-sweep-3 - pFedMe Test Accuracy__MAX","fine-sweep-2 - pFedMe Test Accuracy","fine-sweep-2 - pFedMe Test Accuracy__MIN","fine-sweep-2 - pFedMe Test Accuracy__MAX","volcanic-sweep-1 - pFedMe Test Accuracy","volcanic-sweep-1 - pFedMe Test Accuracy__MIN","volcanic-sweep-1 - pFedMe Test Accuracy__MAX"
"0","0.37027467851739787","0.37027467851739787","0.37027467851739787","0.36927240922844173","0.36927240922844173","0.36927240922844173","0.36894383509833584","0.36894383509833584","0.36894383509833584","0.36935514372163386","0.36935514372163386","0.36935514372163386","0.3686247163388805","0.3686247163388805","0.3686247163388805","0.3689178328290469","0.3689178328290469","0.3689178328290469","0.3696340771558245","0.3696340771558245","0.3696340771558245","0.3675728063540091","0.3675728063540091","0.3675728063540091","0.3700666603630862","0.3700666603630862","0.3700666603630862","0.36936696293494703","0.36936696293494703","0.36936696293494703","0.37018958018154313","0.37018958018154313","0.37018958018154313"
"50","0.5479340015128593","0.5479340015128593","0.5479340015128593","0.5469884644478064","0.5469884644478064","0.5469884644478064","0.5470428328290469","0.5470428328290469","0.5470428328290469","0.5466457072617247","0.5466457072617247","0.5466457072617247","0.5470948373676248","0.5470948373676248","0.5470948373676248","0.5467757186081694","0.5467757186081694","0.5467757186081694","0.5472934001512859","0.5472934001512859","0.5472934001512859","0.547454141452345","0.547454141452345","0.547454141452345","0.5469695537065052","0.5469695537065052","0.5469695537065052","0.5473548600605144","0.5473548600605144","0.5473548600605144","0.547473052193646","0.547473052193646","0.547473052193646"
"100","0.5591527987897126","0.5591527987897126","0.5591527987897126","0.5588407715582451","0.5588407715582451","0.5588407715582451","0.5589920574886535","0.5589920574886535","0.5589920574886535","0.558784039334342","0.558784039334342","0.558784039334342","0.5586823940998488","0.5586823940998488","0.5586823940998488","0.5586091149773071","0.5586091149773071","0.5586091149773071","0.5588336800302572","0.5588336800302572","0.5588336800302572","0.5591906202723147","0.5591906202723147","0.5591906202723147","0.5587083963691377","0.5587083963691377","0.5587083963691377","0.5589093229954615","0.5589093229954615","0.5589093229954615","0.558507469742814","0.558507469742814","0.558507469742814"
"150","0.5637528366111951","0.5637528366111951","0.5637528366111951","0.5639064863842662","0.5639064863842662","0.5639064863842662","0.5639703101361573","0.5639703101361573","0.5639703101361573","0.5635731845688351","0.5635731845688351","0.5635731845688351","0.5639253971255673","0.5639253971255673","0.5639253971255673","0.5639064863842662","0.5639064863842662","0.5639064863842662","0.5638521180030257","0.5638521180030257","0.5638521180030257","0.5638710287443268","0.5638710287443268","0.5638710287443268","0.5640766830559758","0.5640766830559758","0.5640766830559758","0.5638355711043873","0.5638355711043873","0.5638355711043873","0.5638804841149773","0.5638804841149773","0.5638804841149773"
"200","0.5662088691376702","0.5662088691376702","0.5662088691376702","0.5666414523449319","0.5666414523449319","0.5666414523449319","0.5668116490166415","0.5668116490166415","0.5668116490166415","0.5664712556732224","0.5664712556732224","0.5664712556732224","0.5666036308623298","0.5666036308623298","0.5666036308623298","0.5663885211800302","0.5663885211800302","0.5663885211800302","0.5663814296520424","0.5663814296520424","0.5663814296520424","0.5663979765506808","0.5663979765506808","0.5663979765506808","0.5664547087745839","0.5664547087745839","0.5664547087745839","0.5663034228441755","0.5663034228441755","0.5663034228441755","0.566402704236006","0.566402704236006","0.566402704236006"
"250","0.5681401285930409","0.5681401285930409","0.5681401285930409","0.5681141263237519","0.5681141263237519","0.5681141263237519","0.5681661308623298","0.5681661308623298","0.5681661308623298","0.5681495839636914","0.5681495839636914","0.5681495839636914","0.5680148449319213","0.5680148449319213","0.5680148449319213","0.5679581127080181","0.5679581127080181","0.5679581127080181","0.5682630484114978","0.5682630484114978","0.5682630484114978","0.5681093986384266","0.5681093986384266","0.5681093986384266","0.5680975794251135","0.5680975794251135","0.5680975794251135","0.568088124054463","0.568088124054463","0.568088124054463","0.5680526664145235","0.5680526664145235","0.5680526664145235"
"300","0.5692629538577912","0.5692629538577912","0.5692629538577912","0.5691660363086233","0.5691660363086233","0.5691660363086233","0.569284228441755","0.569284228441755","0.569284228441755","0.5691991301059002","0.5691991301059002","0.5691991301059002","0.5692038577912254","0.5692038577912254","0.5692038577912254","0.5691187594553706","0.5691187594553706","0.5691187594553706","0.5690360249621785","0.5690360249621785","0.5690360249621785","0.5691258509833585","0.5691258509833585","0.5691258509833585","0.5689627458396369","0.5689627458396369","0.5689627458396369","0.5689698373676249","0.5689698373676249","0.5689698373676249","0.5691707639939486","0.5691707639939486","0.5691707639939486"
"350","0.5698350037821482","0.5698350037821482","0.5698350037821482","0.5700855711043873","0.5700855711043873","0.5700855711043873","0.5701541225416036","0.5701541225416036","0.5701541225416036","0.570106845688351","0.570106845688351","0.570106845688351","0.5698704614220877","0.5698704614220877","0.5698704614220877","0.5699082829046899","0.5699082829046899","0.5699082829046899","0.5700784795763993","0.5700784795763993","0.5700784795763993","0.5700713880484115","0.5700713880484115","0.5700713880484115","0.5700737518910741","0.5700737518910741","0.5700737518910741","0.5701044818456884","0.5701044818456884","0.5701044818456884","0.5701423033282905","0.5701423033282905","0.5701423033282905"
"400","0.5706481656580938","0.5706481656580938","0.5706481656580938","0.5705536119515885","0.5705536119515885","0.5705536119515885","0.5707427193645991","0.5707427193645991","0.5707427193645991","0.570518154311649","0.570518154311649","0.570518154311649","0.5705607034795764","0.5705607034795764","0.5705607034795764","0.570659984871407","0.570659984871407","0.570659984871407","0.5704496028744327","0.5704496028744327","0.5704496028744327","0.5706245272314675","0.5706245272314675","0.5706245272314675","0.570473241301059","0.570473241301059","0.570473241301059","0.5706978063540091","0.5706978063540091","0.5706978063540091","0.5704141452344932","0.5704141452344932","0.5704141452344932"
