"Step","valiant-sweep-11 - Test Accuracy","valiant-sweep-11 - Test Accuracy__MIN","valiant-sweep-11 - Test Accuracy__MAX","amber-sweep-10 - Test Accuracy","amber-sweep-10 - Test Accuracy__MIN","amber-sweep-10 - Test Accuracy__MAX","lilac-sweep-9 - Test Accuracy","lilac-sweep-9 - Test Accuracy__MIN","lilac-sweep-9 - Test Accuracy__MAX","splendid-sweep-8 - Test Accuracy","splendid-sweep-8 - Test Accuracy__MIN","splendid-sweep-8 - Test Accuracy__MAX","deft-sweep-7 - Test Accuracy","deft-sweep-7 - Test Accuracy__MIN","deft-sweep-7 - Test Accuracy__MAX","peach-sweep-6 - Test Accuracy","peach-sweep-6 - Test Accuracy__MIN","peach-sweep-6 - Test Accuracy__MAX","restful-sweep-5 - Test Accuracy","restful-sweep-5 - Test Accuracy__MIN","restful-sweep-5 - Test Accuracy__MAX","proud-sweep-4 - Test Accuracy","proud-sweep-4 - Test Accuracy__MIN","proud-sweep-4 - Test Accuracy__MAX","stilted-sweep-3 - Test Accuracy","stilted-sweep-3 - Test Accuracy__MIN","stilted-sweep-3 - Test Accuracy__MAX","eternal-sweep-2 - Test Accuracy","eternal-sweep-2 - Test Accuracy__MIN","eternal-sweep-2 - Test Accuracy__MAX","revived-sweep-1 - Test Accuracy","revived-sweep-1 - Test Accuracy__MIN","revived-sweep-1 - Test Accuracy__MAX"
"0","0.4164216149773071","0.4164216149773071","0.4164216149773071","0.4180644856278366","0.4180644856278366","0.4180644856278366","0.41669345688350984","0.41669345688350984","0.41669345688350984","0.4160244894099849","0.4160244894099849","0.4160244894099849","0.41645234493192135","0.41645234493192135","0.41645234493192135","0.4186176248108926","0.4186176248108926","0.4186176248108926","0.41693456883509833","0.41693456883509833","0.41693456883509833","0.4144359871406959","0.4144359871406959","0.4144359871406959","0.419553706505295","0.419553706505295","0.419553706505295","0.416152136913767","0.416152136913767","0.416152136913767","0.41716149773071104","0.41716149773071104","0.41716149773071104"
"50","0.5752387481089258","0.5752387481089258","0.5752387481089258","0.574768343419062","0.574768343419062","0.574768343419062","0.5745745083207262","0.5745745083207262","0.5745745083207262","0.5749503593040847","0.5749503593040847","0.5749503593040847","0.5748534417549168","0.5748534417549168","0.5748534417549168","0.5744704992435703","0.5744704992435703","0.5744704992435703","0.5742482980332829","0.5742482980332829","0.5742482980332829","0.5743712178517398","0.5743712178517398","0.5743712178517398","0.5743972201210288","0.5743972201210288","0.5743972201210288","0.5743357602118003","0.5743357602118003","0.5743357602118003","0.5741442889561271","0.5741442889561271","0.5741442889561271"
"100","0.5780469931921332","0.5780469931921332","0.5780469931921332","0.5780162632375189","0.5780162632375189","0.5780162632375189","0.5775198562783661","0.5775198562783661","0.5775198562783661","0.5775505862329803","0.5775505862329803","0.5775505862329803","0.5778626134644478","0.5778626134644478","0.5778626134644478","0.578195915279879","0.578195915279879","0.578195915279879","0.5778531580937972","0.5778531580937972","0.5778531580937972","0.5779311649016642","0.5779311649016642","0.5779311649016642","0.578125","0.578125","0.578125","0.577751512859304","0.577751512859304","0.577751512859304","0.5779713502269289","0.5779713502269289","0.5779713502269289"
"150","0.5791485438729198","0.5791485438729198","0.5791485438729198","0.5787845121028744","0.5787845121028744","0.5787845121028744","0.578498487140696","0.578498487140696","0.578498487140696","0.5790563540090772","0.5790563540090772","0.5790563540090772","0.5791745461422088","0.5791745461422088","0.5791745461422088","0.5790729009077156","0.5790729009077156","0.5790729009077156","0.5790138048411497","0.5790138048411497","0.5790138048411497","0.5789381618759455","0.5789381618759455","0.5789381618759455","0.5793778366111951","0.5793778366111951","0.5793778366111951","0.5784441187594553","0.5784441187594553","0.5784441187594553","0.5792194591527988","0.5792194591527988","0.5792194591527988"
"200","0.5796685892586989","0.5796685892586989","0.5796685892586989","0.5798364220877459","0.5798364220877459","0.5798364220877459","0.5798056921331316","0.5798056921331316","0.5798056921331316","0.5797702344931921","0.5797702344931921","0.5797702344931921","0.5796780446293495","0.5796780446293495","0.5796780446293495","0.57977732602118","0.57977732602118","0.57977732602118","0.5790681732223903","0.5790681732223903","0.5790681732223903","0.5799664334341906","0.5799664334341906","0.5799664334341906","0.5799853441754916","0.5799853441754916","0.5799853441754916","0.579893154311649","0.579893154311649","0.579893154311649","0.5794983925869894","0.5794983925869894","0.5794983925869894"
"250","0.5803990166414523","0.5803990166414523","0.5803990166414523","0.5802619137670196","0.5802619137670196","0.5802619137670196","0.5801082639939485","0.5801082639939485","0.5801082639939485","0.5804155635400907","0.5804155635400907","0.5804155635400907","0.5798175113464448","0.5798175113464448","0.5798175113464448","0.5802784606656581","0.5802784606656581","0.5802784606656581","0.5802784606656581","0.5802784606656581","0.5802784606656581","0.5804037443267777","0.5804037443267777","0.5804037443267777","0.5804510211800302","0.5804510211800302","0.5804510211800302","0.5802571860816944","0.5802571860816944","0.5802571860816944","0.579990071860817","0.579990071860817","0.579990071860817"
"300","0.580536119515885","0.580536119515885","0.580536119515885","0.5802264561270802","0.5802264561270802","0.5802264561270802","0.580439201966717","0.580439201966717","0.580439201966717","0.580439201966717","0.580439201966717","0.580439201966717","0.5807985060514372","0.5807985060514372","0.5807985060514372","0.5807512291981846","0.5807512291981846","0.5807512291981846","0.5805739409984871","0.5805739409984871","0.5805739409984871","0.5800917170953102","0.5800917170953102","0.5800917170953102","0.580285552193646","0.580285552193646","0.580285552193646","0.5803588313161876","0.5803588313161876","0.5803588313161876","0.5798978819969742","0.5798978819969742","0.5798978819969742"
"350","0.5807181354009077","0.5807181354009077","0.5807181354009077","0.5807323184568836","0.5807323184568836","0.5807323184568836","0.5806495839636914","0.5806495839636914","0.5806495839636914","0.5803091906202723","0.5803091906202723","0.5803091906202723","0.580491206505295","0.580491206505295","0.580491206505295","0.5806377647503782","0.5806377647503782","0.5806377647503782","0.5798387859304085","0.5798387859304085","0.5798387859304085","0.5805408472012102","0.5805408472012102","0.5805408472012102","0.5808008698940998","0.5808008698940998","0.5808008698940998","0.5808552382753404","0.5808552382753404","0.5808552382753404","0.580439201966717","0.580439201966717","0.580439201966717"
"400","0.5810514372163389","0.5810514372163389","0.5810514372163389","0.5803990166414523","0.5803990166414523","0.5803990166414523","0.5805881240544629","0.5805881240544629","0.5805881240544629","0.5807181354009077","0.5807181354009077","0.5807181354009077","0.5801791792738276","0.5801791792738276","0.5801791792738276","0.5809852496217852","0.5809852496217852","0.5809852496217852","0.580472295763994","0.580472295763994","0.580472295763994","0.5807961422087746","0.5807961422087746","0.5807961422087746","0.5806590393343419","0.5806590393343419","0.5806590393343419","0.5806590393343419","0.5806590393343419","0.5806590393343419","0.5800751701966718","0.5800751701966718","0.5800751701966718"
