"Step","divine-sweep-11 - Test Accuracy","divine-sweep-11 - Test Accuracy__MIN","divine-sweep-11 - Test Accuracy__MAX","robust-sweep-10 - Test Accuracy","robust-sweep-10 - Test Accuracy__MIN","robust-sweep-10 - Test Accuracy__MAX","driven-sweep-9 - Test Accuracy","driven-sweep-9 - Test Accuracy__MIN","driven-sweep-9 - Test Accuracy__MAX","fast-sweep-8 - Test Accuracy","fast-sweep-8 - Test Accuracy__MIN","fast-sweep-8 - Test Accuracy__MAX","lyric-sweep-7 - Test Accuracy","lyric-sweep-7 - Test Accuracy__MIN","lyric-sweep-7 - Test Accuracy__MAX","spring-sweep-6 - Test Accuracy","spring-sweep-6 - Test Accuracy__MIN","spring-sweep-6 - Test Accuracy__MAX","lunar-sweep-5 - Test Accuracy","lunar-sweep-5 - Test Accuracy__MIN","lunar-sweep-5 - Test Accuracy__MAX","fresh-sweep-4 - Test Accuracy","fresh-sweep-4 - Test Accuracy__MIN","fresh-sweep-4 - Test Accuracy__MAX","warm-sweep-3 - Test Accuracy","warm-sweep-3 - Test Accuracy__MIN","warm-sweep-3 - Test Accuracy__MAX","restful-sweep-2 - Test Accuracy","restful-sweep-2 - Test Accuracy__MIN","restful-sweep-2 - Test Accuracy__MAX","upbeat-sweep-1 - Test Accuracy","upbeat-sweep-1 - Test Accuracy__MIN","upbeat-sweep-1 - Test Accuracy__MAX"
"0","0.3917435143899473","0.3917435143899473","0.3917435143899473","0.3915357721929469","0.3915357721929469","0.3915357721929469","0.3916624442642886","0.3916624442642886","0.3916624442642886","0.39154590595865424","0.39154590595865424","0.39154590595865424","0.3917561815970815","0.3917561815970815","0.3917561815970815","0.3915636400486421","0.3915636400486421","0.3915636400486421","0.39157884069720306","0.39157884069720306","0.39157884069720306","0.39154843940008105","0.39154843940008105","0.39154843940008105","0.39170297932711795","0.39170297932711795","0.39170297932711795","0.39158390758005673","0.39158390758005673","0.39158390758005673","0.39161430887717874","0.39161430887717874","0.39161430887717874"
"50","0.41852452371301174","0.41852452371301174","0.41852452371301174","0.4186562626672071","0.4186562626672071","0.4186562626672071","0.41870186461289016","0.41870186461289016","0.41870186461289016","0.4187221321443048","0.4187221321443048","0.4187221321443048","0.41879813538710986","0.41879813538710986","0.41879813538710986","0.4190033441426834","0.4190033441426834","0.4190033441426834","0.4187854681799757","0.4187854681799757","0.4187854681799757","0.41886400486420755","0.41886400486420755","0.41886400486420755","0.418810802594244","0.418810802594244","0.418810802594244","0.41896787596270774","0.41896787596270774","0.41896787596270774","0.4188310701256587","0.4188310701256587","0.4188310701256587"
"100","0.4199584515605999","0.4199584515605999","0.4199584515605999","0.419834312930685","0.419834312930685","0.419834312930685","0.4198697811106607","0.4198697811106607","0.4198697811106607","0.4197785772192947","0.4197785772192947","0.4197785772192947","0.41987231455208757","0.41987231455208757","0.41987231455208757","0.4199711187677341","0.4199711187677341","0.4199711187677341","0.41994831779489256","0.41994831779489256","0.41994831779489256","0.41998125253344143","0.41998125253344143","0.41998125253344143","0.4198697811106607","0.4198697811106607","0.4198697811106607","0.4199280502634779","0.4199280502634779","0.4199280502634779","0.4200091203891366","0.4200091203891366","0.4200091203891366"
"150","0.4202751317389542","0.4202751317389542","0.4202751317389542","0.420201661937576","0.420201661937576","0.420201661937576","0.42044993919740575","0.42044993919740575","0.42044993919740575","0.4202421970004053","0.4202421970004053","0.4202421970004053","0.42048794081880825","0.42048794081880825","0.42048794081880825","0.42029286582894204","0.42029286582894204","0.42029286582894204","0.4205335427644913","0.4205335427644913","0.4205335427644913","0.42035873530603973","0.42035873530603973","0.42035873530603973","0.4204322051074179","0.4204322051074179","0.4204322051074179","0.42032073368463724","0.42032073368463724","0.42032073368463724","0.42038913660316174","0.42038913660316174","0.42038913660316174"
"200","0.4204904742602351","0.4204904742602351","0.4204904742602351","0.4205335427644913","0.4205335427644913","0.4205335427644913","0.42059687880016217","0.42059687880016217","0.42059687880016217","0.42033086745034454","0.42033086745034454","0.42033086745034454","0.42067034860154034","0.42067034860154034","0.42067034860154034","0.4205639440616133","0.4205639440616133","0.4205639440616133","0.4205031414673693","0.4205031414673693","0.4205031414673693","0.42050820835022296","0.42050820835022296","0.42050820835022296","0.42041953790028375","0.42041953790028375","0.42041953790028375","0.42067034860154034","0.42067034860154034","0.42067034860154034","0.4203739359546007","0.4203739359546007","0.4203739359546007"
"250","0.4207539521686259","0.4207539521686259","0.4207539521686259","0.42101996351844345","0.42101996351844345","0.42101996351844345","0.42089329144710175","0.42089329144710175","0.42089329144710175","0.420812221321443","0.420812221321443","0.420812221321443","0.4209059586542359","0.4209059586542359","0.4209059586542359","0.42101236319416296","0.42101236319416296","0.42101236319416296","0.42085782326712606","0.42085782326712606","0.42085782326712606","0.42082488852857725","0.42082488852857725","0.42082488852857725","0.42082995541143087","0.42082995541143087","0.42082995541143087","0.42082488852857725","0.42082488852857725","0.42082488852857725","0.4208400891771382","0.4208400891771382","0.4208400891771382"
"300","0.42082742197000406","0.42082742197000406","0.42082742197000406","0.4207919537900284","0.4207919537900284","0.4207919537900284","0.42076661937576004","0.42076661937576004","0.42076661937576004","0.42073875152006485","0.42073875152006485","0.42073875152006485","0.42081982164572357","0.42081982164572357","0.42081982164572357","0.4209718281313336","0.4209718281313336","0.4209718281313336","0.4207792865828942","0.4207792865828942","0.4207792865828942","0.4209034252128091","0.4209034252128091","0.4209034252128091","0.4208400891771382","0.4208400891771382","0.4208400891771382","0.42093129306850424","0.42093129306850424","0.42093129306850424","0.420812221321443","0.420812221321443","0.420812221321443"
"350","0.42087049047426023","0.42087049047426023","0.42087049047426023","0.4208172882042967","0.4208172882042967","0.4208172882042967","0.42092115930279694","0.42092115930279694","0.42092115930279694","0.42093129306850424","0.42093129306850424","0.42093129306850424","0.42092622618565056","0.42092622618565056","0.42092622618565056","0.4208476895014187","0.4208476895014187","0.4208476895014187","0.42083502229428454","0.42083502229428454","0.42083502229428454","0.4207919537900284","0.4207919537900284","0.4207919537900284","0.4208223550871504","0.4208223550871504","0.4208223550871504","0.42098956222132145","0.42098956222132145","0.42098956222132145","0.4208476895014187","0.4208476895014187","0.4208476895014187"
"400","0.42104276449128497","0.42104276449128497","0.42104276449128497","0.4209768950141873","0.4209768950141873","0.4209768950141873","0.4209464937170653","0.4209464937170653","0.4209464937170653","0.4209794284556141","0.4209794284556141","0.4209794284556141","0.42096169436562625","0.42096169436562625","0.42096169436562625","0.4210908998783948","0.4210908998783948","0.4210908998783948","0.4210706323469801","0.4210706323469801","0.4210706323469801","0.4210655654641265","0.4210655654641265","0.4210655654641265","0.42095662748277257","0.42095662748277257","0.42095662748277257","0.4208806242399676","0.4208806242399676","0.4208806242399676","0.42091609241994327","0.42091609241994327","0.42091609241994327"
