"Step","wandering-sweep-11 - Test Accuracy","wandering-sweep-11 - Test Accuracy__MIN","wandering-sweep-11 - Test Accuracy__MAX","cosmic-sweep-10 - Test Accuracy","cosmic-sweep-10 - Test Accuracy__MIN","cosmic-sweep-10 - Test Accuracy__MAX","good-sweep-9 - Test Accuracy","good-sweep-9 - Test Accuracy__MIN","good-sweep-9 - Test Accuracy__MAX","smart-sweep-8 - Test Accuracy","smart-sweep-8 - Test Accuracy__MIN","smart-sweep-8 - Test Accuracy__MAX","faithful-sweep-7 - Test Accuracy","faithful-sweep-7 - Test Accuracy__MIN","faithful-sweep-7 - Test Accuracy__MAX","silver-sweep-6 - Test Accuracy","silver-sweep-6 - Test Accuracy__MIN","silver-sweep-6 - Test Accuracy__MAX","zany-sweep-5 - Test Accuracy","zany-sweep-5 - Test Accuracy__MIN","zany-sweep-5 - Test Accuracy__MAX","lively-sweep-4 - Test Accuracy","lively-sweep-4 - Test Accuracy__MIN","lively-sweep-4 - Test Accuracy__MAX","dandy-sweep-3 - Test Accuracy","dandy-sweep-3 - Test Accuracy__MIN","dandy-sweep-3 - Test Accuracy__MAX","colorful-sweep-2 - Test Accuracy","colorful-sweep-2 - Test Accuracy__MIN","colorful-sweep-2 - Test Accuracy__MAX","revived-sweep-1 - Test Accuracy","revived-sweep-1 - Test Accuracy__MIN","revived-sweep-1 - Test Accuracy__MAX"
"0","0.391870186461289","0.391870186461289","0.391870186461289","0.39148763680583704","0.39148763680583704","0.39148763680583704","0.39168017835427643","0.39168017835427643","0.39168017835427643","0.3914648358329955","0.3914648358329955","0.3914648358329955","0.3916776449128496","0.3916776449128496","0.3916776449128496","0.3916624442642886","0.3916624442642886","0.3916624442642886","0.3914927036886907","0.3914927036886907","0.3914927036886907","0.3915535062829347","0.3915535062829347","0.3915535062829347","0.3916016416700446","0.3916016416700446","0.3916016416700446","0.3916928455614106","0.3916928455614106","0.3916928455614106","0.3915864410214836","0.3915864410214836","0.3915864410214836"
"50","0.41881333603567084","0.41881333603567084","0.41881333603567084","0.41877533441426834","0.41877533441426834","0.41877533441426834","0.4188817389541954","0.4188817389541954","0.4188817389541954","0.4189805431698419","0.4189805431698419","0.4189805431698419","0.41886400486420755","0.41886400486420755","0.41886400486420755","0.41908441426834214","0.41908441426834214","0.41908441426834214","0.4190388123226591","0.4190388123226591","0.4190388123226591","0.41892987434130524","0.41892987434130524","0.41892987434130524","0.41887413862991485","0.41887413862991485","0.41887413862991485","0.41905147952979327","0.41905147952979327","0.41905147952979327","0.41893240778273205","0.41893240778273205","0.41893240778273205"
"100","0.41981151195784355","0.41981151195784355","0.41981151195784355","0.4198647142278071","0.4198647142278071","0.4198647142278071","0.42017632752330764","0.42017632752330764","0.42017632752330764","0.4198925820835022","0.4198925820835022","0.4198925820835022","0.4200243210376976","0.4200243210376976","0.4200243210376976","0.42003698824483177","0.42003698824483177","0.42003698824483177","0.41991538305634374","0.41991538305634374","0.41991538305634374","0.4200015200648561","0.4200015200648561","0.4200015200648561","0.4199331171463316","0.4199331171463316","0.4199331171463316","0.4197785772192947","0.4197785772192947","0.4197785772192947","0.419834312930685","0.419834312930685","0.419834312930685"
"150","0.42032326712606405","0.42032326712606405","0.42032326712606405","0.42019659505472234","0.42019659505472234","0.42019659505472234","0.4202725982975274","0.4202725982975274","0.4202725982975274","0.42016112687474666","0.42016112687474666","0.42016112687474666","0.42035873530603973","0.42035873530603973","0.42035873530603973","0.4204094041345764","0.4204094041345764","0.4204094041345764","0.42042713822456423","0.42042713822456423","0.42042713822456423","0.42050820835022296","0.42050820835022296","0.42050820835022296","0.42055381029590594","0.42055381029590594","0.42055381029590594","0.4204246047831374","0.4204246047831374","0.4204246047831374","0.4204296716659911","0.4204296716659911","0.4204296716659911"
"200","0.42063488042156466","0.42063488042156466","0.42063488042156466","0.4206171463315768","0.4206171463315768","0.4206171463315768","0.4204372719902716","0.4204372719902716","0.4204372719902716","0.4207286177543575","0.4207286177543575","0.4207286177543575","0.42070581678151603","0.42070581678151603","0.42070581678151603","0.4205031414673693","0.4205031414673693","0.4205031414673693","0.4207564856100527","0.4207564856100527","0.4207564856100527","0.42065008107012564","0.42065008107012564","0.42065008107012564","0.4204904742602351","0.4204904742602351","0.4204904742602351","0.420660214835833","0.420660214835833","0.420660214835833","0.4204930077016619","0.4204930077016619","0.4204930077016619"
"250","0.42073621807863804","0.42073621807863804","0.42073621807863804","0.4209743615727604","0.4209743615727604","0.4209743615727604","0.42092875962707743","0.42092875962707743","0.42092875962707743","0.42082995541143087","0.42082995541143087","0.42082995541143087","0.42091609241994327","0.42091609241994327","0.42091609241994327","0.42092369274422375","0.42092369274422375","0.42092369274422375","0.42098702877989463","0.42098702877989463","0.42098702877989463","0.4208451560599919","0.4208451560599919","0.4208451560599919","0.4208071544385894","0.4208071544385894","0.4208071544385894","0.4209464937170653","0.4209464937170653","0.4209464937170653","0.4206551479529793","0.4206551479529793","0.4206551479529793"
"300","0.4207539521686259","0.4207539521686259","0.4207539521686259","0.42067034860154034","0.42067034860154034","0.42067034860154034","0.4208755573571139","0.4208755573571139","0.4208755573571139","0.42082995541143087","0.42082995541143087","0.42082995541143087","0.4209363599513579","0.4209363599513579","0.4209363599513579","0.4208071544385894","0.4208071544385894","0.4208071544385894","0.4209338265099311","0.4209338265099311","0.4209338265099311","0.42082995541143087","0.42082995541143087","0.42082995541143087","0.42066528171868667","0.42066528171868667","0.42066528171868667","0.4208375557357114","0.4208375557357114","0.4208375557357114","0.420812221321443","0.420812221321443","0.420812221321443"
"350","0.42075901905147955","0.42075901905147955","0.42075901905147955","0.42101236319416296","0.42101236319416296","0.42101236319416296","0.4207843534657479","0.4207843534657479","0.4207843534657479","0.4209768950141873","0.4209768950141873","0.4209768950141873","0.42090089177138224","0.42090089177138224","0.42090089177138224","0.42111623429266315","0.42111623429266315","0.42111623429266315","0.42065008107012564","0.42065008107012564","0.42065008107012564","0.4209794284556141","0.4209794284556141","0.4209794284556141","0.4207843534657479","0.4207843534657479","0.4207843534657479","0.4208527563842724","0.4208527563842724","0.4208527563842724","0.4209388933927848","0.4209388933927848","0.4209388933927848"
"400","0.4210148966355898","0.4210148966355898","0.4210148966355898","0.4209692946899068","0.4209692946899068","0.4209692946899068","0.4210326307255776","0.4210326307255776","0.4210326307255776","0.42087049047426023","0.42087049047426023","0.42087049047426023","0.4210959667612485","0.4210959667612485","0.4210959667612485","0.4209768950141873","0.4209768950141873","0.4209768950141873","0.42116690312119986","0.42116690312119986","0.42116690312119986","0.42092875962707743","0.42092875962707743","0.42092875962707743","0.4211111674098095","0.4211111674098095","0.4211111674098095","0.4210402310498581","0.4210402310498581","0.4210402310498581","0.42083502229428454","0.42083502229428454","0.42083502229428454"
