"Step","autumn-sweep-11 - Test Accuracy","autumn-sweep-11 - Test Accuracy__MIN","autumn-sweep-11 - Test Accuracy__MAX","icy-sweep-10 - Test Accuracy","icy-sweep-10 - Test Accuracy__MIN","icy-sweep-10 - Test Accuracy__MAX","fragrant-sweep-9 - Test Accuracy","fragrant-sweep-9 - Test Accuracy__MIN","fragrant-sweep-9 - Test Accuracy__MAX","glowing-sweep-8 - Test Accuracy","glowing-sweep-8 - Test Accuracy__MIN","glowing-sweep-8 - Test Accuracy__MAX","swift-sweep-7 - Test Accuracy","swift-sweep-7 - Test Accuracy__MIN","swift-sweep-7 - Test Accuracy__MAX","polished-sweep-6 - Test Accuracy","polished-sweep-6 - Test Accuracy__MIN","polished-sweep-6 - Test Accuracy__MAX","northern-sweep-5 - Test Accuracy","northern-sweep-5 - Test Accuracy__MIN","northern-sweep-5 - Test Accuracy__MAX","dry-sweep-4 - Test Accuracy","dry-sweep-4 - Test Accuracy__MIN","dry-sweep-4 - Test Accuracy__MAX","dandy-sweep-3 - Test Accuracy","dandy-sweep-3 - Test Accuracy__MIN","dandy-sweep-3 - Test Accuracy__MAX","absurd-sweep-2 - Test Accuracy","absurd-sweep-2 - Test Accuracy__MIN","absurd-sweep-2 - Test Accuracy__MAX","pleasant-sweep-1 - Test Accuracy","pleasant-sweep-1 - Test Accuracy__MIN","pleasant-sweep-1 - Test Accuracy__MAX"
"0","0.22506080259424402","0.22506080259424402","0.22506080259424402","0.21899321037697608","0.21899321037697608","0.21899321037697608","0.21498277259829754","0.21498277259829754","0.21498277259829754","0.22468585326307255","0.22468585326307255","0.22468585326307255","0.23911886907174706","0.23911886907174706","0.23911886907174706","0.23092571949736523","0.23092571949736523","0.23092571949736523","0.21798996757194974","0.21798996757194974","0.21798996757194974","0.22559535873530603","0.22559535873530603","0.22559535873530603","0.2287697608431293","0.2287697608431293","0.2287697608431293","0.22244629104175112","0.22244629104175112","0.22244629104175112","0.2349234900689096","0.2349234900689096","0.2349234900689096"
"50","0.41292055127685445","0.41292055127685445","0.41292055127685445","0.41291041751114715","0.41291041751114715","0.41291041751114715","0.4127736116740981","0.4127736116740981","0.4127736116740981","0.4126722740170247","0.4126722740170247","0.4126722740170247","0.41285214835832995","0.41285214835832995","0.41285214835832995","0.41288761653830564","0.41288761653830564","0.41288761653830564","0.41272547628698825","0.41272547628698825","0.41272547628698825","0.41274827725982977","0.41274827725982977","0.41274827725982977","0.4127432103769761","0.4127432103769761","0.4127432103769761","0.4125734698013782","0.4125734698013782","0.4125734698013782","0.4128040129712201","0.4128040129712201","0.4128040129712201"
"100","0.41390352655046614","0.41390352655046614","0.41390352655046614","0.4142328739359546","0.4142328739359546","0.4142328739359546","0.4139389947304418","0.4139389947304418","0.4139389947304418","0.4142962099716255","0.4142962099716255","0.4142962099716255","0.41408340089177137","0.41408340089177137","0.41408340089177137","0.4137591203891366","0.4137591203891366","0.4137591203891366","0.41376925415484395","0.41376925415484395","0.41376925415484395","0.41367551682205106","0.41367551682205106","0.41367551682205106","0.4140479327117957","0.4140479327117957","0.4140479327117957","0.41423794081880827","0.41423794081880827","0.41423794081880827","0.41413913660316176","0.41413913660316176","0.41413913660316176"
"150","0.41421513984596675","0.41421513984596675","0.41421513984596675","0.4142607417916498","0.4142607417916498","0.4142607417916498","0.4144228820429672","0.4144228820429672","0.4144228820429672","0.41424554114308876","0.41424554114308876","0.41424554114308876","0.4144532833400892","0.4144532833400892","0.4144532833400892","0.4140707336846372","0.4140707336846372","0.4140707336846372","0.4141948723145521","0.4141948723145521","0.4141948723145521","0.4145774219700041","0.4145774219700041","0.4145774219700041","0.41437221321443046","0.41437221321443046","0.41437221321443046","0.4142404742602351","0.4142404742602351","0.4142404742602351","0.41398966355897854","0.41398966355897854","0.41398966355897854"
"200","0.41424300770166195","0.41424300770166195","0.41424300770166195","0.41422274017024724","0.41422274017024724","0.41422274017024724","0.41430127685447915","0.41430127685447915","0.41430127685447915","0.41458502229428457","0.41458502229428457","0.41458502229428457","0.41422020672882043","0.41422020672882043","0.41422020672882043","0.4141062018646129","0.4141062018646129","0.4141062018646129","0.4142252736116741","0.4142252736116741","0.4142252736116741","0.41445835022294286","0.41445835022294286","0.41445835022294286","0.4142632752330766","0.4142632752330766","0.4142632752330766","0.41420753952168626","0.41420753952168626","0.41420753952168626","0.4144482164572355","0.4144482164572355","0.4144482164572355"
"250","0.4151094446696392","0.4151094446696392","0.4151094446696392","0.4149194365626267","0.4149194365626267","0.4149194365626267","0.4148256992298338","0.4148256992298338","0.4148256992298338","0.414990372922578","0.414990372922578","0.414990372922578","0.41502837454398056","0.41502837454398056","0.41502837454398056","0.4150562423996757","0.4150562423996757","0.4150562423996757","0.4151145115524929","0.4151145115524929","0.4151145115524929","0.4147952979327118","0.4147952979327118","0.4147952979327118","0.4150562423996757","0.4150562423996757","0.4150562423996757","0.41525638427239564","0.41525638427239564","0.41525638427239564","0.41503597486826105","0.41503597486826105","0.41503597486826105"
"300","0.41482063234698013","0.41482063234698013","0.41482063234698013","0.41465595865423593","0.41465595865423593","0.41465595865423593","0.4147218281313336","0.4147218281313336","0.4147218281313336","0.4149498378597487","0.4149498378597487","0.4149498378597487","0.4142708755573571","0.4142708755573571","0.4142708755573571","0.4145064856100527","0.4145064856100527","0.4145064856100527","0.4146356911228212","0.4146356911228212","0.4146356911228212","0.4149371706526145","0.4149371706526145","0.4149371706526145","0.41459768950141873","0.41459768950141873","0.41459768950141873","0.4150410417511147","0.4150410417511147","0.4150410417511147","0.4145191528171869","0.4145191528171869","0.4145191528171869"
"350","0.41346017430077014","0.41346017430077014","0.41346017430077014","0.4131586947709769","0.4131586947709769","0.4131586947709769","0.4136577827320632","0.4136577827320632","0.4136577827320632","0.4136020470206729","0.4136020470206729","0.4136020470206729","0.4138832590190515","0.4138832590190515","0.4138832590190515","0.41408340089177137","0.41408340089177137","0.41408340089177137","0.4134373733279287","0.4134373733279287","0.4134373733279287","0.4134728415079043","0.4134728415079043","0.4134728415079043","0.413432306445075","0.413432306445075","0.413432306445075","0.41399219700040535","0.41399219700040535","0.41399219700040535","0.41319922983380625","0.41319922983380625","0.41319922983380625"
"400","0.4149270368869072","0.4149270368869072","0.4149270368869072","0.4146027563842724","0.4146027563842724","0.4146027563842724","0.413936461289015","0.413936461289015","0.413936461289015","0.4139491284961492","0.4139491284961492","0.4139491284961492","0.4139769963518444","0.4139769963518444","0.4139769963518444","0.41464329144710177","0.41464329144710177","0.41464329144710177","0.41348297527361166","0.41348297527361166","0.41348297527361166","0.41471169436562627","0.41471169436562627","0.41471169436562627","0.41491183623834615","0.41491183623834615","0.41491183623834615","0.4146331576813944","0.4146331576813944","0.4146331576813944","0.41494223753546816","0.41494223753546816","0.41494223753546816"
