"Step","mild-sweep-11 - Average User Test Accuracy","mild-sweep-11 - Average User Test Accuracy__MIN","mild-sweep-11 - Average User Test Accuracy__MAX","generous-sweep-10 - Average User Test Accuracy","generous-sweep-10 - Average User Test Accuracy__MIN","generous-sweep-10 - Average User Test Accuracy__MAX","misunderstood-sweep-9 - Average User Test Accuracy","misunderstood-sweep-9 - Average User Test Accuracy__MIN","misunderstood-sweep-9 - Average User Test Accuracy__MAX","lilac-sweep-8 - Average User Test Accuracy","lilac-sweep-8 - Average User Test Accuracy__MIN","lilac-sweep-8 - Average User Test Accuracy__MAX","giddy-sweep-7 - Average User Test Accuracy","giddy-sweep-7 - Average User Test Accuracy__MIN","giddy-sweep-7 - Average User Test Accuracy__MAX","hardy-sweep-6 - Average User Test Accuracy","hardy-sweep-6 - Average User Test Accuracy__MIN","hardy-sweep-6 - Average User Test Accuracy__MAX","fiery-sweep-5 - Average User Test Accuracy","fiery-sweep-5 - Average User Test Accuracy__MIN","fiery-sweep-5 - Average User Test Accuracy__MAX","autumn-sweep-4 - Average User Test Accuracy","autumn-sweep-4 - Average User Test Accuracy__MIN","autumn-sweep-4 - Average User Test Accuracy__MAX","grateful-sweep-3 - Average User Test Accuracy","grateful-sweep-3 - Average User Test Accuracy__MIN","grateful-sweep-3 - Average User Test Accuracy__MAX","chocolate-sweep-2 - Average User Test Accuracy","chocolate-sweep-2 - Average User Test Accuracy__MIN","chocolate-sweep-2 - Average User Test Accuracy__MAX","major-sweep-1 - Average User Test Accuracy","major-sweep-1 - Average User Test Accuracy__MIN","major-sweep-1 - Average User Test Accuracy__MAX"
"10","0.38057661065574366","0.38057661065574366","0.38057661065574366","0.3805413981058877","0.3805413981058877","0.3805413981058877","0.38053642983366537","0.38053642983366537","0.38053642983366537","0.38053515911552305","0.38053515911552305","0.38053515911552305","0.3806277329541458","0.3806277329541458","0.3806277329541458","0.3809144839952754","0.3809144839952754","0.3809144839952754","0.38051410358511123","0.38051410358511123","0.38051410358511123","0.38070692041581905","0.38070692041581905","0.38070692041581905","0.3804708833850122","0.3804708833850122","0.3804708833850122","0.3803750971572907","0.3803750971572907","0.3803750971572907","0.3807670115272685","0.3807670115272685","0.3807670115272685"
"11","0.3832595175547442","0.3832595175547442","0.3832595175547442","0.38304531044523804","0.38304531044523804","0.38304531044523804","0.38319279564091424","0.38319279564091424","0.38319279564091424","0.38303164426301894","0.38303164426301894","0.38303164426301894","0.3833565607229814","0.3833565607229814","0.3833565607229814","0.38339024889534445","0.38339024889534445","0.38339024889534445","0.3830992618935363","0.3830992618935363","0.3830992618935363","0.3830240372462788","0.3830240372462788","0.3830240372462788","0.3829326695082866","0.3829326695082866","0.3829326695082866","0.3829210577009239","0.3829210577009239","0.3829210577009239","0.38305567626251713","0.38305567626251713","0.38305567626251713"
"12","0.38547557287533846","0.38547557287533846","0.38547557287533846","0.38532399535709205","0.38532399535709205","0.38532399535709205","0.38552216008422246","0.38552216008422246","0.38552216008422246","0.38534382057805566","0.38534382057805566","0.38534382057805566","0.3854548661736105","0.3854548661736105","0.3854548661736105","0.38572175581787765","0.38572175581787765","0.38572175581787765","0.38537469056374246","0.38537469056374246","0.38537469056374246","0.3852896177270499","0.3852896177270499","0.3852896177270499","0.38525012577084133","0.38525012577084133","0.38525012577084133","0.3852746116208407","0.3852746116208407","0.3852746116208407","0.38548984546089254","0.38548984546089254","0.38548984546089254"
"13","0.3875058175227787","0.3875058175227787","0.3875058175227787","0.3874068287352594","0.3874068287352594","0.3874068287352594","0.3877287616427307","0.3877287616427307","0.3877287616427307","0.3877810070048266","0.3877810070048266","0.3877810070048266","0.3877275900551521","0.3877275900551521","0.3877275900551521","0.38780764928100675","0.38780764928100675","0.38780764928100675","0.3874020176278888","0.3874020176278888","0.3874020176278888","0.3876775610518714","0.3876775610518714","0.3876775610518714","0.3876325988312983","0.3876325988312983","0.3876325988312983","0.38739461350898147","0.38739461350898147","0.38739461350898147","0.38762045902768133","0.38762045902768133","0.38762045902768133"
"14","0.3894135175298711","0.3894135175298711","0.3894135175298711","0.38950027990194463","0.38950027990194463","0.38950027990194463","0.3896622364888002","0.3896622364888002","0.3896622364888002","0.38976476030396523","0.38976476030396523","0.38976476030396523","0.3896069539180835","0.3896069539180835","0.3896069539180835","0.38960643008758383","0.38960643008758383","0.38960643008758383","0.38961423030273373","0.38961423030273373","0.38961423030273373","0.38938789215322706","0.38938789215322706","0.38938789215322706","0.3896449615778059","0.3896449615778059","0.3896449615778059","0.3894153929330184","0.3894153929330184","0.3894153929330184","0.38985488676506314","0.38985488676506314","0.38985488676506314"
"15","0.391611893225989","0.391611893225989","0.391611893225989","0.391420161347094","0.391420161347094","0.391420161347094","0.3915282187139003","0.3915282187139003","0.3915282187139003","0.3915267684847788","0.3915267684847788","0.3915267684847788","0.39137134020085224","0.39137134020085224","0.39137134020085224","0.39138146475814245","0.39138146475814245","0.39138146475814245","0.3913431758547075","0.3913431758547075","0.3913431758547075","0.3912102235638038","0.3912102235638038","0.3912102235638038","0.39136762651837115","0.39136762651837115","0.39136762651837115","0.3910092461356395","0.3910092461356395","0.3910092461356395","0.3916352455618258","0.3916352455618258","0.3916352455618258"
"16","0.39323447589601684","0.39323447589601684","0.39323447589601684","0.392832595489658","0.392832595489658","0.392832595489658","0.393048416493433","0.393048416493433","0.393048416493433","0.3929061240915914","0.3929061240915914","0.3929061240915914","0.3928555962030285","0.3928555962030285","0.3928555962030285","0.3929142284854573","0.3929142284854573","0.3929142284854573","0.39282654574913534","0.39282654574913534","0.39282654574913534","0.3927820961944967","0.3927820961944967","0.3927820961944967","0.3929679840919864","0.3929679840919864","0.3929679840919864","0.3926991862314156","0.3926991862314156","0.3926991862314156","0.39310183701892054","0.39310183701892054","0.39310183701892054"
"17","0.3943954658931567","0.3943954658931567","0.3943954658931567","0.39427639140138193","0.39427639140138193","0.39427639140138193","0.3943891871123337","0.3943891871123337","0.3943891871123337","0.3942090830918721","0.3942090830918721","0.3942090830918721","0.39428572482641616","0.39428572482641616","0.39428572482641616","0.39428818866087634","0.39428818866087634","0.39428818866087634","0.3942149348508349","0.3942149348508349","0.3942149348508349","0.39393750088750973","0.39393750088750973","0.39393750088750973","0.39401057626860675","0.39401057626860675","0.39401057626860675","0.3940218555071336","0.3940218555071336","0.3940218555071336","0.3944824732514193","0.3944824732514193","0.3944824732514193"
"18","0.3956571921437115","0.3956571921437115","0.3956571921437115","0.3955458719896211","0.3955458719896211","0.3955458719896211","0.3956349192590369","0.3956349192590369","0.3956349192590369","0.39547860746197516","0.39547860746197516","0.39547860746197516","0.3955635980431162","0.3955635980431162","0.3955635980431162","0.39533816766959207","0.39533816766959207","0.39533816766959207","0.3955252906936174","0.3955252906936174","0.3955252906936174","0.3950473797707925","0.3950473797707925","0.3950473797707925","0.3951847549243382","0.3951847549243382","0.3951847549243382","0.3952324921904661","0.3952324921904661","0.3952324921904661","0.39585548530475373","0.39585548530475373","0.39585548530475373"
"19","0.3966495250588837","0.3966495250588837","0.3966495250588837","0.39671689072872424","0.39671689072872424","0.39671689072872424","0.39679806366747716","0.39679806366747716","0.39679806366747716","0.39635802090487066","0.39635802090487066","0.39635802090487066","0.3965702866431288","0.3965702866431288","0.3965702866431288","0.39660485809833046","0.39660485809833046","0.39660485809833046","0.39657071428747837","0.39657071428747837","0.39657071428747837","0.39638521985860287","0.39638521985860287","0.39638521985860287","0.39641876033144346","0.39641876033144346","0.39641876033144346","0.39672292475658577","0.39672292475658577","0.39672292475658577","0.3968592372119204","0.3968592372119204","0.3968592372119204"
