"Step","breezy-sweep-11 - Test Accuracy","breezy-sweep-11 - Test Accuracy__MIN","breezy-sweep-11 - Test Accuracy__MAX","light-sweep-10 - Test Accuracy","light-sweep-10 - Test Accuracy__MIN","light-sweep-10 - Test Accuracy__MAX","zany-sweep-9 - Test Accuracy","zany-sweep-9 - Test Accuracy__MIN","zany-sweep-9 - Test Accuracy__MAX","effortless-sweep-8 - Test Accuracy","effortless-sweep-8 - Test Accuracy__MIN","effortless-sweep-8 - Test Accuracy__MAX","effortless-sweep-7 - Test Accuracy","effortless-sweep-7 - Test Accuracy__MIN","effortless-sweep-7 - Test Accuracy__MAX","quiet-sweep-6 - Test Accuracy","quiet-sweep-6 - Test Accuracy__MIN","quiet-sweep-6 - Test Accuracy__MAX","polished-sweep-5 - Test Accuracy","polished-sweep-5 - Test Accuracy__MIN","polished-sweep-5 - Test Accuracy__MAX","glad-sweep-4 - Test Accuracy","glad-sweep-4 - Test Accuracy__MIN","glad-sweep-4 - Test Accuracy__MAX","neat-sweep-3 - Test Accuracy","neat-sweep-3 - Test Accuracy__MIN","neat-sweep-3 - Test Accuracy__MAX","pious-sweep-2 - Test Accuracy","pious-sweep-2 - Test Accuracy__MIN","pious-sweep-2 - Test Accuracy__MAX","scarlet-sweep-1 - Test Accuracy","scarlet-sweep-1 - Test Accuracy__MIN","scarlet-sweep-1 - Test Accuracy__MAX"
"0","0.3917435143899473","0.3917435143899473","0.3917435143899473","0.3915357721929469","0.3915357721929469","0.3915357721929469","0.3916624442642886","0.3916624442642886","0.3916624442642886","0.39154590595865424","0.39154590595865424","0.39154590595865424","0.3917561815970815","0.3917561815970815","0.3917561815970815","0.3915636400486421","0.3915636400486421","0.3915636400486421","0.39157884069720306","0.39157884069720306","0.39157884069720306","0.39154843940008105","0.39154843940008105","0.39154843940008105","0.39170297932711795","0.39170297932711795","0.39170297932711795","0.39158390758005673","0.39158390758005673","0.39158390758005673","0.39161430887717874","0.39161430887717874","0.39161430887717874"
"50","0.4187576003242805","0.4187576003242805","0.4187576003242805","0.41877786785569515","0.41877786785569515","0.41877786785569515","0.4188614714227807","0.4188614714227807","0.4188614714227807","0.4189476084312931","0.4189476084312931","0.4189476084312931","0.41886907174706123","0.41886907174706123","0.41886907174706123","0.4190008107012566","0.4190008107012566","0.4190008107012566","0.4188209363599514","0.4188209363599514","0.4188209363599514","0.4188918727199027","0.4188918727199027","0.4188918727199027","0.418826003242805","0.418826003242805","0.418826003242805","0.41887413862991485","0.41887413862991485","0.41887413862991485","0.4189805431698419","0.4189805431698419","0.4189805431698419"
"100","0.41991538305634374","0.41991538305634374","0.41991538305634374","0.41984951357924605","0.41984951357924605","0.41984951357924605","0.41984191325496556","0.41984191325496556","0.41984191325496556","0.41984444669639237","0.41984444669639237","0.41984444669639237","0.41991538305634374","0.41991538305634374","0.41991538305634374","0.4199609850020268","0.4199609850020268","0.4199609850020268","0.4198621807863802","0.4198621807863802","0.4198621807863802","0.4200572557762465","0.4200572557762465","0.4200572557762465","0.4198013781921362","0.4198013781921362","0.4198013781921362","0.41978871098500203","0.41978871098500203","0.41978871098500203","0.41987231455208757","0.41987231455208757","0.41987231455208757"
"150","0.42029539927036885","0.42029539927036885","0.42029539927036885","0.42024979732468587","0.42024979732468587","0.42024979732468587","0.42028779894608836","0.42028779894608836","0.42028779894608836","0.42023206323469803","0.42023206323469803","0.42023206323469803","0.42025993109039317","0.42025993109039317","0.42025993109039317","0.42061461289014995","0.42061461289014995","0.42061461289014995","0.4202903323875152","0.4202903323875152","0.4202903323875152","0.4203105999189299","0.4203105999189299","0.4203105999189299","0.4203638021888934","0.4203638021888934","0.4203638021888934","0.4204347385488448","0.4204347385488448","0.4204347385488448","0.4202523307661127","0.4202523307661127","0.4202523307661127"
"200","0.4204752736116741","0.4204752736116741","0.4204752736116741","0.42066528171868667","0.42066528171868667","0.42066528171868667","0.4204322051074179","0.4204322051074179","0.4204322051074179","0.42060701256586946","0.42060701256586946","0.42060701256586946","0.4205639440616133","0.4205639440616133","0.4205639440616133","0.42066528171868667","0.42066528171868667","0.42066528171868667","0.42078942034860156","0.42078942034860156","0.42078942034860156","0.4205943453587353","0.4205943453587353","0.4205943453587353","0.42045500608025943","0.42045500608025943","0.42045500608025943","0.4208071544385894","0.4208071544385894","0.4208071544385894","0.4206222132144305","0.4206222132144305","0.4206222132144305"
"250","0.42067288204296716","0.42067288204296716","0.42067288204296716","0.42079955411430886","0.42079955411430886","0.42079955411430886","0.420660214835833","0.420660214835833","0.420660214835833","0.420660214835833","0.420660214835833","0.420660214835833","0.4208476895014187","0.4208476895014187","0.4208476895014187","0.42090089177138224","0.42090089177138224","0.42090089177138224","0.42092115930279694","0.42092115930279694","0.42092115930279694","0.4209946291041751","0.4209946291041751","0.4209946291041751","0.4206830158086745","0.4206830158086745","0.4206830158086745","0.4209946291041751","0.4209946291041751","0.4209946291041751","0.4207868869071747","0.4207868869071747","0.4207868869071747"
"300","0.4208172882042967","0.4208172882042967","0.4208172882042967","0.42079702067288205","0.42079702067288205","0.42079702067288205","0.4207564856100527","0.4207564856100527","0.4207564856100527","0.42088569112282126","0.42088569112282126","0.42088569112282126","0.4208502229428456","0.4208502229428456","0.4208502229428456","0.4210098297527361","0.4210098297527361","0.4210098297527361","0.4209338265099311","0.4209338265099311","0.4209338265099311","0.42079955411430886","0.42079955411430886","0.42079955411430886","0.42076155249290637","0.42076155249290637","0.42076155249290637","0.4209464937170653","0.4209464937170653","0.4209464937170653","0.4207843534657479","0.4207843534657479","0.4207843534657479"
"350","0.4208806242399676","0.4208806242399676","0.4208806242399676","0.42088569112282126","0.42088569112282126","0.42088569112282126","0.4207260843129307","0.4207260843129307","0.4207260843129307","0.42082488852857725","0.42082488852857725","0.42082488852857725","0.4208096878800162","0.4208096878800162","0.4208096878800162","0.42095409404134576","0.42095409404134576","0.42095409404134576","0.42082995541143087","0.42082995541143087","0.42082995541143087","0.42101236319416296","0.42101236319416296","0.42101236319416296","0.4209135589785164","0.4209135589785164","0.4209135589785164","0.4206475476286988","0.4206475476286988","0.4206475476286988","0.42092622618565056","0.42092622618565056","0.42092622618565056"
"400","0.42090089177138224","0.42090089177138224","0.42090089177138224","0.42086542359140655","0.42086542359140655","0.42086542359140655","0.4208983583299554","0.4208983583299554","0.4208983583299554","0.42095156059991895","0.42095156059991895","0.42095156059991895","0.42086542359140655","0.42086542359140655","0.42086542359140655","0.42084262261856503","0.42084262261856503","0.42084262261856503","0.4209464937170653","0.4209464937170653","0.4209464937170653","0.42109343331982163","0.42109343331982163","0.42109343331982163","0.4209464937170653","0.4209464937170653","0.4209464937170653","0.4211111674098095","0.4211111674098095","0.4211111674098095","0.42075901905147955","0.42075901905147955","0.42075901905147955"
