"Step","good-sweep-11 - Test Accuracy","good-sweep-11 - Test Accuracy__MIN","good-sweep-11 - Test Accuracy__MAX","prime-sweep-10 - Test Accuracy","prime-sweep-10 - Test Accuracy__MIN","prime-sweep-10 - Test Accuracy__MAX","toasty-sweep-9 - Test Accuracy","toasty-sweep-9 - Test Accuracy__MIN","toasty-sweep-9 - Test Accuracy__MAX","lunar-sweep-8 - Test Accuracy","lunar-sweep-8 - Test Accuracy__MIN","lunar-sweep-8 - Test Accuracy__MAX","fallen-sweep-7 - Test Accuracy","fallen-sweep-7 - Test Accuracy__MIN","fallen-sweep-7 - Test Accuracy__MAX","sweepy-sweep-6 - Test Accuracy","sweepy-sweep-6 - Test Accuracy__MIN","sweepy-sweep-6 - Test Accuracy__MAX","clear-sweep-5 - Test Accuracy","clear-sweep-5 - Test Accuracy__MIN","clear-sweep-5 - Test Accuracy__MAX","sweet-sweep-4 - Test Accuracy","sweet-sweep-4 - Test Accuracy__MIN","sweet-sweep-4 - Test Accuracy__MAX","golden-sweep-3 - Test Accuracy","golden-sweep-3 - Test Accuracy__MIN","golden-sweep-3 - Test Accuracy__MAX","breezy-sweep-2 - Test Accuracy","breezy-sweep-2 - Test Accuracy__MIN","breezy-sweep-2 - Test Accuracy__MAX","light-sweep-1 - Test Accuracy","light-sweep-1 - Test Accuracy__MIN","light-sweep-1 - Test Accuracy__MAX"
"0","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948","0.00001773408998783948"
"50","0.41276094446696393","0.41276094446696393","0.41276094446696393","0.41284454803404946","0.41284454803404946","0.41284454803404946","0.412545601945683","0.412545601945683","0.412545601945683","0.41238599513579244","0.41238599513579244","0.41238599513579244","0.4127508107012566","0.4127508107012566","0.4127508107012566","0.41272547628698825","0.41272547628698825","0.41272547628698825","0.41276347790839074","0.41276347790839074","0.41276347790839074","0.4127736116740981","0.4127736116740981","0.4127736116740981","0.4127052087555736","0.4127052087555736","0.4127052087555736","0.4124341305229023","0.4124341305229023","0.4124341305229023","0.41262160518848806","0.41262160518848806","0.41262160518848806"
"100","0.41402259829752736","0.41402259829752736","0.41402259829752736","0.41358684637211185","0.41358684637211185","0.41358684637211185","0.4135589785164167","0.4135589785164167","0.4135589785164167","0.41376165383056346","0.41376165383056346","0.41376165383056346","0.4142404742602351","0.4142404742602351","0.4142404742602351","0.41386299148763683","0.41386299148763683","0.41386299148763683","0.4141062018646129","0.4141062018646129","0.4141062018646129","0.41401246453182","0.41401246453182","0.41401246453182","0.4135969801378192","0.4135969801378192","0.4135969801378192","0.4138097892176733","0.4138097892176733","0.4138097892176733","0.413921260640454","0.413921260640454","0.413921260640454"
"150","0.4141872719902716","0.4141872719902716","0.4141872719902716","0.4141619375760032","0.4141619375760032","0.4141619375760032","0.41422274017024724","0.41422274017024724","0.41422274017024724","0.4145115524929064","0.4145115524929064","0.4145115524929064","0.4141036684231861","0.4141036684231861","0.4141036684231861","0.4141062018646129","0.4141062018646129","0.4141062018646129","0.41427594244021076","0.41427594244021076","0.41427594244021076","0.41453942034860153","0.41453942034860153","0.41453942034860153","0.4140479327117957","0.4140479327117957","0.4140479327117957","0.41430127685447915","0.41430127685447915","0.41430127685447915","0.41399979732468584","0.41399979732468584","0.41399979732468584"
"200","0.41379965545196595","0.41379965545196595","0.41379965545196595","0.4141872719902716","0.4141872719902716","0.4141872719902716","0.41408340089177137","0.41408340089177137","0.41408340089177137","0.41294841913254965","0.41294841913254965","0.41294841913254965","0.4141442034860154","0.4141442034860154","0.4141442034860154","0.4142252736116741","0.4142252736116741","0.4142252736116741","0.4140453992703689","0.4140453992703689","0.4140453992703689","0.41440261451155247","0.41440261451155247","0.41440261451155247","0.41409606809890553","0.41409606809890553","0.41409606809890553","0.41408846777462505","0.41408846777462505","0.41408846777462505","0.4141290028374544","0.4141290028374544","0.4141290028374544"
"250","0.4147674300770166","0.4147674300770166","0.4147674300770166","0.41473956222132147","0.41473956222132147","0.41473956222132147","0.4148637008512363","0.4148637008512363","0.4148637008512363","0.4147952979327118","0.4147952979327118","0.4147952979327118","0.4146990271584921","0.4146990271584921","0.4146990271584921","0.41469396027563843","0.41469396027563843","0.41469396027563843","0.41459768950141873","0.41459768950141873","0.41459768950141873","0.41480796513984597","0.41480796513984597","0.41480796513984597","0.4150258411025537","0.4150258411025537","0.4150258411025537","0.41487383461694366","0.41487383461694366","0.41487383461694366","0.41490170247263886","0.41490170247263886","0.41490170247263886"
"300","0.41426580867450347","0.41426580867450347","0.41426580867450347","0.4147319618970409","0.4147319618970409","0.4147319618970409","0.41458502229428457","0.41458502229428457","0.41458502229428457","0.41452675314146736","0.41452675314146736","0.41452675314146736","0.41406059991892985","0.41406059991892985","0.41406059991892985","0.41436461289015","0.41436461289015","0.41436461289015","0.41446341710579654","0.41446341710579654","0.41446341710579654","0.41456475476286986","0.41456475476286986","0.41456475476286986","0.41450395216862584","0.41450395216862584","0.41450395216862584","0.4148637008512363","0.4148637008512363","0.4148637008512363","0.4145090190514795","0.4145090190514795","0.4145090190514795"
"350","0.41338923794081883","0.41338923794081883","0.41338923794081883","0.4133512363194163","0.4133512363194163","0.4133512363194163","0.4131738954195379","0.4131738954195379","0.4131738954195379","0.41317642886096473","0.41317642886096473","0.41317642886096473","0.41278627888123226","0.41278627888123226","0.41278627888123226","0.41304468990676935","0.41304468990676935","0.41304468990676935","0.41314856100526953","0.41314856100526953","0.41314856100526953","0.4132524321037698","0.4132524321037698","0.4132524321037698","0.41316376165383056","0.41316376165383056","0.41316376165383056","0.41290281718686667","0.41290281718686667","0.41290281718686667","0.41259373733279286","0.41259373733279286","0.41259373733279286"
"400","0.4147572963113093","0.4147572963113093","0.4147572963113093","0.41330310093230643","0.41330310093230643","0.41330310093230643","0.41430381029590596","0.41430381029590596","0.41430381029590596","0.41482063234698013","0.41482063234698013","0.41482063234698013","0.41463062423996755","0.41463062423996755","0.41463062423996755","0.41433421159302797","0.41433421159302797","0.41433421159302797","0.4146838265099311","0.4146838265099311","0.4146838265099311","0.41456222132144305","0.41456222132144305","0.41456222132144305","0.41345764085934333","0.41345764085934333","0.41345764085934333","0.4136780502634779","0.4136780502634779","0.4136780502634779","0.4145495541143089","0.4145495541143089","0.4145495541143089"
