"Step","jumping-sweep-11 - Test Accuracy","jumping-sweep-11 - Test Accuracy__MIN","jumping-sweep-11 - Test Accuracy__MAX","sweet-sweep-10 - Test Accuracy","sweet-sweep-10 - Test Accuracy__MIN","sweet-sweep-10 - Test Accuracy__MAX","northern-sweep-9 - Test Accuracy","northern-sweep-9 - Test Accuracy__MIN","northern-sweep-9 - Test Accuracy__MAX","soft-sweep-8 - Test Accuracy","soft-sweep-8 - Test Accuracy__MIN","soft-sweep-8 - Test Accuracy__MAX","driven-sweep-7 - Test Accuracy","driven-sweep-7 - Test Accuracy__MIN","driven-sweep-7 - Test Accuracy__MAX","hardy-sweep-6 - Test Accuracy","hardy-sweep-6 - Test Accuracy__MIN","hardy-sweep-6 - Test Accuracy__MAX","giddy-sweep-5 - Test Accuracy","giddy-sweep-5 - Test Accuracy__MIN","giddy-sweep-5 - Test Accuracy__MAX","deft-sweep-4 - Test Accuracy","deft-sweep-4 - Test Accuracy__MIN","deft-sweep-4 - Test Accuracy__MAX","absurd-sweep-3 - Test Accuracy","absurd-sweep-3 - Test Accuracy__MIN","absurd-sweep-3 - Test Accuracy__MAX","fluent-sweep-2 - Test Accuracy","fluent-sweep-2 - Test Accuracy__MIN","fluent-sweep-2 - Test Accuracy__MAX","pretty-sweep-1 - Test Accuracy","pretty-sweep-1 - Test Accuracy__MIN","pretty-sweep-1 - Test Accuracy__MAX"
"0","0.3912165585731658","0.3912165585731658","0.3912165585731658","0.3911126874746656","0.3911126874746656","0.3911126874746656","0.39129002837454396","0.39129002837454396","0.39129002837454396","0.39103415079043374","0.39103415079043374","0.39103415079043374","0.391335630320227","0.391335630320227","0.391335630320227","0.3911354884475071","0.3911354884475071","0.3911354884475071","0.3912190920145926","0.3912190920145926","0.3912190920145926","0.39125709363599515","0.39125709363599515","0.39125709363599515","0.39119122415889745","0.39119122415889745","0.39119122415889745","0.39116335630320226","0.39116335630320226","0.39116335630320226","0.39114055533036074","0.39114055533036074","0.39114055533036074"
"50","0.4188158694770977","0.4188158694770977","0.4188158694770977","0.41875","0.41875","0.41875","0.4189450749898662","0.4189450749898662","0.4189450749898662","0.41895520875557357","0.41895520875557357","0.41895520875557357","0.4188462707742197","0.4188462707742197","0.4188462707742197","0.4189704094041346","0.4189704094041346","0.4189704094041346","0.4189805431698419","0.4189805431698419","0.4189805431698419","0.41902867855695175","0.41902867855695175","0.41902867855695175","0.41889693960275637","0.41889693960275637","0.41889693960275637","0.4189501418727199","0.4189501418727199","0.4189501418727199","0.4190438792055128","0.4190438792055128","0.4190438792055128"
"100","0.41994578435346575","0.41994578435346575","0.41994578435346575","0.41993058370490477","0.41993058370490477","0.41993058370490477","0.41994578435346575","0.41994578435346575","0.41994578435346575","0.4198925820835022","0.4198925820835022","0.4198925820835022","0.4200217875962708","0.4200217875962708","0.4200217875962708","0.4201180583704905","0.4201180583704905","0.4201180583704905","0.4198089785164167","0.4198089785164167","0.4198089785164167","0.4202067288204297","0.4202067288204297","0.4202067288204297","0.4198596473449534","0.4198596473449534","0.4198596473449534","0.4197988447507094","0.4197988447507094","0.4197988447507094","0.4198900486420754","0.4198900486420754","0.4198900486420754"
"150","0.4202523307661127","0.4202523307661127","0.4202523307661127","0.4204600729631131","0.4204600729631131","0.4204600729631131","0.4204068706931496","0.4204068706931496","0.4204068706931496","0.4203967369274422","0.4203967369274422","0.4203967369274422","0.420629813538711","0.420629813538711","0.420629813538711","0.4205259424402108","0.4205259424402108","0.4205259424402108","0.4203435346574787","0.4203435346574787","0.4203435346574787","0.42054620997162545","0.42054620997162545","0.42054620997162545","0.42051580867450344","0.42051580867450344","0.42051580867450344","0.42047780705310095","0.42047780705310095","0.42047780705310095","0.42042207134171056","0.42042207134171056","0.42042207134171056"
"200","0.4206830158086745","0.4206830158086745","0.4206830158086745","0.4207108836643697","0.4207108836643697","0.4207108836643697","0.42061207944872314","0.42061207944872314","0.42061207944872314","0.42066528171868667","0.42066528171868667","0.42066528171868667","0.420721017430077","0.420721017430077","0.420721017430077","0.42070074989866235","0.42070074989866235","0.42070074989866235","0.4206272800972842","0.4206272800972842","0.4206272800972842","0.42066528171868667","0.42066528171868667","0.42066528171868667","0.42058167815160113","0.42058167815160113","0.42058167815160113","0.42061967977300363","0.42061967977300363","0.42061967977300363","0.42067034860154034","0.42067034860154034","0.42067034860154034"
"250","0.4208831576813944","0.4208831576813944","0.4208831576813944","0.4210072963113093","0.4210072963113093","0.4210072963113093","0.4210376976084313","0.4210376976084313","0.4210376976084313","0.4207919537900284","0.4207919537900284","0.4207919537900284","0.42085782326712606","0.42085782326712606","0.42085782326712606","0.4210022294284556","0.4210022294284556","0.4210022294284556","0.42098196189704096","0.42098196189704096","0.42098196189704096","0.42102249695987026","0.42102249695987026","0.42102249695987026","0.42084262261856503","0.42084262261856503","0.42084262261856503","0.42076915281718685","0.42076915281718685","0.42076915281718685","0.42074635184434533","0.42074635184434533","0.42074635184434533"
"300","0.42082488852857725","0.42082488852857725","0.42082488852857725","0.42081982164572357","0.42081982164572357","0.42081982164572357","0.42079955411430886","0.42079955411430886","0.42079955411430886","0.42093129306850424","0.42093129306850424","0.42093129306850424","0.42092622618565056","0.42092622618565056","0.42092622618565056","0.4207488852857722","0.4207488852857722","0.4207488852857722","0.4210351641670045","0.4210351641670045","0.4210351641670045","0.4208400891771382","0.4208400891771382","0.4208400891771382","0.4207159505472233","0.4207159505472233","0.4207159505472233","0.42079955411430886","0.42079955411430886","0.42079955411430886","0.42070835022294284","0.42070835022294284","0.42070835022294284"
"350","0.42073115119578436","0.42073115119578436","0.42073115119578436","0.42099716254560193","0.42099716254560193","0.42099716254560193","0.42096169436562625","0.42096169436562625","0.42096169436562625","0.42075901905147955","0.42075901905147955","0.42075901905147955","0.4210148966355898","0.4210148966355898","0.4210148966355898","0.42091609241994327","0.42091609241994327","0.42091609241994327","0.4207286177543575","0.4207286177543575","0.4207286177543575","0.4210022294284556","0.4210022294284556","0.4210022294284556","0.4208730239156871","0.4208730239156871","0.4208730239156871","0.42079702067288205","0.42079702067288205","0.42079702067288205","0.4208476895014187","0.4208476895014187","0.4208476895014187"
"400","0.42102756384272394","0.42102756384272394","0.42102756384272394","0.42092369274422375","0.42092369274422375","0.42092369274422375","0.42107823267126065","0.42107823267126065","0.42107823267126065","0.4209996959870288","0.4209996959870288","0.4209996959870288","0.421164369679773","0.421164369679773","0.421164369679773","0.4211111674098095","0.4211111674098095","0.4211111674098095","0.42111370085123634","0.42111370085123634","0.42111370085123634","0.4208780907985407","0.4208780907985407","0.4208780907985407","0.4211314349412242","0.4211314349412242","0.4211314349412242","0.42108329955411433","0.42108329955411433","0.42108329955411433","0.4210351641670045","0.4210351641670045","0.4210351641670045"
