"Step","iconic-sweep-11 - Test Accuracy","iconic-sweep-11 - Test Accuracy__MIN","iconic-sweep-11 - Test Accuracy__MAX","peachy-sweep-10 - Test Accuracy","peachy-sweep-10 - Test Accuracy__MIN","peachy-sweep-10 - Test Accuracy__MAX","pretty-sweep-9 - Test Accuracy","pretty-sweep-9 - Test Accuracy__MIN","pretty-sweep-9 - Test Accuracy__MAX","summer-sweep-8 - Test Accuracy","summer-sweep-8 - Test Accuracy__MIN","summer-sweep-8 - Test Accuracy__MAX","clear-sweep-7 - Test Accuracy","clear-sweep-7 - Test Accuracy__MIN","clear-sweep-7 - Test Accuracy__MAX","fearless-sweep-6 - Test Accuracy","fearless-sweep-6 - Test Accuracy__MIN","fearless-sweep-6 - Test Accuracy__MAX","volcanic-sweep-5 - Test Accuracy","volcanic-sweep-5 - Test Accuracy__MIN","volcanic-sweep-5 - Test Accuracy__MAX","exalted-sweep-4 - Test Accuracy","exalted-sweep-4 - Test Accuracy__MIN","exalted-sweep-4 - Test Accuracy__MAX","jolly-sweep-3 - Test Accuracy","jolly-sweep-3 - Test Accuracy__MIN","jolly-sweep-3 - Test Accuracy__MAX","efficient-sweep-2 - Test Accuracy","efficient-sweep-2 - Test Accuracy__MIN","efficient-sweep-2 - Test Accuracy__MAX","peach-sweep-1 - Test Accuracy","peach-sweep-1 - Test Accuracy__MIN","peach-sweep-1 - Test Accuracy__MAX"
"0","0.7556883445400927","0.7556883445400927","0.7556883445400927","0.7556238142560303","0.7556238142560303","0.7556238142560303","0.7536233754500987","0.7536233754500987","0.7536233754500987","0.7539460268704102","0.7539460268704102","0.7539460268704102","0.7545784236542209","0.7545784236542209","0.7545784236542209","0.7541008995521599","0.7541008995521599","0.7541008995521599","0.7552882567789063","0.7552882567789063","0.7552882567789063","0.7529780726094756","0.7529780726094756","0.7529780726094756","0.7536749996773486","0.7536749996773486","0.7536749996773486","0.7529264483822258","0.7529264483822258","0.7529264483822258","0.7541783358930346","0.7541783358930346","0.7541783358930346"
"50","0.8972032574887394","0.8972032574887394","0.8972032574887394","0.898364802601861","0.898364802601861","0.898364802601861","0.8974226604545513","0.8974226604545513","0.8974226604545513","0.8956674367280565","0.8956674367280565","0.8956674367280565","0.8970483848069899","0.8970483848069899","0.8970483848069899","0.898558393454048","0.898558393454048","0.898558393454048","0.897861466386175","0.897861466386175","0.897861466386175","0.8968031697275531","0.8968031697275531","0.8968031697275531","0.8966741091594285","0.8966741091594285","0.8966741091594285","0.8975646270794884","0.8975646270794884","0.8975646270794884","0.8960288063188054","0.8960288063188054","0.8960288063188054"
"100","0.9016558470890389","0.9016558470890389","0.9016558470890389","0.9011525108733529","0.9011525108733529","0.9011525108733529","0.900261992953293","0.900261992953293","0.900261992953293","0.9003652414077927","0.9003652414077927","0.9003652414077927","0.9012299472142277","0.9012299472142277","0.9012299472142277","0.8998748112489191","0.8998748112489191","0.8998748112489191","0.9013719138391647","0.9013719138391647","0.9013719138391647","0.900958920021166","0.900958920021166","0.900958920021166","0.900236180839668","0.900236180839668","0.900236180839668","0.9006620807144793","0.9006620807144793","0.9006620807144793","0.9001071202715434","0.9001071202715434","0.9001071202715434"
"150","0.9023269620432869","0.9023269620432869","0.9023269620432869","0.901604222861789","0.901604222861789","0.901604222861789","0.9013848198959772","0.9013848198959772","0.9013848198959772","0.9010234503052282","0.9010234503052282","0.9010234503052282","0.9015267865209142","0.9015267865209142","0.9015267865209142","0.9019655924525379","0.9019655924525379","0.9019655924525379","0.9027657679749106","0.9027657679749106","0.9027657679749106","0.90040395957823","0.90040395957823","0.90040395957823","0.9018623439980383","0.9018623439980383","0.9018623439980383","0.9021979014751623","0.9021979014751623","0.9021979014751623","0.9016945652594762","0.9016945652594762","0.9016945652594762"
"200","0.902301149929662","0.902301149929662","0.902301149929662","0.9034368829291587","0.9034368829291587","0.9034368829291587","0.9030238891111598","0.9030238891111598","0.9030238891111598","0.902804486145348","0.902804486145348","0.902804486145348","0.9022366196455996","0.9022366196455996","0.9022366196455996","0.9030884193952222","0.9030884193952222","0.9030884193952222","0.904004749428907","0.904004749428907","0.904004749428907","0.90381115857672","0.90381115857672","0.90381115857672","0.9033852587019088","0.9033852587019088","0.9033852587019088","0.9029206406566602","0.9029206406566602","0.9029206406566602","0.9035143192700335","0.9035143192700335","0.9035143192700335"
"250","0.9051404824284036","0.9051404824284036","0.9051404824284036","0.9036046616677207","0.9036046616677207","0.9036046616677207","0.9032045739065343","0.9032045739065343","0.9032045739065343","0.9055921944168398","0.9055921944168398","0.9055921944168398","0.903501413213221","0.903501413213221","0.903501413213221","0.9030884193952222","0.9030884193952222","0.9030884193952222","0.9029464527702851","0.9029464527702851","0.9029464527702851","0.9037853464630952","0.9037853464630952","0.9037853464630952","0.9039015009744072","0.9039015009744072","0.9039015009744072","0.9036950040654079","0.9036950040654079","0.9036950040654079","0.9036046616677207","0.9036046616677207","0.9036046616677207"
"300","0.9039660312584696","0.9039660312584696","0.9039660312584696","0.904172528167469","0.904172528167469","0.904172528167469","0.9042886826787812","0.9042886826787812","0.9042886826787812","0.9046758643831551","0.9046758643831551","0.9046758643831551","0.9046371462127176","0.9046371462127176","0.9046371462127176","0.9028948285430353","0.9028948285430353","0.9028948285430353","0.90297226488391","0.90297226488391","0.90297226488391","0.903307822361034","0.903307822361034","0.903307822361034","0.9044564614173431","0.9044564614173431","0.9044564614173431","0.9039531252016572","0.9039531252016572","0.9039531252016572","0.9046500522695301","0.9046500522695301","0.9046500522695301"
"350","0.9045468038150304","0.9045468038150304","0.9045468038150304","0.9039273130880322","0.9039273130880322","0.9039273130880322","0.9032949163042215","0.9032949163042215","0.9032949163042215","0.9055018520191526","0.9055018520191526","0.9055018520191526","0.9023527741569118","0.9023527741569118","0.9023527741569118","0.9035272253268459","0.9035272253268459","0.9035272253268459","0.9056438186440897","0.9056438186440897","0.9056438186440897","0.9038498767471574","0.9038498767471574","0.9038498767471574","0.9037079101222204","0.9037079101222204","0.9037079101222204","0.9029593588270975","0.9029593588270975","0.9029593588270975","0.9049081734057793","0.9049081734057793","0.9049081734057793"
"400","0.9036820980085954","0.9036820980085954","0.9036820980085954","0.9029335467134726","0.9029335467134726","0.9029335467134726","0.9039531252016572","0.9039531252016572","0.9039531252016572","0.9044306493037182","0.9044306493037182","0.9044306493037182","0.9037208161790328","0.9037208161790328","0.9037208161790328","0.9029593588270975","0.9029593588270975","0.9029593588270975","0.9054373217350903","0.9054373217350903","0.9054373217350903","0.9027786740317231","0.9027786740317231","0.9027786740317231","0.9035659434972833","0.9035659434972833","0.9035659434972833","0.9044951795877806","0.9044951795877806","0.9044951795877806","0.905514758075965","0.905514758075965","0.905514758075965"
