"Step","ethereal-sweep-11 - Test Accuracy","ethereal-sweep-11 - Test Accuracy__MIN","ethereal-sweep-11 - Test Accuracy__MAX","hearty-sweep-10 - Test Accuracy","hearty-sweep-10 - Test Accuracy__MIN","hearty-sweep-10 - Test Accuracy__MAX","robust-sweep-9 - Test Accuracy","robust-sweep-9 - Test Accuracy__MIN","robust-sweep-9 - Test Accuracy__MAX","classic-sweep-8 - Test Accuracy","classic-sweep-8 - Test Accuracy__MIN","classic-sweep-8 - Test Accuracy__MAX","hopeful-sweep-7 - Test Accuracy","hopeful-sweep-7 - Test Accuracy__MIN","hopeful-sweep-7 - Test Accuracy__MAX","fragrant-sweep-6 - Test Accuracy","fragrant-sweep-6 - Test Accuracy__MIN","fragrant-sweep-6 - Test Accuracy__MAX","lucky-sweep-5 - Test Accuracy","lucky-sweep-5 - Test Accuracy__MIN","lucky-sweep-5 - Test Accuracy__MAX","olive-sweep-4 - Test Accuracy","olive-sweep-4 - Test Accuracy__MIN","olive-sweep-4 - Test Accuracy__MAX","honest-sweep-3 - Test Accuracy","honest-sweep-3 - Test Accuracy__MIN","honest-sweep-3 - Test Accuracy__MAX","effortless-sweep-2 - Test Accuracy","effortless-sweep-2 - Test Accuracy__MIN","effortless-sweep-2 - Test Accuracy__MAX","light-sweep-1 - Test Accuracy","light-sweep-1 - Test Accuracy__MIN","light-sweep-1 - Test Accuracy__MAX"
"0","0.3511479937534685","0.3511479937534685","0.3511479937534685","0.34166204199630884","0.34166204199630884","0.34166204199630884","0.34594685285804627","0.34594685285804627","0.34594685285804627","0.3469922434598557","0.3469922434598557","0.3469922434598557","0.3345378986358298","0.3345378986358298","0.3345378986358298","0.33155659951215105","0.33155659951215105","0.33155659951215105","0.338564588361318","0.338564588361318","0.338564588361318","0.3389904882361292","0.3389904882361292","0.3389904882361292","0.33465405314714197","0.33465405314714197","0.33465405314714197","0.31776002477962906","0.31776002477962906","0.31776002477962906","0.3268329827187899","0.3268329827187899","0.3268329827187899"
"50","0.8797800807919156","0.8797800807919156","0.8797800807919156","0.8765793787024251","0.8765793787024251","0.8765793787024251","0.8769278422363616","0.8769278422363616","0.8769278422363616","0.8802188867235393","0.8802188867235393","0.8802188867235393","0.879315462746667","0.879315462746667","0.879315462746667","0.8752500548507415","0.8752500548507415","0.8752500548507415","0.8809674380186622","0.8809674380186622","0.8809674380186622","0.8773021178839229","0.8773021178839229","0.8773021178839229","0.8788250325877934","0.8788250325877934","0.8788250325877934","0.8770569028044861","0.8770569028044861","0.8770569028044861","0.8795477717692913","0.8795477717692913","0.8795477717692913"
"100","0.8792251203489798","0.8792251203489798","0.8792251203489798","0.8846198520965889","0.8846198520965889","0.8846198520965889","0.8840777977104656","0.8840777977104656","0.8840777977104656","0.883032407108656","0.883032407108656","0.883032407108656","0.8824774466657203","0.8824774466657203","0.8824774466657203","0.8829549707677813","0.8829549707677813","0.8829549707677813","0.8793025566898546","0.8793025566898546","0.8793025566898546","0.8837164281197166","0.8837164281197166","0.8837164281197166","0.8800898261554148","0.8800898261554148","0.8800898261554148","0.882554883006595","0.882554883006595","0.882554883006595","0.8855490881870862","0.8855490881870862","0.8855490881870862"
"150","0.8853167791644618","0.8853167791644618","0.8853167791644618","0.8844778854716518","0.8844778854716518","0.8844778854716518","0.8819224862227844","0.8819224862227844","0.8819224862227844","0.8859491759482725","0.8859491759482725","0.8859491759482725","0.883393776699405","0.883393776699405","0.883393776699405","0.8814191500070984","0.8814191500070984","0.8814191500070984","0.8837422402333415","0.8837422402333415","0.8837422402333415","0.8844907915284643","0.8844907915284643","0.8844907915284643","0.8846585702670263","0.8846585702670263","0.8846585702670263","0.880657692655163","0.880657692655163","0.880657692655163","0.8815998348024728","0.8815998348024728","0.8815998348024728"
"200","0.8758566395209272","0.8758566395209272","0.8758566395209272","0.8739723552263077","0.8739723552263077","0.8739723552263077","0.8783733205993572","0.8783733205993572","0.8783733205993572","0.8742433824193694","0.8742433824193694","0.8742433824193694","0.8769794664636114","0.8769794664636114","0.8769794664636114","0.8765922847592376","0.8765922847592376","0.8765922847592376","0.8749919337144922","0.8749919337144922","0.8749919337144922","0.8778312662132338","0.8778312662132338","0.8778312662132338","0.8719461043067511","0.8719461043067511","0.8719461043067511","0.8768116877250494","0.8768116877250494","0.8768116877250494","0.873030213078998","0.873030213078998","0.873030213078998"
"250","0.8801027322122272","0.8801027322122272","0.8801027322122272","0.8867751635842701","0.8867751635842701","0.8867751635842701","0.885768491152898","0.885768491152898","0.885768491152898","0.8811352167572242","0.8811352167572242","0.8811352167572242","0.8863621697662714","0.8863621697662714","0.8863621697662714","0.8883497025153905","0.8883497025153905","0.8883497025153905","0.8856136184711485","0.8856136184711485","0.8856136184711485","0.885432933675774","0.885432933675774","0.885432933675774","0.8809416259050372","0.8809416259050372","0.8809416259050372","0.8884658570267027","0.8884658570267027","0.8884658570267027","0.8869687544364571","0.8869687544364571","0.8869687544364571"
"300","0.885265154937212","0.885265154937212","0.885265154937212","0.8854071215621491","0.8854071215621491","0.8854071215621491","0.8893305628331376","0.8893305628331376","0.8893305628331376","0.8833550585289677","0.8833550585289677","0.8833550585289677","0.8869171302092071","0.8869171302092071","0.8869171302092071","0.8886852599925145","0.8886852599925145","0.8886852599925145","0.890905101764258","0.890905101764258","0.890905101764258","0.8877689299588297","0.8877689299588297","0.8877689299588297","0.8821677013022211","0.8821677013022211","0.8821677013022211","0.8852780609940245","0.8852780609940245","0.8852780609940245","0.8827871920292193","0.8827871920292193","0.8827871920292193"
"350","0.8885820115380147","0.8885820115380147","0.8885820115380147","0.8869300362660196","0.8869300362660196","0.8869300362660196","0.8862072970845217","0.8862072970845217","0.8862072970845217","0.8817418014274099","0.8817418014274099","0.8817418014274099","0.8887239781629519","0.8887239781629519","0.8887239781629519","0.8875366209362053","0.8875366209362053","0.8875366209362053","0.8854716518462115","0.8854716518462115","0.8854716518462115","0.8877947420724546","0.8877947420724546","0.8877947420724546","0.88593626989146","0.88593626989146","0.88593626989146","0.8860911425732096","0.8860911425732096","0.8860911425732096","0.8784249448266072","0.8784249448266072","0.8784249448266072"
"400","0.8896790263670741","0.8896790263670741","0.8896790263670741","0.8899758656737607","0.8899758656737607","0.8899758656737607","0.8870332847205193","0.8870332847205193","0.8870332847205193","0.8874849967089555","0.8874849967089555","0.8874849967089555","0.8889562871855762","0.8889562871855762","0.8889562871855762","0.8898338990488236","0.8898338990488236","0.8898338990488236","0.8872010634590813","0.8872010634590813","0.8872010634590813","0.888362608572203","0.888362608572203","0.888362608572203","0.8893950931171999","0.8893950931171999","0.8893950931171999","0.8800769200986023","0.8800769200986023","0.8800769200986023","0.8916536530593807","0.8916536530593807","0.8916536530593807"
