"Step","revived-sweep-11 - Test Accuracy","revived-sweep-11 - Test Accuracy__MIN","revived-sweep-11 - Test Accuracy__MAX","wild-sweep-10 - Test Accuracy","wild-sweep-10 - Test Accuracy__MIN","wild-sweep-10 - Test Accuracy__MAX","dutiful-sweep-9 - Test Accuracy","dutiful-sweep-9 - Test Accuracy__MIN","dutiful-sweep-9 - Test Accuracy__MAX","sandy-sweep-8 - Test Accuracy","sandy-sweep-8 - Test Accuracy__MIN","sandy-sweep-8 - Test Accuracy__MAX","laced-sweep-7 - Test Accuracy","laced-sweep-7 - Test Accuracy__MIN","laced-sweep-7 - Test Accuracy__MAX","lilac-sweep-6 - Test Accuracy","lilac-sweep-6 - Test Accuracy__MIN","lilac-sweep-6 - Test Accuracy__MAX","clean-sweep-5 - Test Accuracy","clean-sweep-5 - Test Accuracy__MIN","clean-sweep-5 - Test Accuracy__MAX","copper-sweep-4 - Test Accuracy","copper-sweep-4 - Test Accuracy__MIN","copper-sweep-4 - Test Accuracy__MAX","sunny-sweep-3 - Test Accuracy","sunny-sweep-3 - Test Accuracy__MIN","sunny-sweep-3 - Test Accuracy__MAX","swift-sweep-2 - Test Accuracy","swift-sweep-2 - Test Accuracy__MIN","swift-sweep-2 - Test Accuracy__MAX","jolly-sweep-1 - Test Accuracy","jolly-sweep-1 - Test Accuracy__MIN","jolly-sweep-1 - Test Accuracy__MAX"
"0","0.7535717512228489","0.7535717512228489","0.7535717512228489","0.7529522604958507","0.7529522604958507","0.7529522604958507","0.7517003729850419","0.7517003729850419","0.7517003729850419","0.7516745608714169","0.7516745608714169","0.7516745608714169","0.7514680639624176","0.7514680639624176","0.7514680639624176","0.75148097001923","0.75148097001923","0.75148097001923","0.7522811455416026","0.7522811455416026","0.7522811455416026","0.7500871158834841","0.7500871158834841","0.7500871158834841","0.7518681517236039","0.7518681517236039","0.7518681517236039","0.7495708736109856","0.7495708736109856","0.7495708736109856","0.7508872914058567","0.7508872914058567","0.7508872914058567"
"50","0.8973194120000516","0.8973194120000516","0.8973194120000516","0.8985454873972355","0.8985454873972355","0.8985454873972355","0.8980937754087993","0.8980937754087993","0.8980937754087993","0.8962998335118672","0.8962998335118672","0.8962998335118672","0.8973968483409264","0.8973968483409264","0.8973968483409264","0.8990875417833589","0.8990875417833589","0.8990875417833589","0.8983002723177987","0.8983002723177987","0.8983002723177987","0.8969322302956778","0.8969322302956778","0.8969322302956778","0.8973323180568641","0.8973323180568641","0.8973323180568641","0.8979130906134248","0.8979130906134248","0.8979130906134248","0.8961965850573674","0.8961965850573674","0.8961965850573674"
"100","0.9018623439980383","0.9018623439980383","0.9018623439980383","0.9015009744072894","0.9015009744072894","0.9015009744072894","0.9001458384419808","0.9001458384419808","0.9001458384419808","0.900765329168979","0.900765329168979","0.900765329168979","0.9018623439980383","0.9018623439980383","0.9018623439980383","0.9006491746576668","0.9006491746576668","0.9006491746576668","0.9012428532710401","0.9012428532710401","0.9012428532710401","0.9010363563620407","0.9010363563620407","0.9010363563620407","0.9003136171805428","0.9003136171805428","0.9003136171805428","0.9008298594530413","0.9008298594530413","0.9008298594530413","0.9003007111237303","0.9003007111237303","0.9003007111237303"
"150","0.9022366196455996","0.9022366196455996","0.9022366196455996","0.901436444123227","0.901436444123227","0.901436444123227","0.9014106320096021","0.9014106320096021","0.9014106320096021","0.9013977259527897","0.9013977259527897","0.9013977259527897","0.9020817469638501","0.9020817469638501","0.9020817469638501","0.9021333711910999","0.9021333711910999","0.9021333711910999","0.9029593588270975","0.9029593588270975","0.9029593588270975","0.9005459262031671","0.9005459262031671","0.9005459262031671","0.9019139682252881","0.9019139682252881","0.9019139682252881","0.9028561103725978","0.9028561103725978","0.9028561103725978","0.9021591833047249","0.9021591833047249","0.9021591833047249"
"200","0.9025205528954738","0.9025205528954738","0.9025205528954738","0.9040176554857194","0.9040176554857194","0.9040176554857194","0.9036950040654079","0.9036950040654079","0.9036950040654079","0.9035788495540957","0.9035788495540957","0.9035788495540957","0.9025334589522863","0.9025334589522863","0.9025334589522863","0.9031916678497218","0.9031916678497218","0.9031916678497218","0.9045726159286553","0.9045726159286553","0.9045726159286553","0.9037337222358452","0.9037337222358452","0.9037337222358452","0.9034110708155337","0.9034110708155337","0.9034110708155337","0.9030755133384097","0.9030755133384097","0.9030755133384097","0.903140043622472","0.903140043622472","0.903140043622472"
"250","0.9047920188944671","0.9047920188944671","0.9047920188944671","0.903836970690345","0.903836970690345","0.903836970690345","0.9034497889859712","0.9034497889859712","0.9034497889859712","0.9060568124620885","0.9060568124620885","0.9060568124620885","0.9038627828039699","0.9038627828039699","0.9038627828039699","0.9031529496792845","0.9031529496792845","0.9031529496792845","0.903140043622472","0.903140043622472","0.903140043622472","0.9036820980085954","0.9036820980085954","0.9036820980085954","0.9044435553605307","0.9044435553605307","0.9044435553605307","0.9037466282926577","0.9037466282926577","0.9037466282926577","0.9038498767471574","0.9038498767471574","0.9038498767471574"
"300","0.9045080856445931","0.9045080856445931","0.9045080856445931","0.9046242401559051","0.9046242401559051","0.9046242401559051","0.9046629583263426","0.9046629583263426","0.9046629583263426","0.9049339855194043","0.9049339855194043","0.9049339855194043","0.9047016764967799","0.9047016764967799","0.9047016764967799","0.9030238891111598","0.9030238891111598","0.9030238891111598","0.9033723526450963","0.9033723526450963","0.9033723526450963","0.9033465405314715","0.9033465405314715","0.9033465405314715","0.9045468038150304","0.9045468038150304","0.9045468038150304","0.904172528167469","0.904172528167469","0.904172528167469","0.9049727036898416","0.9049727036898416","0.9049727036898416"
"350","0.9044951795877806","0.9044951795877806","0.9044951795877806","0.9032303860201593","0.9032303860201593","0.9032303860201593","0.9036304737813455","0.9036304737813455","0.9036304737813455","0.9054760399055277","0.9054760399055277","0.9054760399055277","0.9028432043157854","0.9028432043157854","0.9028432043157854","0.9039531252016572","0.9039531252016572","0.9039531252016572","0.9054244156782778","0.9054244156782778","0.9054244156782778","0.9044951795877806","0.9044951795877806","0.9044951795877806","0.9036046616677207","0.9036046616677207","0.9036046616677207","0.9036046616677207","0.9036046616677207","0.9036046616677207","0.9052179187692784","0.9052179187692784","0.9052179187692784"
"400","0.9039402191448447","0.9039402191448447","0.9039402191448447","0.9030884193952222","0.9030884193952222","0.9030884193952222","0.9044822735309681","0.9044822735309681","0.9044822735309681","0.9044951795877806","0.9044951795877806","0.9044951795877806","0.9040950918265942","0.9040950918265942","0.9040950918265942","0.9034497889859712","0.9034497889859712","0.9034497889859712","0.9059664700644012","0.9059664700644012","0.9059664700644012","0.9033207284178465","0.9033207284178465","0.9033207284178465","0.9039402191448447","0.9039402191448447","0.9039402191448447","0.9044693674741556","0.9044693674741556","0.9044693674741556","0.9058374094962766","0.9058374094962766","0.9058374094962766"
