"Step","fancy-sweep-11 - Average Weighted Test Accuracy","fancy-sweep-11 - Average Weighted Test Accuracy__MIN","fancy-sweep-11 - Average Weighted Test Accuracy__MAX","avid-sweep-10 - Average Weighted Test Accuracy","avid-sweep-10 - Average Weighted Test Accuracy__MIN","avid-sweep-10 - Average Weighted Test Accuracy__MAX","vibrant-sweep-9 - Average Weighted Test Accuracy","vibrant-sweep-9 - Average Weighted Test Accuracy__MIN","vibrant-sweep-9 - Average Weighted Test Accuracy__MAX","laced-sweep-8 - Average Weighted Test Accuracy","laced-sweep-8 - Average Weighted Test Accuracy__MIN","laced-sweep-8 - Average Weighted Test Accuracy__MAX","gallant-sweep-7 - Average Weighted Test Accuracy","gallant-sweep-7 - Average Weighted Test Accuracy__MIN","gallant-sweep-7 - Average Weighted Test Accuracy__MAX","silvery-sweep-6 - Average Weighted Test Accuracy","silvery-sweep-6 - Average Weighted Test Accuracy__MIN","silvery-sweep-6 - Average Weighted Test Accuracy__MAX","bright-sweep-5 - Average Weighted Test Accuracy","bright-sweep-5 - Average Weighted Test Accuracy__MIN","bright-sweep-5 - Average Weighted Test Accuracy__MAX","fancy-sweep-4 - Average Weighted Test Accuracy","fancy-sweep-4 - Average Weighted Test Accuracy__MIN","fancy-sweep-4 - Average Weighted Test Accuracy__MAX","sweet-sweep-3 - Average Weighted Test Accuracy","sweet-sweep-3 - Average Weighted Test Accuracy__MIN","sweet-sweep-3 - Average Weighted Test Accuracy__MAX","olive-sweep-2 - Average Weighted Test Accuracy","olive-sweep-2 - Average Weighted Test Accuracy__MIN","olive-sweep-2 - Average Weighted Test Accuracy__MAX","rosy-sweep-1 - Average Weighted Test Accuracy","rosy-sweep-1 - Average Weighted Test Accuracy__MIN","rosy-sweep-1 - Average Weighted Test Accuracy__MAX"
"18","0.6336486713214512","0.6336486713214512","0.6336486713214512","0.6172579791696243","0.6172579791696243","0.6172579791696243","0.6031903772440407","0.6031903772440407","0.6031903772440407","0.618032342578372","0.618032342578372","0.618032342578372","0.5929945923621955","0.5929945923621955","0.5929945923621955","0.5992282178026148","0.5992282178026148","0.5992282178026148","0.6017965231082947","0.6017965231082947","0.6017965231082947","0.6098369965024586","0.6098369965024586","0.6098369965024586","0.6058361188905954","0.6058361188905954","0.6058361188905954","0.5680213724300814","0.5680213724300814","0.5680213724300814","0.5981699211439929","0.5981699211439929","0.5981699211439929"
"19","0.640850251022805","0.640850251022805","0.640850251022805","0.6266019643018469","0.6266019643018469","0.6266019643018469","0.6132700076145735","0.6132700076145735","0.6132700076145735","0.6259437554044113","0.6259437554044113","0.6259437554044113","0.603422686266665","0.603422686266665","0.603422686266665","0.6093336602867726","0.6093336602867726","0.6093336602867726","0.6129860743646993","0.6129860743646993","0.6129860743646993","0.6194520088277429","0.6194520088277429","0.6194520088277429","0.6158899371475033","0.6158899371475033","0.6158899371475033","0.5812242685492301","0.5812242685492301","0.5812242685492301","0.608365706025838","0.608365706025838","0.608365706025838"
"20","0.6472387491449737","0.6472387491449737","0.6472387491449737","0.6350941496844469","0.6350941496844469","0.6350941496844469","0.6226010866899836","0.6226010866899836","0.6226010866899836","0.6334292683556393","0.6334292683556393","0.6334292683556393","0.6128053895693248","0.6128053895693248","0.6128053895693248","0.6184195242827459","0.6184195242827459","0.6184195242827459","0.6218783475084857","0.6218783475084857","0.6218783475084857","0.6272859853129074","0.6272859853129074","0.6272859853129074","0.6248080224049146","0.6248080224049146","0.6248080224049146","0.5926332227714466","0.5926332227714466","0.5926332227714466","0.6175419124194985","0.6175419124194985","0.6175419124194985"
"21","0.6534078443013306","0.6534078443013306","0.6534078443013306","0.6420763264199889","0.6420763264199889","0.6420763264199889","0.6310416478453338","0.6310416478453338","0.6310416478453338","0.6396112695688086","0.6396112695688086","0.6396112695688086","0.6216718505994864","0.6216718505994864","0.6216718505994864","0.6264729037337222","0.6264729037337222","0.6264729037337222","0.6302543783797736","0.6302543783797736","0.6302543783797736","0.6346682498096357","0.6346682498096357","0.6346682498096357","0.6333002077875147","0.6333002077875147","0.6333002077875147","0.6028031955396668","0.6028031955396668","0.6028031955396668","0.6264858097905347","0.6264858097905347","0.6264858097905347"
"22","0.6578991520720674","0.6578991520720674","0.6578991520720674","0.6485164487694075","0.6485164487694075","0.6485164487694075","0.6388498122168734","0.6388498122168734","0.6388498122168734","0.6452899345662919","0.6452899345662919","0.6452899345662919","0.6299059148458371","0.6299059148458371","0.6299059148458371","0.6339971348553877","0.6339971348553877","0.6339971348553877","0.6376108307628771","0.6376108307628771","0.6376108307628771","0.6417407689428649","0.6417407689428649","0.6417407689428649","0.640346914807119","0.640346914807119","0.640346914807119","0.6122117109559516","0.6122117109559516","0.6122117109559516","0.6348102164345727","0.6348102164345727","0.6348102164345727"
"23","0.6630486687402398","0.6630486687402398","0.6630486687402398","0.6544145167327027","0.6544145167327027","0.6544145167327027","0.6451608739981674","0.6451608739981674","0.6451608739981674","0.6508911632229005","0.6508911632229005","0.6508911632229005","0.6372623672289406","0.6372623672289406","0.6372623672289406","0.6405534117161183","0.6405534117161183","0.6405534117161183","0.6447865983506059","0.6447865983506059","0.6447865983506059","0.6478066156447221","0.6478066156447221","0.6478066156447221","0.6470580643495992","0.6470580643495992","0.6470580643495992","0.6209749235316134","0.6209749235316134","0.6209749235316134","0.6418182052837397","0.6418182052837397","0.6418182052837397"
"24","0.6677077552495386","0.6677077552495386","0.6677077552495386","0.6599512151052489","0.6599512151052489","0.6599512151052489","0.6514848418362738","0.6514848418362738","0.6514848418362738","0.6562342707432598","0.6562342707432598","0.6562342707432598","0.644257450021295","0.644257450021295","0.644257450021295","0.646967721951912","0.646967721951912","0.646967721951912","0.6507491965979634","0.6507491965979634","0.6507491965979634","0.6536659654375798","0.6536659654375798","0.6536659654375798","0.6530077565401443","0.6530077565401443","0.6530077565401443","0.6288992424144652","0.6288992424144652","0.6288992424144652","0.6480518307241588","0.6480518307241588","0.6480518307241588"
"25","0.6715408541228398","0.6715408541228398","0.6715408541228398","0.6647522682394847","0.6647522682394847","0.6647522682394847","0.6571118826065072","0.6571118826065072","0.6571118826065072","0.6608546390821213","0.6608546390821213","0.6608546390821213","0.6510073177342127","0.6510073177342127","0.6510073177342127","0.6527625414607076","0.6527625414607076","0.6527625414607076","0.6564020494818218","0.6564020494818218","0.6564020494818218","0.6584928306854406","0.6584928306854406","0.6584928306854406","0.6583637701173161","0.6583637701173161","0.6583637701173161","0.6357781706955073","0.6357781706955073","0.6357781706955073","0.6536014351535175","0.6536014351535175","0.6536014351535175"
"26","0.6751545500303292","0.6751545500303292","0.6751545500303292","0.6692693881238465","0.6692693881238465","0.6692693881238465","0.66210652659293","0.66210652659293","0.66210652659293","0.6656427861595446","0.6656427861595446","0.6656427861595446","0.6568150432998207","0.6568150432998207","0.6568150432998207","0.6582347095491914","0.6582347095491914","0.6582347095491914","0.6612031026160577","0.6612031026160577","0.6612031026160577","0.6631131990243021","0.6631131990243021","0.6631131990243021","0.663500380728676","0.663500380728676","0.663500380728676","0.6426441929197372","0.6426441929197372","0.6426441929197372","0.6586089851967528","0.6586089851967528","0.6586089851967528"
"27","0.6789876489036305","0.6789876489036305","0.6789876489036305","0.673528386871959","0.673528386871959","0.673528386871959","0.6666236464772918","0.6666236464772918","0.6666236464772918","0.6695533213737207","0.6695533213737207","0.6695533213737207","0.6618225933430559","0.6618225933430559","0.6618225933430559","0.6631519171947395","0.6631519171947395","0.6631519171947395","0.6656169740459198","0.6656169740459198","0.6656169740459198","0.6675012583405392","0.6675012583405392","0.6675012583405392","0.6683659641469741","0.6683659641469741","0.6683659641469741","0.6489036304737813","0.6489036304737813","0.6489036304737813","0.6632422595924268","0.6632422595924268","0.6632422595924268"
