"Step","deep-sweep-11 - Test Accuracy","deep-sweep-11 - Test Accuracy__MIN","deep-sweep-11 - Test Accuracy__MAX","giddy-sweep-10 - Test Accuracy","giddy-sweep-10 - Test Accuracy__MIN","giddy-sweep-10 - Test Accuracy__MAX","glowing-sweep-9 - Test Accuracy","glowing-sweep-9 - Test Accuracy__MIN","glowing-sweep-9 - Test Accuracy__MAX","distinctive-sweep-8 - Test Accuracy","distinctive-sweep-8 - Test Accuracy__MIN","distinctive-sweep-8 - Test Accuracy__MAX","vital-sweep-7 - Test Accuracy","vital-sweep-7 - Test Accuracy__MIN","vital-sweep-7 - Test Accuracy__MAX","resilient-sweep-6 - Test Accuracy","resilient-sweep-6 - Test Accuracy__MIN","resilient-sweep-6 - Test Accuracy__MAX","volcanic-sweep-5 - Test Accuracy","volcanic-sweep-5 - Test Accuracy__MIN","volcanic-sweep-5 - Test Accuracy__MAX","zany-sweep-4 - Test Accuracy","zany-sweep-4 - Test Accuracy__MIN","zany-sweep-4 - Test Accuracy__MAX","deft-sweep-3 - Test Accuracy","deft-sweep-3 - Test Accuracy__MIN","deft-sweep-3 - Test Accuracy__MAX","serene-sweep-2 - Test Accuracy","serene-sweep-2 - Test Accuracy__MIN","serene-sweep-2 - Test Accuracy__MAX","curious-sweep-1 - Test Accuracy","curious-sweep-1 - Test Accuracy__MIN","curious-sweep-1 - Test Accuracy__MAX"
"0","0.7562433049830285","0.7562433049830285","0.7562433049830285","0.7556883445400927","0.7556883445400927","0.7556883445400927","0.75404927532491","0.75404927532491","0.75404927532491","0.7541008995521599","0.7541008995521599","0.7541008995521599","0.7542299601202844","0.7542299601202844","0.7542299601202844","0.7544751751997212","0.7544751751997212","0.7544751751997212","0.7554689415742808","0.7554689415742808","0.7554689415742808","0.7529393544390383","0.7529393544390383","0.7529393544390383","0.7543203025179717","0.7543203025179717","0.7543203025179717","0.7525908909051018","0.7525908909051018","0.7525908909051018","0.7535072209387865","0.7535072209387865","0.7535072209387865"
"50","0.895654530671244","0.895654530671244","0.895654530671244","0.8971387272046771","0.8971387272046771","0.8971387272046771","0.8972290696023644","0.8972290696023644","0.8972290696023644","0.89615786688693","0.89615786688693","0.89615786688693","0.8969322302956778","0.8969322302956778","0.8969322302956778","0.8990101054424842","0.8990101054424842","0.8990101054424842","0.8971774453751146","0.8971774453751146","0.8971774453751146","0.8961965850573674","0.8961965850573674","0.8961965850573674","0.896183679000555","0.896183679000555","0.896183679000555","0.8963385516823045","0.8963385516823045","0.8963385516823045","0.8957706851825562","0.8957706851825562","0.8957706851825562"
"100","0.9007007988849167","0.9007007988849167","0.9007007988849167","0.9001458384419808","0.9001458384419808","0.9001458384419808","0.8992424144651084","0.8992424144651084","0.8992424144651084","0.9005846443736045","0.9005846443736045","0.9005846443736045","0.900571738316792","0.900571738316792","0.900571738316792","0.8996941264535446","0.8996941264535446","0.8996941264535446","0.9003265232373553","0.9003265232373553","0.9003265232373553","0.9005330201463547","0.9005330201463547","0.9005330201463547","0.9001845566124183","0.9001845566124183","0.9001845566124183","0.9010492624188532","0.9010492624188532","0.9010492624188532","0.8999780597034188","0.8999780597034188","0.8999780597034188"
"150","0.9021849954183498","0.9021849954183498","0.9021849954183498","0.9019397803389131","0.9019397803389131","0.9019397803389131","0.9010234503052282","0.9010234503052282","0.9010234503052282","0.9012428532710401","0.9012428532710401","0.9012428532710401","0.9015396925777267","0.9015396925777267","0.9015396925777267","0.9021720893615374","0.9021720893615374","0.9021720893615374","0.9018365318844134","0.9018365318844134","0.9018365318844134","0.902301149929662","0.902301149929662","0.902301149929662","0.9013848198959772","0.9013848198959772","0.9013848198959772","0.9027141437476608","0.9027141437476608","0.9027141437476608","0.9021849954183498","0.9021849954183498","0.9021849954183498"
"200","0.9023785862705368","0.9023785862705368","0.9023785862705368","0.9035917556109082","0.9035917556109082","0.9035917556109082","0.9032174799633468","0.9032174799633468","0.9032174799633468","0.9031787617929095","0.9031787617929095","0.9031787617929095","0.9013719138391647","0.9013719138391647","0.9013719138391647","0.9030238891111598","0.9030238891111598","0.9030238891111598","0.9037079101222204","0.9037079101222204","0.9037079101222204","0.9036562858949705","0.9036562858949705","0.9036562858949705","0.903475601099596","0.903475601099596","0.903475601099596","0.9030884193952222","0.9030884193952222","0.9030884193952222","0.9033594465882839","0.9033594465882839","0.9033594465882839"
"250","0.9045209917014054","0.9045209917014054","0.9045209917014054","0.9037079101222204","0.9037079101222204","0.9037079101222204","0.903501413213221","0.903501413213221","0.903501413213221","0.9055534762464025","0.9055534762464025","0.9055534762464025","0.9041854342242814","0.9041854342242814","0.9041854342242814","0.9027786740317231","0.9027786740317231","0.9027786740317231","0.9024043983841616","0.9024043983841616","0.9024043983841616","0.9044048371900933","0.9044048371900933","0.9044048371900933","0.9038756888607824","0.9038756888607824","0.9038756888607824","0.9046242401559051","0.9046242401559051","0.9046242401559051","0.9040950918265942","0.9040950918265942","0.9040950918265942"
"300","0.9041338099970316","0.9041338099970316","0.9041338099970316","0.9047016764967799","0.9047016764967799","0.9047016764967799","0.9043790250764684","0.9043790250764684","0.9043790250764684","0.9046500522695301","0.9046500522695301","0.9046500522695301","0.9055792883600273","0.9055792883600273","0.9055792883600273","0.9031529496792845","0.9031529496792845","0.9031529496792845","0.9031013254520346","0.9031013254520346","0.9031013254520346","0.9037466282926577","0.9037466282926577","0.9037466282926577","0.9036046616677207","0.9036046616677207","0.9036046616677207","0.9039660312584696","0.9039660312584696","0.9039660312584696","0.9045338977582179","0.9045338977582179","0.9045338977582179"
"350","0.9037466282926577","0.9037466282926577","0.9037466282926577","0.9047791128376547","0.9047791128376547","0.9047791128376547","0.9036820980085954","0.9036820980085954","0.9036820980085954","0.905876127666714","0.905876127666714","0.905876127666714","0.9039144070312197","0.9039144070312197","0.9039144070312197","0.9044306493037182","0.9044306493037182","0.9044306493037182","0.9042370584515314","0.9042370584515314","0.9042370584515314","0.9050759521443413","0.9050759521443413","0.9050759521443413","0.9037853464630952","0.9037853464630952","0.9037853464630952","0.9032691041905967","0.9032691041905967","0.9032691041905967","0.9052566369397158","0.9052566369397158","0.9052566369397158"
"400","0.9039015009744072","0.9039015009744072","0.9039015009744072","0.9045209917014054","0.9045209917014054","0.9045209917014054","0.9038498767471574","0.9038498767471574","0.9038498767471574","0.9043790250764684","0.9043790250764684","0.9043790250764684","0.9043532129628434","0.9043532129628434","0.9043532129628434","0.90381115857672","0.90381115857672","0.90381115857672","0.9052695429965283","0.9052695429965283","0.9052695429965283","0.903307822361034","0.903307822361034","0.903307822361034","0.903669191951783","0.903669191951783","0.903669191951783","0.9043919311332809","0.9043919311332809","0.9043919311332809","0.9053340732805906","0.9053340732805906","0.9053340732805906"
