"Step","vocal-sweep-11 - Test Accuracy","vocal-sweep-11 - Test Accuracy__MIN","vocal-sweep-11 - Test Accuracy__MAX","classic-sweep-10 - Test Accuracy","classic-sweep-10 - Test Accuracy__MIN","classic-sweep-10 - Test Accuracy__MAX","feasible-sweep-9 - Test Accuracy","feasible-sweep-9 - Test Accuracy__MIN","feasible-sweep-9 - Test Accuracy__MAX","major-sweep-8 - Test Accuracy","major-sweep-8 - Test Accuracy__MIN","major-sweep-8 - Test Accuracy__MAX","laced-sweep-7 - Test Accuracy","laced-sweep-7 - Test Accuracy__MIN","laced-sweep-7 - Test Accuracy__MAX","fine-sweep-6 - Test Accuracy","fine-sweep-6 - Test Accuracy__MIN","fine-sweep-6 - Test Accuracy__MAX","fresh-sweep-5 - Test Accuracy","fresh-sweep-5 - Test Accuracy__MIN","fresh-sweep-5 - Test Accuracy__MAX","clean-sweep-4 - Test Accuracy","clean-sweep-4 - Test Accuracy__MIN","clean-sweep-4 - Test Accuracy__MAX","happy-sweep-3 - Test Accuracy","happy-sweep-3 - Test Accuracy__MIN","happy-sweep-3 - Test Accuracy__MAX","gentle-sweep-2 - Test Accuracy","gentle-sweep-2 - Test Accuracy__MIN","gentle-sweep-2 - Test Accuracy__MAX","electric-sweep-1 - Test Accuracy","electric-sweep-1 - Test Accuracy__MIN","electric-sweep-1 - Test Accuracy__MAX"
"0","0.01427409883458307","0.01427409883458307","0.01427409883458307","0.008608339893912213","0.008608339893912213","0.008608339893912213","0.013732044448459662","0.013732044448459662","0.013732044448459662","0.014854871391143864","0.014854871391143864","0.014854871391143864","0.03345249925790173","0.03345249925790173","0.03345249925790173","0.012325284255901294","0.012325284255901294","0.012325284255901294","0.019049339855194043","0.019049339855194043","0.019049339855194043","0.016042228617890376","0.016042228617890376","0.016042228617890376","0.022417820683246648","0.022417820683246648","0.022417820683246648","0.0071757675877289215","0.0071757675877289215","0.0071757675877289215","0.006311061781293962","0.006311061781293962","0.006311061781293962"
"50","0.8551940425641754","0.8551940425641754","0.8551940425641754","0.8531290734741814","0.8531290734741814","0.8531290734741814","0.8547165184621143","0.8547165184621143","0.8547165184621143","0.851748125395248","0.851748125395248","0.851748125395248","0.8509479498728754","0.8509479498728754","0.8509479498728754","0.8511028225546249","0.8511028225546249","0.8511028225546249","0.8532710400991185","0.8532710400991185","0.8532710400991185","0.8538905308261167","0.8538905308261167","0.8538905308261167","0.8505607681685015","0.8505607681685015","0.8505607681685015","0.847643999328885","0.847643999328885","0.847643999328885","0.8487152020443194","0.8487152020443194","0.8487152020443194"
"100","0.861776131538531","0.861776131538531","0.861776131538531","0.862615025231341","0.862615025231341","0.862615025231341","0.8600467199256611","0.8600467199256611","0.8600467199256611","0.8613760437773447","0.8613760437773447","0.8613760437773447","0.8615696346295316","0.8615696346295316","0.8615696346295316","0.8608210833344089","0.8608210833344089","0.8608210833344089","0.8636087916059006","0.8636087916059006","0.8636087916059006","0.8593497928577881","0.8593497928577881","0.8593497928577881","0.8547810487461766","0.8547810487461766","0.8547810487461766","0.8631957977879019","0.8631957977879019","0.8631957977879019","0.8562652452796097","0.8562652452796097","0.8562652452796097"
"150","0.866719151297704","0.866719151297704","0.866719151297704","0.866048036343456","0.866048036343456","0.866048036343456","0.8656221364686447","0.8656221364686447","0.8656221364686447","0.8632474220151517","0.8632474220151517","0.8632474220151517","0.8660867545138934","0.8660867545138934","0.8660867545138934","0.8664094059342049","0.8664094059342049","0.8664094059342049","0.8649897396848341","0.8649897396848341","0.8649897396848341","0.8648993972871468","0.8648993972871468","0.8648993972871468","0.8647961488326472","0.8647961488326472","0.8647961488326472","0.8667320573545165","0.8667320573545165","0.8667320573545165","0.8657770091503942","0.8657770091503942","0.8657770091503942"
"200","0.8634410128673387","0.8634410128673387","0.8634410128673387","0.8681517236038873","0.8681517236038873","0.8681517236038873","0.8682291599447621","0.8682291599447621","0.8682291599447621","0.8666417149568293","0.8666417149568293","0.8666417149568293","0.8654930759005202","0.8654930759005202","0.8654930759005202","0.8682033478311372","0.8682033478311372","0.8682033478311372","0.8686292477059484","0.8686292477059484","0.8686292477059484","0.8682291599447621","0.8682291599447621","0.8682291599447621","0.8679452266948879","0.8679452266948879","0.8679452266948879","0.8687066840468232","0.8687066840468232","0.8687066840468232","0.867751635842701","0.867751635842701","0.867751635842701"
"250","0.867416078365577","0.867416078365577","0.867416078365577","0.8681388175470749","0.8681388175470749","0.8681388175470749","0.8699198533871946","0.8699198533871946","0.8699198533871946","0.8691325839216344","0.8691325839216344","0.8691325839216344","0.870152162409819","0.870152162409819","0.870152162409819","0.8658028212640192","0.8658028212640192","0.8658028212640192","0.8694165171715086","0.8694165171715086","0.8694165171715086","0.8710684924435037","0.8710684924435037","0.8710684924435037","0.8695713898532581","0.8695713898532581","0.8695713898532581","0.8680742872630125","0.8680742872630125","0.8680742872630125","0.8704490017165055","0.8704490017165055","0.8704490017165055"
"300","0.8717783255681891","0.8717783255681891","0.8717783255681891","0.8693907050578836","0.8693907050578836","0.8693907050578836","0.8704490017165055","0.8704490017165055","0.8704490017165055","0.8709394318753791","0.8709394318753791","0.8709394318753791","0.8710039621594414","0.8710039621594414","0.8710039621594414","0.8701392563530065","0.8701392563530065","0.8701392563530065","0.8656608546390822","0.8656608546390822","0.8656608546390822","0.8695455777396333","0.8695455777396333","0.8695455777396333","0.8705006259437554","0.8705006259437554","0.8705006259437554","0.870487719886943","0.870487719886943","0.870487719886943","0.8718170437386266","0.8718170437386266","0.8718170437386266"
"350","0.870436095659693","0.870436095659693","0.870436095659693","0.8722429436134378","0.8722429436134378","0.8722429436134378","0.8708749015913168","0.8708749015913168","0.8708749015913168","0.8695584837964456","0.8695584837964456","0.8695584837964456","0.8702295987506937","0.8702295987506937","0.8702295987506937","0.8723074738975001","0.8723074738975001","0.8723074738975001","0.8727720919427487","0.8727720919427487","0.8727720919427487","0.8721784133293755","0.8721784133293755","0.8721784133293755","0.8691067718080095","0.8691067718080095","0.8691067718080095","0.8722687557270628","0.8722687557270628","0.8722687557270628","0.8724365344656247","0.8724365344656247","0.8724365344656247"
"400","0.8694423292851335","0.8694423292851335","0.8694423292851335","0.8703844714324432","0.8703844714324432","0.8703844714324432","0.8713266135797529","0.8713266135797529","0.8713266135797529","0.872668843488249","0.872668843488249","0.872668843488249","0.8723849102383748","0.8723849102383748","0.8723849102383748","0.8649381154575843","0.8649381154575843","0.8649381154575843","0.8726172192609992","0.8726172192609992","0.8726172192609992","0.8698811352167573","0.8698811352167573","0.8698811352167573","0.8642540944465238","0.8642540944465238","0.8642540944465238","0.8730560251926229","0.8730560251926229","0.8730560251926229","0.8715718286591898","0.8715718286591898","0.8715718286591898"
