"Step","leafy-sweep-11 - pFedMe Test Accuracy","leafy-sweep-11 - pFedMe Test Accuracy__MIN","leafy-sweep-11 - pFedMe Test Accuracy__MAX","still-sweep-10 - pFedMe Test Accuracy","still-sweep-10 - pFedMe Test Accuracy__MIN","still-sweep-10 - pFedMe Test Accuracy__MAX","curious-sweep-9 - pFedMe Test Accuracy","curious-sweep-9 - pFedMe Test Accuracy__MIN","curious-sweep-9 - pFedMe Test Accuracy__MAX","youthful-sweep-8 - pFedMe Test Accuracy","youthful-sweep-8 - pFedMe Test Accuracy__MIN","youthful-sweep-8 - pFedMe Test Accuracy__MAX","elated-sweep-7 - pFedMe Test Accuracy","elated-sweep-7 - pFedMe Test Accuracy__MIN","elated-sweep-7 - pFedMe Test Accuracy__MAX","elated-sweep-6 - pFedMe Test Accuracy","elated-sweep-6 - pFedMe Test Accuracy__MIN","elated-sweep-6 - pFedMe Test Accuracy__MAX","fresh-sweep-5 - pFedMe Test Accuracy","fresh-sweep-5 - pFedMe Test Accuracy__MIN","fresh-sweep-5 - pFedMe Test Accuracy__MAX","stellar-sweep-4 - pFedMe Test Accuracy","stellar-sweep-4 - pFedMe Test Accuracy__MIN","stellar-sweep-4 - pFedMe Test Accuracy__MAX","cerulean-sweep-3 - pFedMe Test Accuracy","cerulean-sweep-3 - pFedMe Test Accuracy__MIN","cerulean-sweep-3 - pFedMe Test Accuracy__MAX","serene-sweep-2 - pFedMe Test Accuracy","serene-sweep-2 - pFedMe Test Accuracy__MIN","serene-sweep-2 - pFedMe Test Accuracy__MAX","quiet-sweep-1 - pFedMe Test Accuracy","quiet-sweep-1 - pFedMe Test Accuracy__MIN","quiet-sweep-1 - pFedMe Test Accuracy__MAX"
"0","0.7483706103274267","0.7483706103274267","0.7483706103274267","0.7480866770775525","0.7480866770775525","0.7480866770775525","0.7467831653394938","0.7467831653394938","0.7467831653394938","0.7463056412374327","0.7463056412374327","0.7463056412374327","0.7467186350554316","0.7467186350554316","0.7467186350554316","0.7465508563168695","0.7465508563168695","0.7465508563168695","0.747905992282178","0.747905992282178","0.747905992282178","0.7441761418633764","0.7441761418633764","0.7441761418633764","0.7469896622484932","0.7469896622484932","0.7469896622484932","0.7445891356813753","0.7445891356813753","0.7445891356813753","0.7461636746124957","0.7461636746124957","0.7461636746124957"
"50","0.8884142327994528","0.8884142327994528","0.8884142327994528","0.8885949175948272","0.8885949175948272","0.8885949175948272","0.888672353935702","0.888672353935702","0.888672353935702","0.8875624330498303","0.8875624330498303","0.8875624330498303","0.8875882451634552","0.8875882451634552","0.8875882451634552","0.8903630473781345","0.8903630473781345","0.8903630473781345","0.8877302117883923","0.8877302117883923","0.8877302117883923","0.8872397816295188","0.8872397816295188","0.8872397816295188","0.8867880696410826","0.8867880696410826","0.8867880696410826","0.8882464540608908","0.8882464540608908","0.8882464540608908","0.8881044874359537","0.8881044874359537","0.8881044874359537"
"100","0.8922731437863789","0.8922731437863789","0.8922731437863789","0.8924796406953783","0.8924796406953783","0.8924796406953783","0.8915891227753184","0.8915891227753184","0.8915891227753184","0.8928797284565647","0.8928797284565647","0.8928797284565647","0.8928410102861273","0.8928410102861273","0.8928410102861273","0.891240659241382","0.891240659241382","0.891240659241382","0.8923118619568163","0.8923118619568163","0.8923118619568163","0.8919763044796923","0.8919763044796923","0.8919763044796923","0.890905101764258","0.890905101764258","0.890905101764258","0.8917310894002556","0.8917310894002556","0.8917310894002556","0.8912922834686319","0.8912922834686319","0.8912922834686319"
"150","0.894118709910561","0.894118709910561","0.894118709910561","0.8943252068195604","0.8943252068195604","0.8943252068195604","0.893950931171999","0.893950931171999","0.893950931171999","0.893137849592814","0.893137849592814","0.893137849592814","0.8927119497180026","0.8927119497180026","0.8927119497180026","0.8938347766606869","0.8938347766606869","0.8938347766606869","0.8943639249899978","0.8943639249899978","0.8943639249899978","0.8940283675128738","0.8940283675128738","0.8940283675128738","0.8941703341378109","0.8941703341378109","0.8941703341378109","0.8939638372288115","0.8939638372288115","0.8939638372288115","0.8933572525586257","0.8933572525586257","0.8933572525586257"
"200","0.8944026431604352","0.8944026431604352","0.8944026431604352","0.8948672612056838","0.8948672612056838","0.8948672612056838","0.8944542673876851","0.8944542673876851","0.8944542673876851","0.8958739336370559","0.8958739336370559","0.8958739336370559","0.8933314404450008","0.8933314404450008","0.8933314404450008","0.8946994824671218","0.8946994824671218","0.8946994824671218","0.8956158125008066","0.8956158125008066","0.8956158125008066","0.8953705974213698","0.8953705974213698","0.8953705974213698","0.8944929855581224","0.8944929855581224","0.8944929855581224","0.8944671734444976","0.8944671734444976","0.8944671734444976","0.8952544429100577","0.8952544429100577","0.8952544429100577"
"250","0.8970096666365526","0.8970096666365526","0.8970096666365526","0.8957706851825562","0.8957706851825562","0.8957706851825562","0.8947382006375592","0.8947382006375592","0.8947382006375592","0.8984809571131732","0.8984809571131732","0.8984809571131732","0.8960029942051805","0.8960029942051805","0.8960029942051805","0.8952415368532453","0.8952415368532453","0.8952415368532453","0.8945704218989972","0.8945704218989972","0.8945704218989972","0.8961320547733052","0.8961320547733052","0.8961320547733052","0.8950866641714957","0.8950866641714957","0.8950866641714957","0.897190351431927","0.897190351431927","0.897190351431927","0.8954480337622446","0.8954480337622446","0.8954480337622446"
"300","0.8966482970458036","0.8966482970458036","0.8966482970458036","0.8967386394434909","0.8967386394434909","0.8967386394434909","0.8957061548984938","0.8957061548984938","0.8957061548984938","0.8966482970458036","0.8966482970458036","0.8966482970458036","0.8969967605797401","0.8969967605797401","0.8969967605797401","0.8947898248648091","0.8947898248648091","0.8947898248648091","0.8950092278306209","0.8950092278306209","0.8950092278306209","0.89615786688693","0.89615786688693","0.89615786688693","0.896325645625492","0.896325645625492","0.896325645625492","0.8963643637959294","0.8963643637959294","0.8963643637959294","0.8958868396938683","0.8958868396938683","0.8958868396938683"
"350","0.8958997457506808","0.8958997457506808","0.8958997457506808","0.8966224849321787","0.8966224849321787","0.8966224849321787","0.895796497296181","0.895796497296181","0.895796497296181","0.8970483848069899","0.8970483848069899","0.8970483848069899","0.8954738458758695","0.8954738458758695","0.8954738458758695","0.8955900003871817","0.8955900003871817","0.8955900003871817","0.8952286307964328","0.8952286307964328","0.8952286307964328","0.8952931610804951","0.8952931610804951","0.8952931610804951","0.8965321425344914","0.8965321425344914","0.8965321425344914","0.894983415716996","0.894983415716996","0.894983415716996","0.8975646270794884","0.8975646270794884","0.8975646270794884"
"400","0.8955254701031194","0.8955254701031194","0.8955254701031194","0.8959642760347432","0.8959642760347432","0.8959642760347432","0.8937315282061872","0.8937315282061872","0.8937315282061872","0.8951770065691829","0.8951770065691829","0.8951770065691829","0.8955641882735568","0.8955641882735568","0.8955641882735568","0.8955383761599318","0.8955383761599318","0.8955383761599318","0.8968031697275531","0.8968031697275531","0.8968031697275531","0.8934992191835629","0.8934992191835629","0.8934992191835629","0.8955900003871817","0.8955900003871817","0.8955900003871817","0.896183679000555","0.896183679000555","0.896183679000555","0.8980808693519868","0.8980808693519868","0.8980808693519868"
