"Step","leafy-sweep-11 - Test Accuracy","leafy-sweep-11 - Test Accuracy__MIN","leafy-sweep-11 - Test Accuracy__MAX","trim-sweep-10 - Test Accuracy","trim-sweep-10 - Test Accuracy__MIN","trim-sweep-10 - Test Accuracy__MAX","solar-sweep-9 - Test Accuracy","solar-sweep-9 - Test Accuracy__MIN","solar-sweep-9 - Test Accuracy__MAX","misty-sweep-8 - Test Accuracy","misty-sweep-8 - Test Accuracy__MIN","misty-sweep-8 - Test Accuracy__MAX","logical-sweep-7 - Test Accuracy","logical-sweep-7 - Test Accuracy__MIN","logical-sweep-7 - Test Accuracy__MAX","woven-sweep-6 - Test Accuracy","woven-sweep-6 - Test Accuracy__MIN","woven-sweep-6 - Test Accuracy__MAX","comic-sweep-5 - Test Accuracy","comic-sweep-5 - Test Accuracy__MIN","comic-sweep-5 - Test Accuracy__MAX","hopeful-sweep-4 - Test Accuracy","hopeful-sweep-4 - Test Accuracy__MIN","hopeful-sweep-4 - Test Accuracy__MAX","curious-sweep-3 - Test Accuracy","curious-sweep-3 - Test Accuracy__MIN","curious-sweep-3 - Test Accuracy__MAX","serene-sweep-2 - Test Accuracy","serene-sweep-2 - Test Accuracy__MIN","serene-sweep-2 - Test Accuracy__MAX","ethereal-sweep-1 - Test Accuracy","ethereal-sweep-1 - Test Accuracy__MIN","ethereal-sweep-1 - Test Accuracy__MAX"
"0","0.7562433049830285","0.7562433049830285","0.7562433049830285","0.7556883445400927","0.7556883445400927","0.7556883445400927","0.75404927532491","0.75404927532491","0.75404927532491","0.7541008995521599","0.7541008995521599","0.7541008995521599","0.7542299601202844","0.7542299601202844","0.7542299601202844","0.7544751751997212","0.7544751751997212","0.7544751751997212","0.7554689415742808","0.7554689415742808","0.7554689415742808","0.7529393544390383","0.7529393544390383","0.7529393544390383","0.7543203025179717","0.7543203025179717","0.7543203025179717","0.7525908909051018","0.7525908909051018","0.7525908909051018","0.7535072209387865","0.7535072209387865","0.7535072209387865"
"50","0.8967515455003033","0.8967515455003033","0.8967515455003033","0.897551721022676","0.897551721022676","0.897551721022676","0.8958739336370559","0.8958739336370559","0.8958739336370559","0.8961449608301175","0.8961449608301175","0.8961449608301175","0.8957319670121188","0.8957319670121188","0.8957319670121188","0.8981712117496741","0.8981712117496741","0.8981712117496741","0.8971129150910522","0.8971129150910522","0.8971129150910522","0.8961191487164927","0.8961191487164927","0.8961191487164927","0.8967902636707407","0.8967902636707407","0.8967902636707407","0.8962611153414297","0.8962611153414297","0.8962611153414297","0.8962353032278048","0.8962353032278048","0.8962353032278048"
"100","0.9005846443736045","0.9005846443736045","0.9005846443736045","0.8999780597034188","0.8999780597034188","0.8999780597034188","0.899061729669734","0.899061729669734","0.899061729669734","0.9000684021011061","0.9000684021011061","0.9000684021011061","0.9010363563620407","0.9010363563620407","0.9010363563620407","0.8991778841810462","0.8991778841810462","0.8991778841810462","0.9004943019759173","0.9004943019759173","0.9004943019759173","0.8998231870216693","0.8998231870216693","0.8998231870216693","0.8997715627944194","0.8997715627944194","0.8997715627944194","0.9002103687260431","0.9002103687260431","0.9002103687260431","0.9003523353509802","0.9003523353509802","0.9003523353509802"
"150","0.9020559348502252","0.9020559348502252","0.9020559348502252","0.9018752500548507","0.9018752500548507","0.9018752500548507","0.901436444123227","0.901436444123227","0.901436444123227","0.9010363563620407","0.9010363563620407","0.9010363563620407","0.9007137049417292","0.9007137049417292","0.9007137049417292","0.9020946530206626","0.9020946530206626","0.9020946530206626","0.9017203773731012","0.9017203773731012","0.9017203773731012","0.9019139682252881","0.9019139682252881","0.9019139682252881","0.9014235380664146","0.9014235380664146","0.9014235380664146","0.9027399558612857","0.9027399558612857","0.9027399558612857","0.9008298594530413","0.9008298594530413","0.9008298594530413"
"200","0.9023656802137243","0.9023656802137243","0.9023656802137243","0.9026238013499736","0.9026238013499736","0.9026238013499736","0.9030238891111598","0.9030238891111598","0.9030238891111598","0.9029851709407225","0.9029851709407225","0.9029851709407225","0.9017590955435386","0.9017590955435386","0.9017590955435386","0.9029335467134726","0.9029335467134726","0.9029335467134726","0.9043144947924061","0.9043144947924061","0.9043144947924061","0.9033207284178465","0.9033207284178465","0.9033207284178465","0.9030497012247848","0.9030497012247848","0.9030497012247848","0.9032432920769717","0.9032432920769717","0.9032432920769717","0.902830298258973","0.902830298258973","0.902830298258973"
"250","0.9044306493037182","0.9044306493037182","0.9044306493037182","0.9030367951679723","0.9030367951679723","0.9030367951679723","0.9032691041905967","0.9032691041905967","0.9032691041905967","0.9053986035646528","0.9053986035646528","0.9053986035646528","0.9035272253268459","0.9035272253268459","0.9035272253268459","0.9022753378160371","0.9022753378160371","0.9022753378160371","0.9023656802137243","0.9023656802137243","0.9023656802137243","0.9037595343494702","0.9037595343494702","0.9037595343494702","0.9035401313836583","0.9035401313836583","0.9035401313836583","0.9042757766219687","0.9042757766219687","0.9042757766219687","0.9037079101222204","0.9037079101222204","0.9037079101222204"
"300","0.9043144947924061","0.9043144947924061","0.9043144947924061","0.9049985158034666","0.9049985158034666","0.9049985158034666","0.9037208161790328","0.9037208161790328","0.9037208161790328","0.9044306493037182","0.9044306493037182","0.9044306493037182","0.9035917556109082","0.9035917556109082","0.9035917556109082","0.9026883316340358","0.9026883316340358","0.9026883316340358","0.9035788495540957","0.9035788495540957","0.9035788495540957","0.903836970690345","0.903836970690345","0.903836970690345","0.9045984280422802","0.9045984280422802","0.9045984280422802","0.9040305615425319","0.9040305615425319","0.9040305615425319","0.9043532129628434","0.9043532129628434","0.9043532129628434"
"350","0.9038756888607824","0.9038756888607824","0.9038756888607824","0.9037079101222204","0.9037079101222204","0.9037079101222204","0.9031916678497218","0.9031916678497218","0.9031916678497218","0.9043274008492186","0.9043274008492186","0.9043274008492186","0.9029593588270975","0.9029593588270975","0.9029593588270975","0.9031529496792845","0.9031529496792845","0.9031529496792845","0.9041854342242814","0.9041854342242814","0.9041854342242814","0.9039402191448447","0.9039402191448447","0.9039402191448447","0.9043274008492186","0.9043274008492186","0.9043274008492186","0.9030626072815973","0.9030626072815973","0.9030626072815973","0.9048952673489669","0.9048952673489669","0.9048952673489669"
"400","0.903475601099596","0.903475601099596","0.903475601099596","0.904004749428907","0.904004749428907","0.904004749428907","0.9040692797129692","0.9040692797129692","0.9040692797129692","0.9035917556109082","0.9035917556109082","0.9035917556109082","0.9034885071564085","0.9034885071564085","0.9034885071564085","0.9037982525199076","0.9037982525199076","0.9037982525199076","0.9055792883600273","0.9055792883600273","0.9055792883600273","0.9033465405314715","0.9033465405314715","0.9033465405314715","0.9038756888607824","0.9038756888607824","0.9038756888607824","0.9047920188944671","0.9047920188944671","0.9047920188944671","0.9046500522695301","0.9046500522695301","0.9046500522695301"
